prompt_id,bank,family_id,cluster_id,token_bank_id,input_ids,target_token_id,distractor_token_id_1,distractor_token_id_2,key_positions,source_value_positions,source_key_position,source_value_position,query_position,sequence_length,repeat_gap
qseq_46e5aff43cde7749,reference,length_32_gap_8,qcluster_reference_0000,qbank_reference_f50b4f7d3319,34905 65739 108119 122178 81070 39044 66246 94682 141494 128172 65968 37803 123551 58364 30955 44617 9527 21350 42836 147865 15174 56718 107474 137034 52328 52621 99900 126151 79461 2339 80618 137034,52328,37803,65739,23 10 0,24 11 1,23,24,31,32,8
qseq_553617fde738acb0,reference,length_32_gap_8,qcluster_reference_0001,qbank_reference_f50b4f7d3319,120716 36186 144465 91713 17814 37024 48036 125470 111808 136259 89595 7506 31717 55961 70737 59704 151486 116876 18868 103041 72947 96788 141932 30112 145959 21296 124133 39938 50915 53091 90390 30112,145959,91713,37024,23 2 4,24 3 5,23,24,31,32,8
qseq_809509c38a8f59b5,reference,length_32_gap_8,qcluster_reference_0002,qbank_reference_f50b4f7d3319,60892 84772 128353 45664 142272 36269 129262 55961 12434 69757 132418 34905 102059 13276 2283 567 122713 120417 61244 72703 94234 57704 129790 12291 53608 63884 53227 90000 18561 141164 2387 12291,53608,102059,72703,23 11 18,24 12 19,23,24,31,32,8
qseq_b41da2973023f663,reference,length_32_gap_8,qcluster_reference_0003,qbank_reference_f50b4f7d3319,149997 28182 98889 123551 6379 76973 33923 49737 116350 142802 96833 55903 51369 12407 94329 45727 117104 117396 4204 54185 126557 43457 132409 6053 146854 19152 117557 35404 97677 51239 42891 6053,146854,116350,33923,23 7 5,24 8 6,23,24,31,32,8
qseq_cbac0bdaf6e4ec3c,reference,length_32_gap_8,qcluster_reference_0004,qbank_reference_f50b4f7d3319,117968 121226 62174 72247 26835 81344 20339 10936 5301 84837 51939 105431 14664 118464 113733 125054 121020 118943 86240 119776 18786 30442 112176 73300 54104 111141 126133 36936 88841 82634 118453 73300,54104,88841,118464,23 27 12,24 28 13,23,24,31,32,8
qseq_619107a9ab1417a4,reference,length_32_gap_8,qcluster_reference_0005,qbank_reference_f50b4f7d3319,131907 120750 113957 137805 71426 14605 93485 122084 12832 122045 78166 423 93610 38041 50281 49371 85492 136992 95153 142795 113237 17551 66996 91499 6531 83507 77692 125970 81529 36985 77734 91499,6531,85492,12832,23 15 7,24 16 8,23,24,31,32,8
qseq_2171cd762d78b17b,reference,length_32_gap_8,qcluster_reference_0006,qbank_reference_f50b4f7d3319,91237 120255 43208 101042 9134 123546 1930 116329 66403 120852 144022 118677 35407 10672 72823 104846 103557 76715 64986 43911 68427 101124 67015 30374 121931 91523 50984 7767 43748 11968 25286 30374,121931,120255,101124,23 0 20,24 1 21,23,24,31,32,8
qseq_d8c546252946b89c,reference,length_32_gap_8,qcluster_reference_0007,qbank_reference_f50b4f7d3319,146862 70927 17308 30442 22091 111703 28854 2176 87773 37712 105423 26849 110836 90621 43955 110426 133451 117345 6650 3184 32450 64220 113156 25074 12291 36297 137208 123985 75821 41701 149864 25074,12291,17308,133451,23 1 15,24 2 16,23,24,31,32,8
qseq_7b74722520bdd172,reference,length_32_gap_8,qcluster_reference_0008,qbank_reference_f50b4f7d3319,41718 9876 115470 136933 85365 84322 6964 121608 49607 120636 12315 64392 17112 29892 87727 12434 58281 76589 21350 1619 138150 53835 80793 68870 911 61765 29200 129707 93566 97282 41507 68870,911,41507,129707,23 29 26,24 30 27,23,24,31,32,8
qseq_ba81c1ec67926d92,reference,length_32_gap_8,qcluster_reference_0009,qbank_reference_f50b4f7d3319,82920 110408 119056 84892 109749 13687 107771 53547 104980 43702 78382 136262 29028 89205 96343 66954 10778 137466 105948 90563 20932 51066 128083 48036 120465 106431 89964 79073 65907 150724 98590 48036,120465,79073,105948,23 26 17,24 27 18,23,24,31,32,8
qseq_8f9d4302667d8e91,reference,length_32_gap_8,qcluster_reference_0010,qbank_reference_f50b4f7d3319,70933 89824 125484 23867 65583 14953 12407 29381 93315 40144 85269 51448 58621 88962 79876 20922 4365 100027 46625 136605 125614 89770 68870 26835 147746 64966 66135 93074 74053 139594 96833 26835,147746,89770,139594,23 20 28,24 21 29,23,24,31,32,8
qseq_244bff2710c61e1d,reference,length_32_gap_8,qcluster_reference_0011,qbank_reference_f50b4f7d3319,91073 124771 95391 17850 32941 43667 131302 41522 143122 104419 147342 17918 82098 117355 52014 145497 30523 53796 110809 35461 131709 31739 114028 65583 38363 139032 150598 127280 3783 68427 136365 65583,38363,124771,117355,23 0 12,24 1 13,23,24,31,32,8
qseq_184524e8ba12b104,reference,length_32_gap_8,qcluster_reference_0012,qbank_reference_f50b4f7d3319,9472 74793 134779 44617 17918 51066 135061 24928 129967 31717 21067 64030 98590 43440 24578 8263 39496 50182 123329 2390 126562 51380 72867 118607 137641 118005 98322 107532 88764 89459 57295 118607,137641,17918,24928,23 3 6,24 4 7,23,24,31,32,8
qseq_069e0532b612e90b,reference,length_32_gap_8,qcluster_reference_0013,qbank_reference_f50b4f7d3319,142439 67741 56445 57250 50386 62034 72380 130220 64535 122766 135062 126122 137298 139020 121776 2484 116350 129585 63542 16008 109158 70441 46904 55093 14077 83128 31142 23288 11914 74211 126559 55093,14077,56445,70441,23 1 20,24 2 21,23,24,31,32,8
qseq_3f972fc85df0164d,reference,length_32_gap_8,qcluster_reference_0014,qbank_reference_f50b4f7d3319,29847 98616 55817 66954 107543 106737 33784 45914 74571 29654 138231 97293 82889 80336 7756 121226 116877 27072 17635 29238 35489 27582 134058 72451 104408 30985 72223 144790 63999 74706 136992 72451,104408,33784,138231,23 5 9,24 6 10,23,24,31,32,8
