fit_id,observer,pool_id,target,selected_mask_id,selected_head_count,predicted_effect
full,additive,candidate_pool_00,0.5,mask_56ee0c60e1cde4b8,5,0.5253747609684359
full,additive,candidate_pool_00,1.0,mask_b611eb15c1cbe033,4,1.149657237706709
full,additive,candidate_pool_00,1.5,mask_ff6985d2961f695d,9,1.4952962271657702
full,additive,candidate_pool_01,0.5,mask_d4041af54a719d70,7,0.45051604544198237
full,additive,candidate_pool_01,1.0,mask_3507ab216f864cbe,4,0.9791781345224897
full,additive,candidate_pool_01,1.5,mask_69b8a0bd055bae3b,8,1.4776376698244436
full,additive,candidate_pool_02,0.5,mask_a0046e43df20ac57,5,0.6004739334518002
full,additive,candidate_pool_02,1.0,mask_4069015a4c8c7628,4,1.0324960594573795
full,additive,candidate_pool_02,1.5,mask_3c9ed4cc352cbb27,5,1.43594615130265
full,additive,candidate_pool_03,0.5,mask_db4ced2a93ad8780,7,0.49870934775325637
full,additive,candidate_pool_03,1.0,mask_30716df5e75daa97,7,0.9602165721566059
full,additive,candidate_pool_03,1.5,mask_dc2e11f8d6ea9e67,6,1.4232602858023244
full,additive,candidate_pool_04,0.5,mask_8f5eca4cbcfcb5db,6,0.43842026513668686
full,additive,candidate_pool_04,1.0,mask_5d6868f3c7cf99b3,6,0.9789474798011969
full,additive,candidate_pool_04,1.5,mask_8b7737474604b389,8,1.7179468805883085
full,additive,candidate_pool_05,0.5,mask_ae737f6731edb34d,7,0.6083482111078881
full,additive,candidate_pool_05,1.0,mask_62191f28479b805a,7,0.8511907604846537
full,additive,candidate_pool_05,1.5,mask_de24099fc59a002a,4,1.4643490868821036
full,additive,candidate_pool_06,0.5,mask_8da4b6178fa2b73e,7,0.48632929264497976
full,additive,candidate_pool_06,1.0,mask_ba28cb4fde59866a,9,0.9918936301581806
full,additive,candidate_pool_06,1.5,mask_8a4903df460893e2,6,1.501554756233088
full,additive,candidate_pool_07,0.5,mask_9401c6bc69ed4d22,10,0.4795606264454627
full,additive,candidate_pool_07,1.0,mask_c4774bd021c06295,7,0.9323045409122873
full,additive,candidate_pool_07,1.5,mask_83fe021aaca96bf0,5,1.6013994443053128
full,additive,candidate_pool_08,0.5,mask_bda88699e1e7badf,7,0.5080863996561146
full,additive,candidate_pool_08,1.0,mask_03ced2f511e0a2f2,10,1.0024133252709846
full,additive,candidate_pool_08,1.5,mask_a9f1de05a2b5cc89,7,1.4114327917056646
full,additive,candidate_pool_09,0.5,mask_2d90e84a12b72772,4,0.5490153030430085
full,additive,candidate_pool_09,1.0,mask_6000c95aa8146da6,7,0.9434042879592084
full,additive,candidate_pool_09,1.5,mask_ea7ded36b0b6aa15,8,1.4996339055665526
full,all_pairs,candidate_pool_00,0.5,mask_b611eb15c1cbe033,4,0.44836069967926956
full,all_pairs,candidate_pool_00,1.0,mask_a096a397a7d70275,7,0.9813882140539729
full,all_pairs,candidate_pool_00,1.5,mask_153f1c2a9e066490,6,1.5643353786743823
full,all_pairs,candidate_pool_01,0.5,mask_304d12adafdb81c3,6,0.4945649194501123
full,all_pairs,candidate_pool_01,1.0,mask_76f706be2ab175f0,7,0.9392685560213444
full,all_pairs,candidate_pool_01,1.5,mask_69b8a0bd055bae3b,8,1.5122570305897165
full,all_pairs,candidate_pool_02,0.5,mask_c36034d7c9cf0b25,7,0.5024528576428726
full,all_pairs,candidate_pool_02,1.0,mask_ab59149b00e47e01,7,1.0080879407419094
full,all_pairs,candidate_pool_02,1.5,mask_053a16108482e172,6,1.317664514094976
full,all_pairs,candidate_pool_03,0.5,mask_8e19964bc0ea5bd6,8,0.5722724119177186
full,all_pairs,candidate_pool_03,1.0,mask_30716df5e75daa97,7,0.9310945888870205
full,all_pairs,candidate_pool_03,1.5,mask_0f1c886d2bd569f0,7,1.1398481264278075
full,all_pairs,candidate_pool_04,0.5,mask_8f5eca4cbcfcb5db,6,0.45119445445467327
full,all_pairs,candidate_pool_04,1.0,mask_7fb6ffeb6bd8fc1f,7,1.0046182248008113
full,all_pairs,candidate_pool_04,1.5,mask_cafa56ef6c77bde9,10,1.3663809100472502
