prompt_id,family_id,cluster_id,mask_id,mask_bits,clean_margin,ablated_margin,drop_from_clean,clean_candidate_correct,ablated_candidate_correct,clean_top1_correct,ablated_top1_correct,clean_target_nll,ablated_target_nll
qseq_00cb1c1a51bbd477,length_32_gap_8,qcluster_head_fit_0000,singleton_007,00000001000000000000000000000000,2.3957493305206299,2.3172135353088379,0.078535795211791992,True,True,False,False,8.6598358154296875,8.7074146270751953
qseq_fdb0d02eb17a3ad5,length_32_gap_8,qcluster_head_fit_0001,singleton_007,00000001000000000000000000000000,10.215413093566895,10.168988227844238,0.04642486572265625,True,True,False,False,2.7345681190490723,2.7758002281188965
qseq_0fb480259789823d,length_32_gap_8,qcluster_head_fit_0002,singleton_007,00000001000000000000000000000000,6.882781982421875,7.0390825271606445,-0.15630054473876953,True,True,False,False,2.8237743377685547,2.7910816669464111
qseq_a2e6bd810032888a,length_32_gap_8,qcluster_head_fit_0003,singleton_007,00000001000000000000000000000000,7.5004935264587402,7.3798112869262695,0.1206822395324707,True,True,False,False,5.4050335884094238,5.4780158996582031
qseq_5ce005c7be85e2b9,length_32_gap_8,qcluster_head_fit_0004,singleton_007,00000001000000000000000000000000,2.7276403903961182,2.6026403903961182,0.125,True,True,False,False,6.6313023567199707,6.6842269897460938
qseq_9c1391f827e05414,length_32_gap_8,qcluster_head_fit_0005,singleton_007,00000001000000000000000000000000,1.8520193099975586,1.6302127838134766,0.22180652618408203,True,True,False,False,5.9045639038085938,6.0851240158081055
qseq_b5c59e25abaa4090,length_32_gap_8,qcluster_head_fit_0006,singleton_007,00000001000000000000000000000000,3.0521087646484375,3.0205872058868408,0.03152155876159668,True,True,False,False,9.1370792388916016,9.1822719573974609
qseq_9aa233d4f18630ef,length_32_gap_8,qcluster_head_fit_0007,singleton_007,00000001000000000000000000000000,6.9751639366149902,6.816288948059082,0.1588749885559082,True,True,False,False,4.6577463150024414,4.7712345123291016
qseq_36581fc0e870746a,length_32_gap_8,qcluster_head_fit_0008,singleton_007,00000001000000000000000000000000,8.0897674560546875,8.0286121368408203,0.061155319213867188,True,True,False,False,4.480888843536377,4.5096964836120605
qseq_f1250fa423e1545e,length_32_gap_8,qcluster_head_fit_0009,singleton_007,00000001000000000000000000000000,3.2509446144104004,3.2283611297607422,0.022583484649658203,True,True,False,False,8.9025192260742188,8.8775272369384766
qseq_82e41c38cbe9078a,length_32_gap_8,qcluster_head_fit_0010,singleton_007,00000001000000000000000000000000,5.8846049308776855,5.9186081886291504,-0.034003257751464844,True,True,True,True,3.6410048007965088,3.6297829151153564
qseq_d0b29249fa160784,length_32_gap_8,qcluster_head_fit_0011,singleton_007,00000001000000000000000000000000,5.4871730804443359,5.3109750747680664,0.17619800567626953,True,True,False,False,5.4487943649291992,5.6681098937988281
qseq_05f13a28471ab531,length_32_gap_8,qcluster_head_fit_0012,singleton_007,00000001000000000000000000000000,4.2511196136474609,4.064702033996582,0.18641757965087891,True,True,False,False,6.8769941329956055,7.0653595924377441
qseq_f1b36b9fae18111b,length_32_gap_8,qcluster_head_fit_0013,singleton_007,00000001000000000000000000000000,6.1305027008056641,6.0255661010742188,0.10493659973144531,True,True,False,False,5.0961194038391113,5.1269636154174805
qseq_83e6b8683b1256b2,length_32_gap_8,qcluster_head_fit_0014,singleton_007,00000001000000000000000000000000,7.9680910110473633,7.6617565155029297,0.30633449554443359,True,True,False,False,4.7259693145751953,4.9423956871032715
qseq_67044cfad9f21ecb,length_32_gap_8,qcluster_head_fit_0015,singleton_007,00000001000000000000000000000000,5.8131523132324219,5.8439640998840332,-0.030811786651611328,True,True,True,True,2.5342874526977539,2.5871167182922363
qseq_70ea623170fa926c,length_32_gap_8,qcluster_head_fit_0016,singleton_007,00000001000000000000000000000000,5.2603435516357422,5.6875157356262207,-0.42717218399047852,True,True,False,False,8.448725700378418,8.0189361572265625
qseq_5b73de916863d399,length_32_gap_8,qcluster_head_fit_0017,singleton_007,00000001000000000000000000000000,7.8437633514404297,7.3749704360961914,0.46879291534423828,True,True,False,False,5.9128804206848145,6.2179718017578125
qseq_db732a487a875289,length_32_gap_8,qcluster_head_fit_0018,singleton_007,00000001000000000000000000000000,9.2667236328125,9.2204437255859375,0.0462799072265625,True,True,True,True,1.6660773754119873,1.6088012456893921
qseq_fd7563a3a3cec767,length_32_gap_8,qcluster_head_fit_0019,singleton_007,00000001000000000000000000000000,12.294552803039551,12.322713851928711,-0.028161048889160156,True,True,True,True,2.0011918544769287,2.0236673355102539
qseq_d6183e1df454b220,length_32_gap_8,qcluster_head_fit_0020,singleton_007,00000001000000000000000000000000,9.9860172271728516,8.9944305419921875,0.99158668518066406,True,True,True,True,1.0347621440887451,1.5103106498718262
qseq_1355795077be0f50,length_32_gap_8,qcluster_head_fit_0021,singleton_007,00000001000000000000000000000000,5.3960838317871094,5.1460719108581543,0.25001192092895508,True,True,True,True,3.3103845119476318,3.566685676574707
qseq_8b0497deeb8bcaef,length_32_gap_8,qcluster_head_fit_0022,singleton_007,00000001000000000000000000000000,8.4542837142944336,8.5266637802124023,-0.07238006591796875,True,True,True,True,3.305497407913208,3.3677029609680176
qseq_1fb3a17d5dccef31,length_32_gap_8,qcluster_head_fit_0023,singleton_007,00000001000000000000000000000000,5.4206523895263672,5.3093304634094238,0.11132192611694336,True,True,True,False,3.7815921306610107,3.9178702831268311
qseq_a17078d2a6b4b999,length_32_gap_8,qcluster_head_fit_0024,singleton_007,00000001000000000000000000000000,5.9483036994934082,5.7293829917907715,0.21892070770263672,True,True,False,False,7.2117376327514648,7.2882909774780273
qseq_9e89898b6bb8b44e,length_32_gap_8,qcluster_head_fit_0025,singleton_007,00000001000000000000000000000000,10.502556800842285,10.766472816467285,-0.263916015625,True,True,True,True,1.2053587436676025,1.0346505641937256
qseq_52f1b1128f7f8827,length_32_gap_8,qcluster_head_fit_0026,singleton_007,00000001000000000000000000000000,8.0663909912109375,8.0351676940917969,0.031223297119140625,True,True,False,False,2.6848030090332031,2.7244350910186768
qseq_d4bff5080bd4daa2,length_32_gap_8,qcluster_head_fit_0027,singleton_007,00000001000000000000000000000000,6.7189540863037109,6.6263637542724609,0.09259033203125,True,True,False,False,5.9518537521362305,5.9226288795471191
qseq_bc537eed9a30ad79,length_32_gap_8,qcluster_head_fit_0028,singleton_007,00000001000000000000000000000000,5.5377120971679688,5.2873587608337402,0.25035333633422852,True,True,True,False,4.0493631362915039,4.1978354454040527
qseq_4e294cfbb31deac6,length_32_gap_8,qcluster_head_fit_0029,singleton_007,00000001000000000000000000000000,4.9465541839599609,4.9667954444885254,-0.020241260528564453,True,True,False,False,7.2206516265869141,7.2037544250488281
qseq_a9426dae73873222,length_32_gap_8,qcluster_head_fit_0030,singleton_007,00000001000000000000000000000000,3.5375454425811768,3.6386396884918213,-0.10109424591064453,True,True,False,False,4.950523853302002,5.0006299018859863
qseq_84c7ecb2a5f6fb74,length_32_gap_8,qcluster_head_fit_0031,singleton_007,00000001000000000000000000000000,2.9933483600616455,2.888364315032959,0.10498404502868652,True,True,False,False,8.5902309417724609,8.846221923828125
qseq_2232308bba387df3,length_32_gap_8,qcluster_head_fit_0032,singleton_007,00000001000000000000000000000000,6.4652295112609863,6.3309578895568848,0.13427162170410156,True,True,False,False,5.0615472793579102,5.3252477645874023
qseq_c651ff600b8839df,length_32_gap_8,qcluster_head_fit_0033,singleton_007,00000001000000000000000000000000,4.3857603073120117,4.3256282806396484,0.060132026672363281,True,True,False,False,9.92498779296875,9.9513101577758789
qseq_bdd4291ac8449310,length_32_gap_8,qcluster_head_fit_0034,singleton_007,00000001000000000000000000000000,7.4923057556152344,7.3360557556152344,0.15625,True,True,False,False,2.9003491401672363,2.998260498046875
qseq_eee8756396fe6af2,length_32_gap_8,qcluster_head_fit_0035,singleton_007,00000001000000000000000000000000,8.7138853073120117,8.5593357086181641,0.15454959869384766,True,True,True,True,2.8834638595581055,2.895308256149292
qseq_d27c4368416fdc93,length_32_gap_8,qcluster_head_fit_0036,singleton_007,00000001000000000000000000000000,11.262678146362305,10.86106014251709,0.40161800384521484,True,True,True,True,2.8620254993438721,3.0895237922668457
