gamma,contrast,mean_ise_difference,ci95_low,ci95_high,positive_seed_count,seed_count
0.0,diagonal_pair_fo_minus_lifted,0.03129457678597036,-0.019556513631197873,0.10575714396365345,6,12
0.0,estimator_fo_minus_lifted_at_fo_direction,5.910726635294239e-05,-0.006194863158215059,0.005952994921280298,5,12
0.0,estimator_fo_minus_lifted_at_lifted_direction,-0.0032380967511386007,-0.010631540713280326,0.0034444914981843116,4,12
0.0,direction_fo_minus_lifted_at_fo_estimator,0.03453267353710896,-0.016995061514724956,0.11256742816193455,5,12
0.0,direction_fo_minus_lifted_at_lifted_estimator,0.03123546951961742,-0.016383089318728866,0.1018885159586982,5,12
0.0,lifted_pair_compatibility_interaction,-0.003297204017491543,-0.010648344138608493,0.0006353881328454396,6,12
1.15,diagonal_pair_fo_minus_lifted,0.7621792464878056,0.42836471812435684,1.1151296564922297,11,12
1.15,estimator_fo_minus_lifted_at_fo_direction,-1.0338503081775767,-1.8557406991218506,-0.32854671388126966,3,12
1.15,estimator_fo_minus_lifted_at_lifted_direction,0.51108705385895,0.0046173593764892275,1.1084177496919192,6,12
1.15,direction_fo_minus_lifted_at_fo_estimator,0.25109219262885546,-0.14644717114593572,0.5973619145584526,9,12
1.15,direction_fo_minus_lifted_at_lifted_estimator,1.7960295546653822,0.9859328362578461,2.675739264629187,10,12
1.15,lifted_pair_compatibility_interaction,1.5449373620365268,0.6096676936494865,2.4772954753007856,8,12
