seed,gamma,final_train_loss,device,train_readout_rank
0,1.15,0.000930469948798418,cpu,3
0,0.0,0.0008324210648424923,cpu,3
1,1.15,0.0008498909883201122,cpu,3
1,0.0,0.000681856123264879,cpu,3
2,1.15,0.0010987318819388747,cpu,3
2,0.0,0.0008403489482589066,cpu,3
3,1.15,0.0009267054265365005,cpu,3
3,0.0,0.0008152143564075232,cpu,3
4,1.15,0.0008531265193596482,cpu,3
4,0.0,0.0007637558737769723,cpu,3
5,1.15,0.0007944728713482618,cpu,3
5,0.0,0.0006968022207729518,cpu,3
6,1.15,0.0007510812720283866,cpu,3
6,0.0,0.0005941629642620683,cpu,3
7,1.15,0.0007402210030704737,cpu,3
7,0.0,0.000611395575106144,cpu,3
8,1.15,0.0007989529403857887,cpu,3
8,0.0,0.0008112206705845892,cpu,3
9,1.15,0.0009931261884048581,cpu,3
9,0.0,0.0006575318984687328,cpu,3
10,1.15,0.0007668363978154957,cpu,3
10,0.0,0.0006400941638275981,cpu,3
11,1.15,0.0008235423010773957,cpu,3
11,0.0,0.0007108383579179645,cpu,3
