seed,archetype_index,x1,x2,rho_target,bias_target,relative_offset,direction_support_fraction,manipulability_denominator,direction_target_gain_error,direction_solver_iterations,z0,zhat0,target_ref,initial_true_error,initial_observer_error,initial_mismatch,observer_gain,true_symmetric_gain,rho_measured,observer_pole,certificate_final_error,pole_only_final_error,bias_only_final_error,actual_final_error,shadow_final_error,certificate_residual,actual_integrated_squared_error,shadow_integrated_squared_error,final_suffix_value,final_shadow_value,final_suffix_shadow_abs_gap,final_suffix_move_abs,scalar_displacement,residual_displacement_l2,direction_norm,max_abs_action,would_clip_fraction
0,0,0,0,-1.25,-0.25,-0.5,0.9631742000466647,0.12099397266462067,9.477138519231598e-07,1,-0.0038321539759635925,0.2461678460240364,-0.5038321539759636,-0.5,-0.75,-0.25,0.85,-0.21249905228614807,-1.2499988850425272,0.7025,-0.6865601017882608,-0.003756264726840587,0.2462437352731594,-0.6796578094363213,-0.6865601247477778,0.00690229235193951,6.663422923789486,6.768348682816985,0.17582565546035767,0.18272797077181427,0.006902315311456603,0.17965780943632126,-0.8779339142489857,1.2482419434666756,1.4217948790991448,0.26249999999999996,0.0
0,0,0,0,-1.25,-0.25,-0.25,0.9631742000466647,0.12099397266462067,9.477138519231598e-07,1,-0.0038321539759635925,0.2461678460240364,-0.2538321539759636,-0.25,-0.5,-0.25,0.85,-0.21249905228614807,-1.2499988850425272,0.7025,-0.37437340119217377,-0.0025041764845603913,0.2474958235154396,-0.37133823335170746,-0.37437342778187316,0.003035167840466313,1.9417303404594146,1.9668266719426422,0.11750607937574387,0.12054127380590955,0.003035194430165686,0.12133823335170746,-0.5852893292643665,0.8321613711394495,1.4217948790991448,0.175,0.0
0,0,0,0,-1.25,-0.25,0.25,0.9631742000466647,0.12099397266462067,9.477138519231598e-07,1,-0.0038321539759635925,0.2461678460240364,0.2461678460240364,0.25,0.0,-0.25,0.85,-0.21249905228614807,-1.2499988850425272,0.7025,0.25,0.0,0.25,0.25,0.25,0.0,1.0,1.0,-0.0038321539759635925,-0.0038321539759635925,0.0,0.0,0.0,0.0,1.4217948790991448,0.0,0.0
0,0,0,0,-1.25,-0.25,0.5,0.9631742000466647,0.12099397266462067,9.477138519231598e-07,1,-0.0038321539759635925,0.2461678460240364,0.4961678460240364,0.5,0.25,-0.25,0.85,-0.21249905228614807,-1.2499988850425272,0.7025,0.5621867005960869,0.0012520882422801956,0.2512520882422802,0.5629501268267632,0.562186687785434,0.0007634262306762674,4.844383674968129,4.834695233065515,-0.06678228080272675,-0.0660188417613976,0.0007634390413291392,0.06295012682676315,0.29264454178221155,0.4160805109022641,1.4217948790991448,0.0875,0.0
0,0,0,0,-1.25,0.0,-0.5,0.9631742000466647,0.12099397266462067,9.477138519231598e-07,1,-0.0038321539759635925,-0.0038321539759635925,-0.5038321539759636,-0.5,-0.5,0.0,0.85,-0.21249905228614807,-1.2499988850425272,0.7025,-0.6243734011921738,-0.0025041764845603913,-0.0025041764845603913,-0.6213382333517075,-0.6243734277818731,0.003035167840466313,5.715116193034717,5.757478351874006,0.11750607937574387,0.12054127380590955,0.003035194430165686,0.12133823335170746,-0.5852893292643665,0.8321613711394495,1.4217948790991448,0.175,0.0
0,0,0,0,-1.25,0.0,-0.25,0.9631742000466647,0.12099397266462067,9.477138519231598e-07,1,-0.0038321539759635925,-0.0038321539759635925,-0.2538321539759636,-0.25,-0.25,0.0,0.85,-0.21249905228614807,-1.2499988850425272,0.7025,-0.3121867005960869,-0.0012520882422801956,-0.0012520882422801956,-0.3114320635795593,-0.31218668251590065,0.0007546370165275595,1.4340930669139063,1.4393694811849247,0.057599909603595734,0.058354528539937084,0.0007546189363413502,0.061432063579559326,-0.292644516984297,0.4160804756447162,1.4217948790991448,0.0875,0.0
0,0,0,0,-1.25,0.0,0.25,0.9631742000466647,0.12099397266462067,9.477138519231598e-07,1,-0.0038321539759635925,-0.0038321539759635925,0.2461678460240364,0.25,0.25,0.0,0.85,-0.21249905228614807,-1.2499988850425272,0.7025,0.3121867005960869,0.0012520882422801956,0.0012520882422801956,0.31295012682676315,0.312186687785434,0.0007634262306762674,1.4447146983035863,1.4393694799609094,-0.06678228080272675,-0.0660188417613976,0.0007634390413291392,0.06295012682676315,0.29264454178221155,0.4160805109022641,1.4217948790991448,0.0875,0.0
0,0,0,0,-1.25,0.0,0.5,0.9631742000466647,0.12099397266462067,9.477138519231598e-07,1,-0.0038321539759635925,-0.0038321539759635925,0.4961678460240364,0.5,0.5,0.0,0.85,-0.21249905228614807,-1.2499988850425272,0.7025,0.6243734011921738,0.0025041764845603913,0.0025041764845603913,0.6274794116616249,0.6243734219380213,0.003106010469451137,5.800936390822677,5.757478296876776,-0.1313115656375885,-0.1282055759139848,0.003105989723603708,0.1274794116616249,0.585289301763764,0.8321613320392338,1.4217948790991448,0.175,0.0
0,0,0,0,-1.25,0.25,-0.5,0.9631742000466647,0.12099397266462067,9.477138519231598e-07,1,-0.0038321539759635925,-0.2538321539759636,-0.5038321539759636,-0.5,-0.25,0.25,0.85,-0.21249905228614807,-1.2499988850425272,0.7025,-0.5621867005960869,-0.0012520882422801956,-0.2512520882422802,-0.5614320635795593,-0.5621866825159006,0.0007546370165275595,4.825122231108967,4.83469523518069,0.057599909603595734,0.058354528539937084,0.0007546189363413502,0.061432063579559326,-0.292644516984297,0.4160804756447162,1.4217948790991448,0.0875,0.0
0,0,0,0,-1.25,0.25,-0.25,0.9631742000466647,0.12099397266462067,9.477138519231598e-07,1,-0.0038321539759635925,-0.2538321539759636,-0.2538321539759636,-0.25,0.0,0.25,0.85,-0.21249905228614807,-1.2499988850425272,0.7025,-0.25,0.0,-0.25,-0.25,-0.25,0.0,1.0,1.0,-0.0038321539759635925,-0.0038321539759635925,0.0,0.0,0.0,0.0,1.4217948790991448,0.0,0.0
0,0,0,0,-1.25,0.25,0.25,0.9631742000466647,0.12099397266462067,9.477138519231598e-07,1,-0.0038321539759635925,-0.2538321539759636,0.2461678460240364,0.25,0.5,0.25,0.85,-0.21249905228614807,-1.2499988850425272,0.7025,0.37437340119217377,0.0025041764845603913,-0.2474958235154396,0.3774794116616249,0.3743734219380212,0.003106010469451137,1.9926496419961743,1.9668266392533746,-0.1313115656375885,-0.1282055759139848,0.003105989723603708,0.1274794116616249,0.585289301763764,0.8321613320392338,1.4217948790991448,0.175,0.0
0,0,0,0,-1.25,0.25,0.5,0.9631742000466647,0.12099397266462067,9.477138519231598e-07,1,-0.0038321539759635925,-0.2538321539759636,0.4961678460240364,0.5,0.75,0.25,0.85,-0.21249905228614807,-1.2499988850425272,0.7025,0.6865601017882608,0.003756264726840587,-0.2462437352731594,0.6937247589230537,0.6865601046675402,0.007164657134792973,6.8778969271377814,6.768348503971395,-0.19755691289901733,-0.1903922586435038,0.007164654255513547,0.19372475892305374,0.8779338197533282,1.2482418091132337,1.4217948790991448,0.26249999999999996,0.0
0,0,0,0,-0.75,-0.25,-0.5,0.9125219098649628,0.12099397266462067,-3.1828880310003083e-06,1,-0.0038321539759635925,0.2461678460240364,-0.5038321539759636,-0.5,-0.75,-0.25,0.85,0.212496817111969,-0.7500037445741541,0.7025,-0.3134418605467139,-0.003756264726840587,0.2462437352731594,-0.327053539454937,-0.31344186023924714,-0.013611678908223068,2.1276501141874946,2.024455464550523,-0.1767786145210266,-0.19039029373671645,0.013611679215689843,0.17294646054506302,-0.8779338076506411,1.3570560527661026,1.5457384610778313,0.26249999999999996,0.0
