prompt_id,family_id,candidate_margin,candidate_correct,top1_correct,target_nll,target_token_id,candidate_predicted_token_id,predicted_token_id
qseq_9cc417d1e04a91f0,length_32_gap_8,3.8872618675231934,True,False,7.2148046493530273,13688,13688,220
qseq_30b9ff67f16fc8e8,length_32_gap_8,10.895798683166504,True,True,3.660085916519165,1394,1394,1394
qseq_88e2006b622bbe67,length_32_gap_8,-2.8024225234985352,False,False,10.778511047363281,143143,8836,198
qseq_1240e2cdc0482937,length_32_gap_8,2.6332986354827881,True,False,10.019697189331055,131501,131501,198
qseq_cb2291dad9994e05,length_32_gap_8,3.6526093482971191,True,False,7.9789180755615234,97017,97017,220
qseq_c6ddcce69fd114ff,length_32_gap_8,3.859860897064209,True,False,5.8852658271789551,134281,134281,220
qseq_57f82984a0a768c6,length_32_gap_8,12.383193969726562,True,True,0.9181792140007019,61700,61700,61700
qseq_f339c328375f6c5e,length_32_gap_8,9.2095851898193359,True,True,3.3066341876983643,3355,3355,3355
qseq_dc76e1c5f6e21095,length_32_gap_8,9.2637786865234375,True,False,3.4844973087310791,22967,22967,13
qseq_19a18353cf554214,length_32_gap_8,5.7761874198913574,True,False,5.0442609786987305,16145,16145,99465
qseq_1716aed49c5f8ae3,length_32_gap_8,5.8096117973327637,True,False,4.7108521461486816,29613,29613,8860
qseq_4272ef47945a3ba4,length_32_gap_8,9.9715976715087891,True,False,4.0533294677734375,79808,79808,220
qseq_351530ca1c23f384,length_32_gap_8,11.674280166625977,True,True,1.4501368999481201,42995,42995,42995
qseq_0a58349db0b5bda9,length_32_gap_8,8.6194210052490234,True,True,3.8646245002746582,60983,60983,60983
qseq_6c5473a4960ba6e0,length_32_gap_8,5.8772883415222168,True,False,5.3239016532897949,112110,112110,220
qseq_2eca3dfa5d7788fa,length_32_gap_8,3.0521919727325439,True,False,7.3108119964599609,99019,99019,1
qseq_300bd1a2b9571100,length_32_gap_8,7.7293124198913574,True,True,2.9942038059234619,94084,94084,94084
qseq_6790ad2d3a9f6c5f,length_32_gap_8,8.5191268920898438,True,False,3.9755866527557373,48884,48884,13
qseq_0bb7141cdab0c545,length_32_gap_8,13.277411460876465,True,True,2.3622839450836182,68628,68628,68628
qseq_9d7a23e86d231a17,length_32_gap_8,3.6602213382720947,True,False,6.4768810272216797,83470,83470,3563
qseq_257ab141d3d46426,length_32_gap_8,7.8642282485961914,True,False,5.4312405586242676,90439,90439,15265
qseq_b49924081b769a62,length_32_gap_8,2.0630455017089844,True,False,9.2527179718017578,10942,10942,1
qseq_ddd7ff0179930c58,length_32_gap_8,6.6344385147094727,True,False,5.8858556747436523,12890,12890,220
qseq_0f9cffa6dca7a085,length_32_gap_8,4.87451171875,True,False,6.9869132041931152,110771,110771,19655
qseq_0452a0038e751f80,length_32_gap_8,10.027462959289551,True,True,3.2890961170196533,3820,3820,3820
qseq_6e34ad6b9f51b34d,length_32_gap_8,3.0104789733886719,True,False,6.0514087677001953,111312,111312,15767
