prompt_id,family_id,arm,effect
qseq_20d84938c3ec3dc4,length_32_gap_8,selected,2.9434232711791992
qseq_59a61a4ecc55ea15,length_32_gap_8,selected,2.2638092041015625
qseq_31237421f3e8fb73,length_32_gap_8,selected,3.2342596054077148
qseq_db51bc7a8ce2bdc9,length_32_gap_8,selected,2.9708094596862797
qseq_255b180c5f28b7b1,length_32_gap_8,selected,0.88665390014648426
qseq_1c4677283f4ddd38,length_32_gap_8,selected,3.1514182090759282
qseq_f7e61a8c16cb0bc2,length_32_gap_8,selected,2.3497810363769527
qseq_67a3ef5387ab6eca,length_32_gap_8,selected,2.604311466217041
qseq_7e2b133ba97b8dce,length_32_gap_8,selected,2.0085220336914062
qseq_950af0df43357e44,length_32_gap_8,selected,2.4564523696899414
qseq_74ed97927d986956,length_32_gap_8,selected,3.4562109112739563
qseq_87afc113ff384c6d,length_32_gap_8,selected,2.5797278881072998
qseq_2a1a536b5de4cf84,length_32_gap_8,selected,0.29180073738098139
qseq_63682190c380ff47,length_32_gap_8,selected,0.52468705177307118
qseq_6cd4ec537ca76518,length_32_gap_8,selected,2.8358051776885982
qseq_a9ea8585d9a3c7f1,length_32_gap_8,selected,5.679835319519043
qseq_11741601f9bfa578,length_32_gap_8,selected,4.6752443313598633
qseq_22a648f6472d4674,length_32_gap_8,selected,4.3204135894775391
qseq_a88503e9abfb0d77,length_32_gap_8,selected,8.3370201587676984
qseq_3ac95bf0de6f1790,length_32_gap_8,selected,2.5391098260879521
qseq_81860bc02f0fb157,length_32_gap_8,selected,3.263392448425293
qseq_c3c978d14fde62e1,length_32_gap_8,selected,2.076425313949585
qseq_54e32c4912938dbc,length_32_gap_8,selected,2.1669316291809082
qseq_db9cc61c16a077a0,length_32_gap_8,selected,4.5543479919433603
qseq_88cc5ee4f2c1aee5,length_32_gap_8,selected,3.3846209049224854
qseq_233e7deb7facb2d3,length_32_gap_8,selected,1.5481863021850586
qseq_d39f95bd596f6631,length_32_gap_8,selected,0.30757236480712891
qseq_3722357b53a5dc31,length_32_gap_8,selected,3.6779632568359375
qseq_1fad909cfec0bc31,length_32_gap_8,selected,2.8274860382080078
qseq_fb081f0f4fed1e4a,length_32_gap_8,selected,0.34641718864440912
qseq_cfa290f91e756400,length_32_gap_8,selected,4.2566230297088623
qseq_f8c0f781f4c949d8,length_32_gap_8,selected,4.9317212104797363
qseq_8ac75402182e3000,length_32_gap_8,selected,1.7355144023895264
qseq_4d0c2bcc7fd5efd9,length_32_gap_8,selected,4.3164482116699219
qseq_1ac3e646d5b1a53b,length_32_gap_8,selected,3.3826601505279541
qseq_da502db63aa53069,length_32_gap_8,selected,3.0281982421875
qseq_2afb1901a35bc7e4,length_32_gap_8,selected,1.893094062805176
qseq_ca9c1c54e5e581ab,length_32_gap_8,selected,2.5847420692443848
qseq_00ed603bd5ff1e0f,length_32_gap_8,selected,2.6235274076461792
qseq_6b8de9991cf2ccf0,length_32_gap_8,selected,1.6499342918395996
qseq_5fc0c2647c795de0,length_32_gap_8,selected,3.207362174987793
qseq_2ed16ad0822e1aa9,length_32_gap_8,selected,2.4444036483764648
qseq_c90fbe0d78789bdf,length_32_gap_8,selected,5.0957217216491699
qseq_265dbb128691c4ea,length_32_gap_8,selected,1.9398493766784668
qseq_74f97f9f309af75a,length_32_gap_8,selected,1.0604314804077148
qseq_5fae35a4e32931ac,length_32_gap_8,selected,2.8994917869567871
qseq_1607504492823f9b,length_32_gap_8,selected,4.2256278991699219
qseq_515c6d1a3124f890,length_32_gap_8,selected,2.1213607788085938
qseq_91148b6cc5bccdd2,length_32_gap_8,selected,4.1243581771850586
qseq_65d0ab00219d2c21,length_32_gap_8,selected,3.2277779579162602
qseq_712af6cd95e56e10,length_32_gap_8,selected,5.4011707305908203
qseq_c2368bbd0e7be1e6,length_32_gap_8,selected,2.0458145141601558
qseq_94595c58ff11bc3c,length_32_gap_8,selected,2.993172168731689
qseq_22463e75f2e88311,length_32_gap_8,selected,3.57662034034729
qseq_c9d5935b86e922bb,length_32_gap_8,selected,2.8538622856140137
qseq_041fbec7259fe37b,length_32_gap_8,selected,2.5476980209350586
qseq_0f456dc928177364,length_32_gap_8,selected,1.5446727275848389
qseq_f7c35de3d1ed3dd4,length_32_gap_8,selected,6.975516676902771
qseq_fc6cbdd98e626237,length_32_gap_8,selected,4.5319051742553711
qseq_283b7aef68bf4713,length_32_gap_8,selected,3.2598490715026851
qseq_878b4243e0fd2299,length_32_gap_8,selected,2.8735852241516118
qseq_f273063a59bc269c,length_32_gap_8,selected,3.1270737648010254
qseq_c857772dff50b7c9,length_32_gap_8,selected,4.6253228187561044
qseq_a4034c146d2097b6,length_32_gap_8,selected,4.0319194793701172
qseq_6a43aad004f55b84,length_32_gap_16,selected,2.5009574890136719
qseq_22435d1498b5a005,length_32_gap_16,selected,6.1150350570678711
qseq_4c036622e19d9d6b,length_32_gap_16,selected,3.651098251342773
qseq_d6641034d0be8342,length_32_gap_16,selected,2.2520198822021484
qseq_595210b1f60a1357,length_32_gap_16,selected,1.7861306667327881
qseq_c263909a3e8b90c4,length_32_gap_16,selected,2.2572016716003418
qseq_0e8875dd88aee451,length_32_gap_16,selected,5.3926498889923096
qseq_896b3a4912ea8622,length_32_gap_16,selected,9.4468474388122576
qseq_9b64a3becfbd762f,length_32_gap_16,selected,1.8255529403686523
qseq_ed3677b086344f78,length_32_gap_16,selected,7.4103784561157218
qseq_7c4ccb738db6c43f,length_32_gap_16,selected,3.7198419570922847
qseq_4bcc669cfbe06aec,length_32_gap_16,selected,3.2684183120727535
qseq_d655cbb1b1d0f52c,length_32_gap_16,selected,5.408195972442627
qseq_beba677c00f54b18,length_32_gap_16,selected,1.4000654220581057
qseq_c8ef42ef0f8a2c5c,length_32_gap_16,selected,12.001047134399414
qseq_2ec97ed8227e5716,length_32_gap_16,selected,0.90632963180542003
qseq_e03ad6b0311fe221,length_32_gap_16,selected,2.5093567371368408
qseq_fda70a568a1c98df,length_32_gap_16,selected,9.4929268956184387
qseq_40814c5fcde637d1,length_32_gap_16,selected,2.1678390502929688
qseq_1d773709596e952f,length_32_gap_16,selected,1.7104244232177734
qseq_f517d71e2721b8d3,length_32_gap_16,selected,1.5785295963287354
qseq_9905ed5dd15abc87,length_32_gap_16,selected,2.1456184387207031
qseq_bd6635d4c2d7b033,length_32_gap_16,selected,3.0241374969482422
qseq_db0d2b08247a10b5,length_32_gap_16,selected,2.3994152545928955
qseq_16c88b045e1b06b4,length_32_gap_16,selected,8.7084619998931867
qseq_586dc731c8417e51,length_32_gap_16,selected,8.1988437175750732
qseq_4c40443a70c944b5,length_32_gap_16,selected,4.8118681907653809
qseq_5bd8107efa3918f2,length_32_gap_16,selected,3.5276267528533936
