measurement_budget,reference,candidate,repetition,oracle_regret_reduction,absolute_error_reduction,within_tolerance_improvement
160,additive_head,count_plus_PE_bin4,0,0.023020569793879987,0.023020569793879987,0.0
160,additive_head,count_plus_PE_bin4,1,0.0642572721466422,0.0642572721466422,0.075
160,additive_head,count_plus_PE_bin4,2,0.10076360367238521,0.10076360367238521,0.2
160,additive_head,count_plus_PE_bin4,3,0.078927506133914,0.078927506133914,0.125
160,additive_head,count_plus_PE_bin4,4,0.020588068291544914,0.020588068291544914,0.075
160,additive_head,count_plus_PE_bin4,5,0.024650809727609156,0.024650809727609156,0.05
160,additive_head,count_plus_PE_bin4,6,0.03950711954385042,0.03950711954385042,0.1
160,additive_head,count_plus_PE_bin4,7,0.0453203434124589,0.0453203434124589,0.075
160,additive_head,count_plus_PE_bin4,8,0.05352687016129494,0.05352687016129494,0.1
160,additive_head,count_plus_PE_bin4,9,0.06954796109348535,0.06954796109348535,0.2
160,additive_head,count_plus_PE_bin4,10,0.07471013627946377,0.07471013627946377,0.1
160,additive_head,count_plus_PE_bin4,11,0.06714985091239214,0.06714985091239214,-0.05
160,additive_head,count_plus_PE_bin4,12,0.03989467807114124,0.03989467807114124,-0.025
160,additive_head,count_plus_PE_bin4,13,0.07721476834267378,0.07721476834267378,-0.05
160,additive_head,count_plus_PE_bin4,14,0.060487950406968596,0.060487950406968596,0.075
160,additive_head,count_plus_PE_bin4,15,0.0636534072458744,0.0636534072458744,-0.075
160,additive_head,count_plus_PE_bin4,16,0.08652215041220188,0.08652215041220188,0.25
160,additive_head,count_plus_PE_bin4,17,0.010245370492339135,0.010245370492339135,0.0
160,additive_head,count_plus_PE_bin4,18,0.1147157184779644,0.1147157184779644,0.175
160,additive_head,count_plus_PE_bin4,19,0.13885052762925626,0.13885052762925626,0.175
160,additive_head,count_plus_PE_bin4,20,0.08025668598711491,0.08025668598711491,0.1
160,additive_head,count_plus_PE_bin4,21,0.0017970401793718338,0.0017970401793718338,0.075
160,additive_head,count_plus_PE_bin4,22,0.07515763286501169,0.07515763286501169,0.2
160,additive_head,count_plus_PE_bin4,23,0.15997154265642166,0.15997154265642166,0.275
160,additive_head,count_plus_PE_bin4,24,0.05344596914947033,0.05344596914947033,0.1
160,additive_head,count_plus_PE_bin4,25,0.020347958616912364,0.020347958616912364,-0.05
160,additive_head,count_plus_PE_bin4,26,0.11004729233682156,0.11004729233682156,0.15
160,additive_head,count_plus_PE_bin4,27,0.052819414623081686,0.052819414623081686,0.025
160,additive_head,count_plus_PE_bin4,28,0.07687282934784889,0.07687282934784889,0.125
160,additive_head,count_plus_PE_bin4,29,0.022067838907241823,0.022067838907241823,0.025
160,additive_head,count_plus_all_bin4,0,0.07103435806930065,0.07103435806930065,0.05
160,additive_head,count_plus_all_bin4,1,0.034571329690515996,0.034571329690515996,0.05
