selector,target,pool_id,selected_mask_id,selected_is_noop,actual_target_loss,oracle_target_loss,regret
direct_risk,0.86343068687710911,qpool_04a0d16a2ce1d6ae,qmask_04e99e00df510b89,False,0.6262034039145874,0.6262034039145874,0
exact_noop,0.86343068687710911,qpool_04a0d16a2ce1d6ae,analytic_noop,True,0.86343068687710911,0.6262034039145874,0.23722728296252171
natural_mean,0.86343068687710911,qpool_04a0d16a2ce1d6ae,qmask_6d873abcf3a8f6b9,False,0.72492570760869057,0.6262034039145874,0.098722303694103175
transformed_mean,0.86343068687710911,qpool_04a0d16a2ce1d6ae,qmask_04e99e00df510b89,False,0.6262034039145874,0.6262034039145874,0
direct_risk,0.86343068687710911,qpool_094d56ddcd5f1fe4,qmask_168ecc77c6d9bec7,False,0.65573787143512163,0.65573787143512163,0
exact_noop,0.86343068687710911,qpool_094d56ddcd5f1fe4,analytic_noop,True,0.86343068687710911,0.65573787143512163,0.20769281544198748
natural_mean,0.86343068687710911,qpool_094d56ddcd5f1fe4,qmask_cdd694ec938105ff,False,0.80659214691331726,0.65573787143512163,0.15085427547819563
transformed_mean,0.86343068687710911,qpool_094d56ddcd5f1fe4,qmask_168ecc77c6d9bec7,False,0.65573787143512163,0.65573787143512163,0
direct_risk,0.86343068687710911,qpool_0b1792f4952557ee,qmask_bde177d3edcb1ae0,False,0.64563089520743233,0.64563089520743233,0
exact_noop,0.86343068687710911,qpool_0b1792f4952557ee,analytic_noop,True,0.86343068687710911,0.64563089520743233,0.21779979166967678
natural_mean,0.86343068687710911,qpool_0b1792f4952557ee,qmask_bde177d3edcb1ae0,False,0.64563089520743233,0.64563089520743233,0
transformed_mean,0.86343068687710911,qpool_0b1792f4952557ee,qmask_bde177d3edcb1ae0,False,0.64563089520743233,0.64563089520743233,0
direct_risk,0.86343068687710911,qpool_0ffd30d33ad8dd0f,qmask_b996be105c0f3dda,False,0.71064613058479154,0.71064613058479154,0
exact_noop,0.86343068687710911,qpool_0ffd30d33ad8dd0f,analytic_noop,True,0.86343068687710911,0.71064613058479154,0.15278455629231757
natural_mean,0.86343068687710911,qpool_0ffd30d33ad8dd0f,qmask_31a763e8bc0202e0,False,0.77010157314180105,0.71064613058479154,0.059455442557009519
transformed_mean,0.86343068687710911,qpool_0ffd30d33ad8dd0f,qmask_8fc54aeb91caafc9,False,0.97563687106685393,0.71064613058479154,0.26499074048206239
direct_risk,0.86343068687710911,qpool_169a31b6710ef111,qmask_55cbf5fefb67a9c9,False,0.61893912743425972,0.61893912743425972,0
exact_noop,0.86343068687710911,qpool_169a31b6710ef111,analytic_noop,True,0.86343068687710911,0.61893912743425972,0.24449155944284939
natural_mean,0.86343068687710911,qpool_169a31b6710ef111,qmask_68ff8f889255b0e9,False,0.63824524183746689,0.61893912743425972,0.019306114403207175
transformed_mean,0.86343068687710911,qpool_169a31b6710ef111,qmask_68ff8f889255b0e9,False,0.63824524183746689,0.61893912743425972,0.019306114403207175
direct_risk,0.86343068687710911,qpool_3bc403a0734a65bf,qmask_330533bb35dfe50c,False,0.69939998906011169,0.65201222961013627,0.04738775944997542
exact_noop,0.86343068687710911,qpool_3bc403a0734a65bf,analytic_noop,True,0.86343068687710911,0.65201222961013627,0.21141845726697284
