measurement_budget,model,family_id,n_prompt_mask_cells,n_prompt_clusters,mae,rmse,bias
16,additive,all,65536,128,0.91518928190865234,1.3621089413011203,-0.35362919959838696
16,no_effect,all,65536,128,1.7357725880729049,2.2753437040058695,-1.7067298781339559
16,quadratic,all,65536,128,0.91269525242685567,1.2998787044631994,-0.079860758518135802
40,additive,all,65536,128,0.96549424974357101,1.3121683060826563,0.11412277394585606
40,no_effect,all,65536,128,1.7357725880729049,2.2753437040058695,-1.7067298781339559
40,quadratic,all,65536,128,0.92666117863330089,1.2935851659116588,0.023573849866334103
64,additive,all,65536,128,0.94944875744385882,1.3061893105545821,0.064764447384129939
64,no_effect,all,65536,128,1.7357725880729049,2.2753437040058695,-1.7067298781339559
64,quadratic,all,65536,128,0.92703977995952669,1.2933769485402653,0.027789621227707711
128,additive,all,65536,128,0.93734240828845883,1.3007264041146991,0.031673566396364053
128,no_effect,all,65536,128,1.7357725880729049,2.2753437040058695,-1.7067298781339559
128,quadratic,all,65536,128,0.92876268939293949,1.2935082824652953,0.036782013459058654
16,additive,length_32_gap_16,16384,128,1.0403425203059373,1.5881295282252654,-0.60235729367245439
16,additive,length_32_gap_8,16384,128,0.80868497312328513,1.126123457160348,-0.1092874506726243
16,additive,length_64_gap_16,16384,128,1.0291027643665358,1.5350511088217216,-0.49699623038627255
16,additive,length_64_gap_8,16384,128,0.78262686983885077,1.1290136075385711,-0.20587582366219653
16,no_effect,length_32_gap_16,16384,128,1.9752382180067798,2.5790085336995983,-1.9554579722080234
16,no_effect,length_32_gap_8,16384,128,1.523701065512796,1.9829379157863558,-1.4623881292081933
16,no_effect,length_64_gap_16,16384,128,1.8688373377954122,2.458233927349089,-1.8500969089218415
16,no_effect,length_64_gap_8,16384,128,1.5753137309766316,2.0205232117221494,-1.5589765021977655
16,quadratic,length_32_gap_16,16384,128,0.98778859568609845,1.4769864126149097,-0.32858885259220327
16,quadratic,length_32_gap_8,16384,128,0.84244593927114697,1.1126319760702303,0.16448099040762687
16,quadratic,length_64_gap_16,16384,128,1.0144617760728618,1.4557810157372226,-0.22322778930602141
16,quadratic,length_64_gap_8,16384,128,0.80608469867731536,1.1045367546006781,0.067892617418054635
40,additive,length_32_gap_16,16384,128,1.0123659673732843,1.4592448887446641,-0.13460532012821141
40,additive,length_32_gap_8,16384,128,0.93012952879199662,1.1758412724965401,0.35846452287161867
40,additive,length_64_gap_16,16384,128,1.0491963221576635,1.4437999666795351,-0.029244256842029522
40,additive,length_64_gap_8,16384,128,0.87028518065133964,1.1360395973441126,0.26187614988204649
40,no_effect,length_32_gap_16,16384,128,1.9752382180067798,2.5790085336995983,-1.9554579722080234
40,no_effect,length_32_gap_8,16384,128,1.523701065512796,1.9829379157863558,-1.4623881292081933
40,no_effect,length_64_gap_16,16384,128,1.8688373377954122,2.458233927349089,-1.8500969089218415
40,no_effect,length_64_gap_8,16384,128,1.5753137309766316,2.0205232117221494,-1.5589765021977655
40,quadratic,length_32_gap_16,16384,128,0.98205115980792801,1.4477747983486127,-0.22515424420773339
40,quadratic,length_32_gap_8,16384,128,0.87418872446363038,1.1357363433499117,0.2679155987920967
40,quadratic,length_64_gap_16,16384,128,1.0213485469168617,1.4369295526172465,-0.11979318092155147
40,quadratic,length_64_gap_8,16384,128,0.82905628334478376,1.1147801928374852,0.17132722580252452
64,additive,length_32_gap_16,16384,128,1.0033271261718644,1.4610801105526865,-0.18396364668993753
64,additive,length_32_gap_8,16384,128,0.90500817966648861,1.1562886383126345,0.30910619630989256
64,additive,length_64_gap_16,16384,128,1.0376962953169397,1.4442911162839918,-0.078602583403755644
64,additive,length_64_gap_8,16384,128,0.85176342862014243,1.1255162046402616,0.21251782332032038
64,no_effect,length_32_gap_16,16384,128,1.9752382180067798,2.5790085336995983,-1.9554579722080234
64,no_effect,length_32_gap_8,16384,128,1.523701065512796,1.9829379157863558,-1.4623881292081933
64,no_effect,length_64_gap_16,16384,128,1.8688373377954122,2.458233927349089,-1.8500969089218415
64,no_effect,length_64_gap_8,16384,128,1.5753137309766316,2.0205232117221494,-1.5589765021977655
64,quadratic,length_32_gap_16,16384,128,0.981802683309002,1.4468224739543925,-0.22093847284635976
64,quadratic,length_32_gap_8,16384,128,0.87529244964601161,1.1365729871231371,0.27213137015347039
64,quadratic,length_64_gap_16,16384,128,1.0213262169819788,1.4361681599797951,-0.1155774095601779
64,quadratic,length_64_gap_8,16384,128,0.82973776990111414,1.1151786018948011,0.17554299716389815
128,additive,length_32_gap_16,16384,128,0.995374964310899,1.4606788526198125,-0.21705452767770342
128,additive,length_32_gap_8,16384,128,0.88844773586842729,1.1441102592846812,0.2760153153221267
128,additive,length_64_gap_16,16384,128,1.0274694605293182,1.4414783285300921,-0.11169346439152156
128,additive,length_64_gap_8,16384,128,0.83807747244519104,1.1167479330321242,0.17942694233255449
128,no_effect,length_32_gap_16,16384,128,1.9752382180067798,2.5790085336995983,-1.9554579722080234
128,no_effect,length_32_gap_8,16384,128,1.523701065512796,1.9829379157863558,-1.4623881292081933
128,no_effect,length_64_gap_16,16384,128,1.8688373377954122,2.458233927349089,-1.8500969089218415
128,no_effect,length_64_gap_8,16384,128,1.5753137309766316,2.0205232117221494,-1.5589765021977655
128,quadratic,length_32_gap_16,16384,128,0.98193369009514608,1.4449097519223142,-0.21194608061500883
128,quadratic,length_32_gap_8,16384,128,0.87837769725372461,1.1390485626597404,0.28112376238482129
128,quadratic,length_64_gap_16,16384,128,1.0223771898919711,1.4351628504623204,-0.10658501732882694
128,quadratic,length_64_gap_8,16384,128,0.83236218033091602,1.1170346819059442,0.18453538939524908
