measurement_budget,model,mask_id,mask_bits,predicted_mean_effect,n_heads,observed_mean_effect,error,absolute_error,squared_error
16,additive,qmask_03e03e6bad3167c1,00110101,0.5800387804648206,4,0.78110911161638796,-0.20107033115156736,0.20107033115156736,0.040429278069400963
16,additive,qmask_04e99e00df510b89,10100010,1.1728193612717053,3,1.168105891556479,0.0047134697152262373,0.0047134697152262373,2.2216796756354905e-05
16,additive,qmask_05031e6a7405856b,00111110,0.74937412407371906,5,1.1515382962534204,-0.40216417217970135,0.40216417217970135,0.16173602138498447
16,additive,qmask_06e53efa12c0c89c,01010011,1.0831708458016167,4,1.2667675270931795,-0.18359668129156281,0.18359668129156281,0.033707741381275691
16,additive,qmask_07e4d5ad11974b66,01010100,1.1330114076919708,3,1.2360670811031014,-0.10305567341113053,0.10305567341113053,0.010620471822221597
16,additive,qmask_0cd7ddfc8c2186ca,00110100,0.56890395705755237,3,0.70514048729091883,-0.13623653023336646,0.13623653023336646,0.018560392170026974
16,additive,qmask_14432725d56e8049,10011100,1.3304539385864738,4,1.657465138239786,-0.32701119965331227,0.32701119965331227,0.10693632469869846
16,additive,qmask_168ecc77c6d9bec7,00100011,0.3330438667539185,3,0.46551199280656869,-0.13246812605265018,0.13246812605265018,0.017547804419900819
16,additive,qmask_17b31d3e8666d651,01011101,1.3130346239130974,5,1.7623814434045926,-0.44934681949149513,0.44934681949149513,0.20191256418712231
16,additive,qmask_1d6d1ddc1980f1fe,10111000,1.5161455082965354,4,1.7391383822541684,-0.22299287395763301,0.22299287395763301,0.049725821835884802
16,additive,qmask_22c3d94ed895c2d5,10010110,1.1731473199749236,4,1.3779948428273201,-0.20484752285239649,0.20484752285239649,0.041962507618763099
16,additive,qmask_239a2dd293cc8eaf,11000001,1.7364798611110837,3,2.1243782427045517,-0.38789838159346801,0.38789838159346801,0.15046515444283173
16,additive,qmask_2678a15f3a1887ca,10110001,1.3583919388899452,4,1.4760047848685645,-0.11761284597861921,0.11761284597861921,0.013832781539190405
16,additive,qmask_282cb65c9e54d1f9,01101110,1.3857107755048497,5,1.6544453725218773,-0.26873459701702762,0.26873459701702762,0.072218283633904229
16,additive,qmask_2def687a70c0189d,11100100,2.0561509264137374,4,2.3986410595243797,-0.34249013311064225,0.34249013311064225,0.11729949127814544
16,additive,qmask_30f1d2fade2e7178,01001010,1.0549048867949271,3,1.1769095683703199,-0.12200468157539279,0.12200468157539279,0.014885142326312989
16,additive,qmask_31a763e8bc0202e0,00101110,0.56335459566043922,4,0.80309577449224889,-0.23974117883180968,0.23974117883180968,0.057475832827665746
16,additive,qmask_323b67f1b27b5893,11111100,2.4110588476408763,6,3.2386084526660852,-0.82754960502520891,0.82754960502520891,0.68483834877737926
16,additive,qmask_330533bb35dfe50c,10001011,1.0945938482828399,4,1.29825533577241,-0.20366148748957014,0.20366148748957014,0.041478001486464335
16,additive,qmask_3745eec79815ddf1,10011011,1.2806133766961201,5,1.687601285520941,-0.40698790882482094,0.40698790882482094,0.16563915792960077
16,additive,qmask_39ecce4dbde1e7f4,11001001,1.9053682539249417,4,2.4928785060765222,-0.58751025215158048,0.58751025215158048,0.34516829638321367
16,additive,qmask_3b86e07f9bac3525,10001010,1.0834590248755718,3,1.1970709530869499,-0.11361192821137811,0.11361192821137811,0.012907670231907333
16,additive,qmask_424f9867dfadb061,10110000,1.3472571154826771,3,1.3647634562803432,-0.017506340797666109,0.017506340797666109,0.00030647196812402886
