measurement_budget,model,n_masks,mae,rmse,r2
16,additive,128,0.35412956043262944,0.42975806009558826,0.68886818232551783
16,no_effect,128,1.7067298781339559,1.8725758178519276,-4.907111742647932
16,quadratic,128,0.10014626912639721,0.13797053512105703,0.96793220767388111
40,additive,128,0.20214835989722957,0.22613466282835223,0.91385488786244284
40,no_effect,128,1.7067298781339559,1.8725758178519276,-4.907111742647932
40,quadratic,128,0.044863581828979177,0.052094181166025232,0.99542833080885551
64,additive,128,0.15650254311491713,0.18836596627766619,0.94022752479737925
64,no_effect,128,1.7067298781339559,1.8725758178519276,-4.907111742647932
64,quadratic,128,0.039186628016120231,0.046638538356095487,0.99633574045790185
128,additive,128,0.12099404232748553,0.14574086800146496,0.96421845668101758
128,no_effect,128,1.7067298781339559,1.8725758178519276,-4.907111742647932
128,quadratic,128,0.040361956807228316,0.050148769187115201,0.99576340526689777
