measurement_order,mask_id,mask_bits,n_heads,n_P,n_B,n_E
1,mask_7203f93a2635abea,0000000000000,0,0,0,0
2,mask_43440c852c00c38d,1000000000000,1,1,0,0
3,mask_d0559a77969bb1b2,0100000000000,1,1,0,0
4,mask_e5b44e1a9f4c5959,0010000000000,1,1,0,0
5,mask_f41294293eb60554,0001000000000,1,0,1,0
6,mask_3d2e4f0482247a70,0000100000000,1,0,1,0
7,mask_a2c30b150c143c57,0000010000000,1,0,1,0
8,mask_d344390bbdcb620e,0000001000000,1,0,1,0
9,mask_8eea5afd64420ec9,0000000100000,1,0,1,0
10,mask_58c81e57e5c8e5f7,0000000010000,1,0,1,0
11,mask_fc3210c6f024ef9c,0000000001000,1,0,1,0
12,mask_296633b495edaa34,0000000000100,1,0,1,0
13,mask_ac28e661f7c25453,0000000000010,1,0,0,1
14,mask_e7e0f4361a310949,0000000000001,1,0,0,1
15,mask_d8711151bd101bd8,1111111101111,12,3,7,2
16,mask_8a44a493fb6528d1,0100001110011,6,1,3,2
17,mask_015dad00d7386e9b,1110100011001,7,3,3,1
18,mask_2510e485bb2b95de,1001111111101,10,1,8,1
19,mask_6d23fa13bafc5c47,0110000010011,5,2,1,2
20,mask_8f2f94aca0ccd73d,0010111100111,8,1,5,2
21,mask_7a9091199da4d37b,1010011011101,8,2,5,1
22,mask_5a68ba0a7a68f0d3,1000010000010,3,1,1,1
23,mask_42c0d9b9c69ba571,0001110111111,9,0,7,2
24,mask_1faf4198f695d1a1,1101111111100,10,2,8,0
25,mask_06e8e2fa98f55c2c,1100000000011,4,2,0,2
26,mask_c83b43a3152002bc,0011100001000,4,1,3,0
27,mask_c59163d05ead6201,0000000011101,4,0,3,1
28,mask_67af076f768ae22d,1111100011100,8,3,5,0
29,mask_434d5cf6131274bb,1010010100000,4,2,2,0
30,mask_cb5aef142727a337,0001101111101,8,0,7,1
31,mask_c117853aec3fbd39,1100000000010,3,2,0,1
32,mask_7e52cbbae77abec3,0001011011000,5,0,5,0
33,mask_0312f7819fb17e8e,1000011111100,7,1,6,0
34,mask_ffb0a0176bfe7b87,0010000000001,2,1,0,1
35,mask_2dc6fc957d0275c6,0000101000011,4,0,2,2
36,mask_a042d53a1d380374,1101100110011,8,2,4,2
37,mask_0d7b838fa1861f00,0111110011110,9,2,6,1
38,mask_ed0049b586f36229,1001111011011,9,1,6,2
39,mask_80ccb57b38712af8,1101001000110,6,2,3,1
40,mask_0a4b744a4ebdf041,0100001111010,6,1,4,1
41,mask_e1ad212588f12f9e,1100100001111,7,2,3,2
42,mask_675a97eb1bf1232b,1101010101001,7,2,4,1
43,mask_c045fcb6e343a349,0100001000101,4,1,2,1
44,mask_99b2ed72f7579527,0100010010100,4,1,3,0
45,mask_4d0d315afec82d23,1111010000111,8,3,3,2
46,mask_29a54e482c76feae,0000110100010,4,0,3,1
47,mask_18e01ea97469667f,0011100100100,5,1,4,0
48,mask_39515525b8f2cb41,0000111000101,5,0,4,1
49,mask_d723379aab9aceeb,1000000100111,5,1,2,2
50,mask_fb97c260527cf582,1110111110110,10,3,6,1
51,mask_fa53ddd220d994d3,1110001000000,4,3,1,0
52,mask_6c4f9b11c70fab77,1010001111111,9,2,5,2
53,mask_14349cd05dc745c1,0000111101100,6,0,6,0
54,mask_aac1a641407e579a,0101010001111,7,1,4,2
55,mask_c3d1c64416c1f46b,0110100000001,4,2,1,1
56,mask_b93a49d420a1adec,0001001101111,7,0,5,2
57,mask_e4b576a69437483d,0110000000010,3,2,0,1
58,mask_eed66c50aa6fddf3,0111011101100,8,2,6,0
59,mask_e395ffa1a166d31d,0010000001011,4,1,1,2
60,mask_f5ba1d5734b4ad11,0011000010001,4,1,2,1
61,mask_dca54ad7b73748c8,0001011000011,5,0,3,2
62,mask_b1ac826da52ee688,0100000000010,2,1,0,1
63,mask_3ec86a7e27236c7b,0011100010110,6,1,4,1
64,mask_71ab5e06006df633,1111000101010,7,3,3,1
65,mask_0a6b922b267188c3,0100110101001,6,1,4,1
66,mask_cb283522702ec5ab,1010101001000,5,2,3,0
67,mask_3544619ebdeb7d4a,0001011001010,5,0,4,1
68,mask_beb6050bf0cbcc08,0000110010111,6,0,4,2
69,mask_eec92cb140847a6e,0101111010000,6,1,5,0
