prompt_id,split,template_id,structure,io_name,s_name,prompt,answer,counterfactual_answer,answer_token_id,counterfactual_token_id
prompt_07ab3ebd485cf369,reference,abba_meeting,ABBA,Frances,Sandra,"Because Frances and Sandra attended the meeting, Sandra sent a short note to",Frances,Sandra,27025,32464
prompt_0d0e8e379a2e1bed,reference,abba_meeting,ABBA,Amy,Nancy,"Because Amy and Nancy attended the meeting, Nancy sent a short note to",Amy,Nancy,14235,18496
prompt_0d674700873c11ae,reference,abba_meeting,ABBA,Frances,Ryan,"Because Frances and Ryan attended the meeting, Ryan sent a short note to",Frances,Ryan,27025,6047
prompt_0df090409b8c6665,reference,abba_meeting,ABBA,Frances,Jason,"Because Frances and Jason attended the meeting, Jason sent a short note to",Frances,Jason,27025,8982
prompt_112c5eb06e4ce081,reference,abba_meeting,ABBA,Sandra,Nancy,"Because Sandra and Nancy attended the meeting, Nancy sent a short note to",Sandra,Nancy,32464,18496
prompt_14fd88d0e9528873,reference,abba_meeting,ABBA,Frances,Anthony,"Because Frances and Anthony attended the meeting, Anthony sent a short note to",Frances,Anthony,27025,9953
prompt_1deb30c97c5cd81c,reference,abba_meeting,ABBA,Helen,Nancy,"Because Helen and Nancy attended the meeting, Nancy sent a short note to",Helen,Nancy,22695,18496
prompt_1f4a589d1a70383d,reference,abba_meeting,ABBA,Carol,Sandra,"Because Carol and Sandra attended the meeting, Sandra sent a short note to",Carol,Sandra,5074,32464
prompt_26b223e1d0d5ac7f,reference,abba_meeting,ABBA,Donna,Nancy,"Because Donna and Nancy attended the meeting, Nancy sent a short note to",Donna,Nancy,29216,18496
prompt_3056062bcf547fc9,reference,abba_meeting,ABBA,Anthony,Susan,"Because Anthony and Susan attended the meeting, Susan sent a short note to",Anthony,Susan,9953,14919
prompt_32fd24c77ec186f4,reference,abba_meeting,ABBA,Carol,Amy,"Because Carol and Amy attended the meeting, Amy sent a short note to",Carol,Amy,5074,14235
prompt_3625fbc44c080223,reference,abba_meeting,ABBA,Ryan,Helen,"Because Ryan and Helen attended the meeting, Helen sent a short note to",Ryan,Helen,6047,22695
prompt_4054c2c42c0248a5,reference,abba_meeting,ABBA,Nancy,Ruth,"Because Nancy and Ruth attended the meeting, Ruth sent a short note to",Nancy,Ruth,18496,22132
prompt_40762793289ec7d6,reference,abba_meeting,ABBA,Sandra,Ruth,"Because Sandra and Ruth attended the meeting, Ruth sent a short note to",Sandra,Ruth,32464,22132
prompt_4200437e74cc992c,reference,abba_meeting,ABBA,Benjamin,Frances,"Because Benjamin and Frances attended the meeting, Frances sent a short note to",Benjamin,Frances,14533,27025
prompt_44110805068cd8b4,reference,abba_meeting,ABBA,Nancy,Jason,"Because Nancy and Jason attended the meeting, Jason sent a short note to",Nancy,Jason,18496,8982
prompt_4fd3feb5736472aa,reference,abba_meeting,ABBA,Nancy,Helen,"Because Nancy and Helen attended the meeting, Helen sent a short note to",Nancy,Helen,18496,22695
prompt_57e1a42dff897e9a,reference,abba_meeting,ABBA,Patricia,Pamela,"Because Patricia and Pamela attended the meeting, Pamela sent a short note to",Patricia,Pamela,30223,43341
prompt_58cb0a3b30559177,reference,abba_meeting,ABBA,Amy,Sandra,"Because Amy and Sandra attended the meeting, Sandra sent a short note to",Amy,Sandra,14235,32464
prompt_5e1d2904609e7c92,reference,abba_meeting,ABBA,Susan,Ryan,"Because Susan and Ryan attended the meeting, Ryan sent a short note to",Susan,Ryan,14919,6047
prompt_5fae55447d55ad60,reference,abba_meeting,ABBA,Carol,Anthony,"Because Carol and Anthony attended the meeting, Anthony sent a short note to",Carol,Anthony,5074,9953
prompt_618fa0989683e87a,reference,abba_meeting,ABBA,Michelle,Sandra,"Because Michelle and Sandra attended the meeting, Sandra sent a short note to",Michelle,Sandra,16738,32464
prompt_6b57a24b0332b1a7,reference,abba_meeting,ABBA,Helen,Susan,"Because Helen and Susan attended the meeting, Susan sent a short note to",Helen,Susan,22695,14919
prompt_73cd8e50fedefcb5,reference,abba_meeting,ABBA,Amy,Donna,"Because Amy and Donna attended the meeting, Donna sent a short note to",Amy,Donna,14235,29216
prompt_754072eacf079d2e,reference,abba_meeting,ABBA,Ryan,Benjamin,"Because Ryan and Benjamin attended the meeting, Benjamin sent a short note to",Ryan,Benjamin,6047,14533
prompt_783b73950864c647,reference,abba_meeting,ABBA,Anthony,Michelle,"Because Anthony and Michelle attended the meeting, Michelle sent a short note to",Anthony,Michelle,9953,16738
prompt_790bb30802f22951,reference,abba_meeting,ABBA,Amy,Benjamin,"Because Amy and Benjamin attended the meeting, Benjamin sent a short note to",Amy,Benjamin,14235,14533
prompt_794e2be5cfded243,reference,abba_meeting,ABBA,Jason,Pamela,"Because Jason and Pamela attended the meeting, Pamela sent a short note to",Jason,Pamela,8982,43341
prompt_79ed9f326824a8ce,reference,abba_meeting,ABBA,Ryan,Jason,"Because Ryan and Jason attended the meeting, Jason sent a short note to",Ryan,Jason,6047,8982
prompt_7c625ac23da62a65,reference,abba_meeting,ABBA,Susan,Sandra,"Because Susan and Sandra attended the meeting, Sandra sent a short note to",Susan,Sandra,14919,32464
prompt_7dc8f703014c0e24,reference,abba_meeting,ABBA,Frances,Ruth,"Because Frances and Ruth attended the meeting, Ruth sent a short note to",Frances,Ruth,27025,22132
prompt_7f1cb4bc10113f35,reference,abba_meeting,ABBA,Susan,Patricia,"Because Susan and Patricia attended the meeting, Patricia sent a short note to",Susan,Patricia,14919,30223
prompt_86b529106d214c55,reference,abba_meeting,ABBA,Pamela,Sandra,"Because Pamela and Sandra attended the meeting, Sandra sent a short note to",Pamela,Sandra,43341,32464
prompt_9216c94e8dcd4874,reference,abba_meeting,ABBA,Ruth,Frances,"Because Ruth and Frances attended the meeting, Frances sent a short note to",Ruth,Frances,22132,27025
prompt_947c6d95cdfb7e05,reference,abba_meeting,ABBA,Patricia,Helen,"Because Patricia and Helen attended the meeting, Helen sent a short note to",Patricia,Helen,30223,22695
prompt_951168fefbfb2ca5,reference,abba_meeting,ABBA,Helen,Ruth,"Because Helen and Ruth attended the meeting, Ruth sent a short note to",Helen,Ruth,22695,22132
prompt_992ead9cc8657d47,reference,abba_meeting,ABBA,Amy,Carol,"Because Amy and Carol attended the meeting, Carol sent a short note to",Amy,Carol,14235,5074
prompt_9d55db72660c61b4,reference,abba_meeting,ABBA,Benjamin,Ryan,"Because Benjamin and Ryan attended the meeting, Ryan sent a short note to",Benjamin,Ryan,14533,6047
prompt_a555b5b72181cdcb,reference,abba_meeting,ABBA,Susan,Helen,"Because Susan and Helen attended the meeting, Helen sent a short note to",Susan,Helen,14919,22695
prompt_a879b2493af534d3,reference,abba_meeting,ABBA,Pamela,Amy,"Because Pamela and Amy attended the meeting, Amy sent a short note to",Pamela,Amy,43341,14235
prompt_afd04d0704279cd3,reference,abba_meeting,ABBA,Ruth,Amy,"Because Ruth and Amy attended the meeting, Amy sent a short note to",Ruth,Amy,22132,14235
prompt_b1cd58490ecfa898,reference,abba_meeting,ABBA,Susan,Benjamin,"Because Susan and Benjamin attended the meeting, Benjamin sent a short note to",Susan,Benjamin,14919,14533
prompt_b72425d76a121445,reference,abba_meeting,ABBA,Ryan,Donna,"Because Ryan and Donna attended the meeting, Donna sent a short note to",Ryan,Donna,6047,29216
prompt_b91325e42deafa70,reference,abba_meeting,ABBA,Frances,Pamela,"Because Frances and Pamela attended the meeting, Pamela sent a short note to",Frances,Pamela,27025,43341
prompt_bad8e4e6518652fa,reference,abba_meeting,ABBA,Frances,Helen,"Because Frances and Helen attended the meeting, Helen sent a short note to",Frances,Helen,27025,22695
prompt_be72c5634f0120a0,reference,abba_meeting,ABBA,Sandra,Pamela,"Because Sandra and Pamela attended the meeting, Pamela sent a short note to",Sandra,Pamela,32464,43341
prompt_bf228c1a67317a64,reference,abba_meeting,ABBA,Nancy,Frances,"Because Nancy and Frances attended the meeting, Frances sent a short note to",Nancy,Frances,18496,27025
prompt_bf9958256dd13eca,reference,abba_meeting,ABBA,Benjamin,Sandra,"Because Benjamin and Sandra attended the meeting, Sandra sent a short note to",Benjamin,Sandra,14533,32464
prompt_c4e8c73664fe0924,reference,abba_meeting,ABBA,Anthony,Ryan,"Because Anthony and Ryan attended the meeting, Ryan sent a short note to",Anthony,Ryan,9953,6047
prompt_c61bac35bed1fdf2,reference,abba_meeting,ABBA,Michelle,Nancy,"Because Michelle and Nancy attended the meeting, Nancy sent a short note to",Michelle,Nancy,16738,18496
prompt_ca775b3853200fef,reference,abba_meeting,ABBA,Susan,Nancy,"Because Susan and Nancy attended the meeting, Nancy sent a short note to",Susan,Nancy,14919,18496
prompt_cad5525c447e5076,reference,abba_meeting,ABBA,Pamela,Nancy,"Because Pamela and Nancy attended the meeting, Nancy sent a short note to",Pamela,Nancy,43341,18496
prompt_cb5f20bdadfc5205,reference,abba_meeting,ABBA,Patricia,Donna,"Because Patricia and Donna attended the meeting, Donna sent a short note to",Patricia,Donna,30223,29216
prompt_cf924f4f187657e7,reference,abba_meeting,ABBA,Michelle,Anthony,"Because Michelle and Anthony attended the meeting, Anthony sent a short note to",Michelle,Anthony,16738,9953
prompt_d0bf40ba850426c5,reference,abba_meeting,ABBA,Donna,Ryan,"Because Donna and Ryan attended the meeting, Ryan sent a short note to",Donna,Ryan,29216,6047
prompt_da73242f7901dd44,reference,abba_meeting,ABBA,Helen,Michelle,"Because Helen and Michelle attended the meeting, Michelle sent a short note to",Helen,Michelle,22695,16738
prompt_db84ce56e8e867ac,reference,abba_meeting,ABBA,Pamela,Benjamin,"Because Pamela and Benjamin attended the meeting, Benjamin sent a short note to",Pamela,Benjamin,43341,14533
prompt_e4b982e6e50b62b0,reference,abba_meeting,ABBA,Ryan,Ruth,"Because Ryan and Ruth attended the meeting, Ruth sent a short note to",Ryan,Ruth,6047,22132
prompt_e6417ec2be85cdce,reference,abba_meeting,ABBA,Patricia,Jason,"Because Patricia and Jason attended the meeting, Jason sent a short note to",Patricia,Jason,30223,8982
prompt_ea43fda18d54f702,reference,abba_meeting,ABBA,Michelle,Frances,"Because Michelle and Frances attended the meeting, Frances sent a short note to",Michelle,Frances,16738,27025
prompt_ead10749f7911f82,reference,abba_meeting,ABBA,Donna,Ruth,"Because Donna and Ruth attended the meeting, Ruth sent a short note to",Donna,Ruth,29216,22132
prompt_ee2c2b0990f4218f,reference,abba_meeting,ABBA,Ruth,Jason,"Because Ruth and Jason attended the meeting, Jason sent a short note to",Ruth,Jason,22132,8982
prompt_f5302dd69b4d3704,reference,abba_meeting,ABBA,Jason,Michelle,"Because Jason and Michelle attended the meeting, Michelle sent a short note to",Jason,Michelle,8982,16738
prompt_f81c821757e44cf2,reference,abba_meeting,ABBA,Frances,Nancy,"Because Frances and Nancy attended the meeting, Nancy sent a short note to",Frances,Nancy,27025,18496
prompt_080beb3c86e08ce7,reference,abba_office,ABBA,Nancy,Helen,"While Nancy and Helen worked in the office, Helen passed a blue folder to",Nancy,Helen,18496,22695
prompt_088bc63a301a955b,reference,abba_office,ABBA,Anthony,Nancy,"While Anthony and Nancy worked in the office, Nancy passed a blue folder to",Anthony,Nancy,9953,18496
prompt_09b10f9b786246e1,reference,abba_office,ABBA,Ryan,Ruth,"While Ryan and Ruth worked in the office, Ruth passed a blue folder to",Ryan,Ruth,6047,22132
prompt_0a70ec85ca503b45,reference,abba_office,ABBA,Patricia,Michelle,"While Patricia and Michelle worked in the office, Michelle passed a blue folder to",Patricia,Michelle,30223,16738
prompt_0cabb751286667d3,reference,abba_office,ABBA,Donna,Michelle,"While Donna and Michelle worked in the office, Michelle passed a blue folder to",Donna,Michelle,29216,16738
prompt_0fda4fd51a922147,reference,abba_office,ABBA,Amy,Frances,"While Amy and Frances worked in the office, Frances passed a blue folder to",Amy,Frances,14235,27025
prompt_13f276ce077077af,reference,abba_office,ABBA,Pamela,Carol,"While Pamela and Carol worked in the office, Carol passed a blue folder to",Pamela,Carol,43341,5074
prompt_1814e596ee0fae4d,reference,abba_office,ABBA,Jason,Benjamin,"While Jason and Benjamin worked in the office, Benjamin passed a blue folder to",Jason,Benjamin,8982,14533
prompt_2205fb8eeaa2bc9d,reference,abba_office,ABBA,Carol,Frances,"While Carol and Frances worked in the office, Frances passed a blue folder to",Carol,Frances,5074,27025
prompt_23277e0f52f10c02,reference,abba_office,ABBA,Ryan,Sandra,"While Ryan and Sandra worked in the office, Sandra passed a blue folder to",Ryan,Sandra,6047,32464
prompt_24d78a2d4d6eecba,reference,abba_office,ABBA,Helen,Susan,"While Helen and Susan worked in the office, Susan passed a blue folder to",Helen,Susan,22695,14919
prompt_27da6c5bdb09c45e,reference,abba_office,ABBA,Pamela,Helen,"While Pamela and Helen worked in the office, Helen passed a blue folder to",Pamela,Helen,43341,22695
prompt_2b43b12203cc1cd6,reference,abba_office,ABBA,Benjamin,Donna,"While Benjamin and Donna worked in the office, Donna passed a blue folder to",Benjamin,Donna,14533,29216
prompt_31297d90fac11ab5,reference,abba_office,ABBA,Ryan,Patricia,"While Ryan and Patricia worked in the office, Patricia passed a blue folder to",Ryan,Patricia,6047,30223
prompt_33dd94e3086f6022,reference,abba_office,ABBA,Michelle,Jason,"While Michelle and Jason worked in the office, Jason passed a blue folder to",Michelle,Jason,16738,8982
prompt_3e66404de1568774,reference,abba_office,ABBA,Patricia,Donna,"While Patricia and Donna worked in the office, Donna passed a blue folder to",Patricia,Donna,30223,29216
prompt_3e9c45c4e2475650,reference,abba_office,ABBA,Amy,Jason,"While Amy and Jason worked in the office, Jason passed a blue folder to",Amy,Jason,14235,8982
prompt_3fed9f2f95ee6191,reference,abba_office,ABBA,Amy,Pamela,"While Amy and Pamela worked in the office, Pamela passed a blue folder to",Amy,Pamela,14235,43341
prompt_4059068e51976a88,reference,abba_office,ABBA,Pamela,Benjamin,"While Pamela and Benjamin worked in the office, Benjamin passed a blue folder to",Pamela,Benjamin,43341,14533
prompt_44da243e79eb161a,reference,abba_office,ABBA,Michelle,Amy,"While Michelle and Amy worked in the office, Amy passed a blue folder to",Michelle,Amy,16738,14235
prompt_49d14f4d188d9c45,reference,abba_office,ABBA,Carol,Ryan,"While Carol and Ryan worked in the office, Ryan passed a blue folder to",Carol,Ryan,5074,6047
prompt_4de3da9670b6a554,reference,abba_office,ABBA,Pamela,Susan,"While Pamela and Susan worked in the office, Susan passed a blue folder to",Pamela,Susan,43341,14919
prompt_548a8fd4a37c1f95,reference,abba_office,ABBA,Jason,Nancy,"While Jason and Nancy worked in the office, Nancy passed a blue folder to",Jason,Nancy,8982,18496
prompt_5cefd330eb9f67b6,reference,abba_office,ABBA,Donna,Frances,"While Donna and Frances worked in the office, Frances passed a blue folder to",Donna,Frances,29216,27025
prompt_61613a73416bf41c,reference,abba_office,ABBA,Pamela,Ruth,"While Pamela and Ruth worked in the office, Ruth passed a blue folder to",Pamela,Ruth,43341,22132
prompt_61dffaea6ee7da8a,reference,abba_office,ABBA,Pamela,Amy,"While Pamela and Amy worked in the office, Amy passed a blue folder to",Pamela,Amy,43341,14235
prompt_6277655878379b83,reference,abba_office,ABBA,Ruth,Ryan,"While Ruth and Ryan worked in the office, Ryan passed a blue folder to",Ruth,Ryan,22132,6047
prompt_65b0cd571e3c7d01,reference,abba_office,ABBA,Frances,Ryan,"While Frances and Ryan worked in the office, Ryan passed a blue folder to",Frances,Ryan,27025,6047
prompt_6a1c7fd6ce6f7b77,reference,abba_office,ABBA,Donna,Nancy,"While Donna and Nancy worked in the office, Nancy passed a blue folder to",Donna,Nancy,29216,18496
prompt_6c2b963dbe99ba4b,reference,abba_office,ABBA,Donna,Sandra,"While Donna and Sandra worked in the office, Sandra passed a blue folder to",Donna,Sandra,29216,32464
prompt_81e4c566d2e48848,reference,abba_office,ABBA,Carol,Michelle,"While Carol and Michelle worked in the office, Michelle passed a blue folder to",Carol,Michelle,5074,16738
prompt_829fa7738597205c,reference,abba_office,ABBA,Ryan,Helen,"While Ryan and Helen worked in the office, Helen passed a blue folder to",Ryan,Helen,6047,22695
prompt_89d43589af28e0d8,reference,abba_office,ABBA,Ryan,Frances,"While Ryan and Frances worked in the office, Frances passed a blue folder to",Ryan,Frances,6047,27025
prompt_8f5baa0eb99defab,reference,abba_office,ABBA,Susan,Ruth,"While Susan and Ruth worked in the office, Ruth passed a blue folder to",Susan,Ruth,14919,22132
prompt_908571b3ddaf91df,reference,abba_office,ABBA,Patricia,Amy,"While Patricia and Amy worked in the office, Amy passed a blue folder to",Patricia,Amy,30223,14235
prompt_90f455d101b22a48,reference,abba_office,ABBA,Ruth,Michelle,"While Ruth and Michelle worked in the office, Michelle passed a blue folder to",Ruth,Michelle,22132,16738
prompt_945f7978bd160805,reference,abba_office,ABBA,Sandra,Frances,"While Sandra and Frances worked in the office, Frances passed a blue folder to",Sandra,Frances,32464,27025
prompt_94aa5801d2c7392f,reference,abba_office,ABBA,Frances,Amy,"While Frances and Amy worked in the office, Amy passed a blue folder to",Frances,Amy,27025,14235
prompt_9926161f422cae3c,reference,abba_office,ABBA,Susan,Michelle,"While Susan and Michelle worked in the office, Michelle passed a blue folder to",Susan,Michelle,14919,16738
