observer,step,metric,mean,q10,q50,q90,n
first_order,0,target_squared_error,0.7187667636251153,0.4235955560091042,0.5652810575875498,1.0107025282963034,9000
first_order,0,collateral_abs_delta,0.0,0.0,0.0,0.0,9000
first_order,0,observer_abs_bias,0.2354940730862265,0.1357315044592553,0.2529164638061124,0.480771996374586,9000
first_order,1,target_squared_error,0.38862690113933585,0.2880195787842612,0.4325548748064857,0.4490102520531172,9000
first_order,1,collateral_abs_delta,0.013342921443804907,0.0029656481080957,0.0089817634764036,0.0382287669840212,9000
first_order,1,observer_abs_bias,0.3212297981868296,0.089302518214699,0.3910868659312367,0.5640336445955475,9000
first_order,2,target_squared_error,0.16840417353144124,0.0865692580867726,0.1707173952901827,0.3420415350456529,9000
first_order,2,collateral_abs_delta,0.027427723383490043,0.0059008748283611,0.0181428754296788,0.079073524316111,9000
first_order,2,observer_abs_bias,0.45236847849549505,0.0242016932898418,0.2968273603966629,1.0110984935004763,9000
first_order,3,target_squared_error,0.07158532233377944,0.0007839313865513,0.0753911663083705,0.2491591757507455,9000
first_order,3,collateral_abs_delta,0.04230565125451253,0.0088059922210285,0.0274869171026673,0.12271328392998,9000
first_order,3,observer_abs_bias,0.6830793907053759,0.1116671540301267,0.3186296871980349,1.4887559411723197,9000
first_order,4,target_squared_error,0.11374782919546779,0.017136829106174,0.1107538410559801,0.2590968004393314,9000
first_order,4,collateral_abs_delta,0.05803169571115687,0.0116813091452403,0.0370175412487164,0.1693393075264052,9000
first_order,4,observer_abs_bias,0.9288275687921477,0.1688690758993833,0.5357938237879897,1.99909943580233,9000
first_order,5,target_squared_error,0.31288015894646914,0.0003086284323486,0.1020430212658986,0.9069047839798196,9000
first_order,5,collateral_abs_delta,0.07466487616747577,0.0145271312918866,0.0467384735596064,0.2191559448234513,9000
first_order,5,observer_abs_bias,1.1930103788785624,0.1207490180775727,0.7678184785187311,2.544365680012773,9000
first_order,6,target_squared_error,0.689752914733887,0.0055326958668946,0.0852081436602842,2.0333345957022524,9000
first_order,6,collateral_abs_delta,0.09226854617319968,0.0173437612161031,0.0566535141219894,0.2723815291680643,9000
first_order,6,observer_abs_bias,1.4793670461070596,0.2088005650302571,1.0157205550230608,3.1269444337419845,9000
first_order,7,target_squared_error,1.2683491028215241,0.0244990690409539,0.2572920766420404,3.7326090770774423,9000
first_order,7,collateral_abs_delta,0.11091072232385911,0.0201314983694395,0.0667665389029118,0.3292493344342678,9000
first_order,7,observer_abs_bias,1.7833780076394277,0.3544929809016857,1.2805865435382735,3.749388987939791,9000
first_order,8,target_squared_error,2.0763630330012166,0.0116213141771383,0.5436265678457137,6.114099455109878,9000
first_order,8,collateral_abs_delta,0.13066443853758508,0.0228906391316936,0.0770815012649996,0.3900085974017989,9000
first_order,8,observer_abs_bias,2.10320658552662,0.5101551128737083,1.5635772827098977,4.414427354976758,9000
first_order,9,target_squared_error,3.145778927624128,0.0364317001411564,0.9665343132431444,9.304593466729363,9000
first_order,9,collateral_abs_delta,0.15160812767478626,0.0256214768424234,0.0876024335118973,0.4549256100960019,9000
first_order,9,observer_abs_bias,2.4381967041028547,0.6764691875298562,1.8659330472451476,5.124974224811922,9000
first_order,10,target_squared_error,4.513542112023604,0.1124504944185608,1.5519185567011506,13.450893003308703,9000
first_order,10,collateral_abs_delta,0.17382603263197008,0.0283243018321317,0.0983334484645695,0.524284886876422,9000
first_order,10,observer_abs_bias,2.788809967754503,0.8520024763813633,2.18897898371395,5.884143739319773,9000
first_order,11,target_squared_error,6.222337753057275,0.2397939832863443,2.3297986942620383,18.722788496965965,9000
first_order,11,collateral_abs_delta,0.19740864920828388,0.0309994014531339,0.1092787410690752,0.5983904113891435,9000
first_order,11,observer_abs_bias,3.156074580372489,0.9565330390742935,2.534130918321231,6.6952631407630445,9000
first_order,12,target_squared_error,8.321494548977162,0.4285026342996783,3.3349236602673487,25.31646399390717,9000
first_order,12,collateral_abs_delta,0.2224532032238705,0.0336470601101077,0.1204425900364473,0.6775669688479412,9000
first_order,12,observer_abs_bias,3.5410919178564515,1.0599913353782602,2.9029015621044385,7.56188735422899,9000
first_order,13,target_squared_error,10.848129005099796,0.6553902352545415,4.607474239638927,33.45839453805551,9000
first_order,13,collateral_abs_delta,0.24887349216321658,0.0362675592903295,0.1318293595153185,0.7621615694832836,9000
first_order,13,observer_abs_bias,3.9430521474927778,1.162388364518554,3.29690714075204,8.487814567940195,9000
first_order,14,target_squared_error,13.809365975258789,0.8363608617075838,6.193867037254839,43.40980625586947,9000
first_order,14,collateral_abs_delta,0.276358462690898,0.0388611775936014,0.1434435007979436,0.8525449693977988,9000
first_order,14,observer_abs_bias,4.35880207611093,1.2637350128912683,3.7178744780997866,9.477102879724349,9000
first_order,15,target_squared_error,17.23629177783544,1.037172891515463,8.147674647187026,55.33294641969327,9000
first_order,15,collateral_abs_delta,0.3049042047187592,0.0414281907618701,0.1552895540602909,0.9480652605635246,9000
first_order,15,observer_abs_bias,4.788359333830887,1.364042055220692,4.167648564349848,10.522616853284172,9000
lifted_interaction,0,target_squared_error,0.7187667636251153,0.4235955560091042,0.5652810575875498,1.0107025282963034,9000
lifted_interaction,0,collateral_abs_delta,0.0,0.0,0.0,0.0,9000
lifted_interaction,0,observer_abs_bias,0.004620037960455978,0.0006185423404707,0.0032282672191876,0.0112349923043852,9000
lifted_interaction,1,target_squared_error,0.35507215893632027,0.2092762765820677,0.2795519925840528,0.501033279847076,9000
lifted_interaction,1,collateral_abs_delta,0.00969465139528155,0.0012960515134761,0.0052111508762647,0.0258894687422285,9000
lifted_interaction,1,observer_abs_bias,0.17360453706169784,0.1297003529966079,0.1639914172230137,0.2224023194145378,9000
lifted_interaction,2,target_squared_error,0.13414740525244429,0.0790654464587887,0.1050819472820176,0.1909413800740113,9000
lifted_interaction,2,collateral_abs_delta,0.018328658537734622,0.0024931163451231,0.0099433553950001,0.0481913338393727,9000
