measurement_budget,reference,candidate,oracle_regret_reduction_mean,oracle_regret_reduction_q05,oracle_regret_reduction_q95,oracle_regret_reduction_positive_fraction,absolute_error_reduction_mean,absolute_error_reduction_q05,absolute_error_reduction_q95,absolute_error_reduction_positive_fraction,within_tolerance_improvement_mean,within_tolerance_improvement_q05,within_tolerance_improvement_q95,within_tolerance_improvement_positive_fraction
120,additive_head,count_plus_PE_bin4,0.08298830864951014,-0.029086114596575497,0.20650006137788288,0.7666666666666667,0.08298830864951014,-0.029086114596575497,0.20650006137788288,0.7666666666666667,0.06583333333333334,-0.05,0.2,0.7333333333333333
120,additive_head,count_plus_all_bin4,0.13329893155644335,-0.007919526016339648,0.2402737580239772,0.9333333333333333,0.13329893155644335,-0.007919526016339648,0.2402737580239772,0.9333333333333333,0.11583333333333333,-0.03875,0.25,0.8333333333333334
120,count_additive,count_plus_PE_bin4,0.0825032120756805,-0.00615841696038842,0.1760046659503132,0.9,0.0825032120756805,-0.00615841696038842,0.1760046659503132,0.9,0.05583333333333334,-0.075,0.15,0.7333333333333333
120,count_additive,count_plus_all_bin4,0.1328138349826137,0.04003930703736842,0.23736288880929343,1.0,0.1328138349826137,0.04003930703736842,0.23736288880929343,1.0,0.10583333333333335,-0.03875,0.23874999999999993,0.8333333333333334
20,additive_head,count_plus_PE_bin4,-0.08760315880800287,-0.3513533192314207,0.06428818592801677,0.23333333333333334,-0.08760315880800287,-0.3513533192314207,0.06428818592801677,0.23333333333333334,-0.0375,-0.15,0.1412499999999998,0.26666666666666666
20,additive_head,count_plus_all_bin4,0.055816997593889646,-0.18913006738759577,0.23510279015637922,0.7666666666666667,0.055816997593889646,-0.18913006738759577,0.23510279015637922,0.7666666666666667,0.02666666666666667,-0.125,0.175,0.5
20,count_additive,count_plus_PE_bin4,0.19572913123915595,-0.044152588015422226,0.5450507561862467,0.8666666666666667,0.19572913123915595,-0.044152588015422226,0.5450507561862467,0.8666666666666667,0.032499999999999994,-0.075,0.125,0.6333333333333333
20,count_additive,count_plus_all_bin4,0.33914928764104857,0.05582028949633241,0.6316864825226364,1.0,0.33914928764104857,0.05582028949633241,0.6316864825226364,1.0,0.09666666666666668,-0.013749999999999997,0.2412499999999998,0.8333333333333334
40,additive_head,count_plus_PE_bin4,0.022757275700569148,-0.11315886849537492,0.15299721974879502,0.5666666666666667,0.022757275700569148,-0.11315886849537492,0.15299721974879502,0.5666666666666667,0.01833333333333333,-0.125,0.17749999999999985,0.4666666666666667
40,additive_head,count_plus_all_bin4,-0.013662114236503837,-0.15557378431782126,0.1438463651016353,0.4666666666666667,-0.013662114236503837,-0.15557378431782126,0.1438463651016353,0.4666666666666667,0.010000000000000002,-0.1275,0.15,0.5
40,count_additive,count_plus_PE_bin4,0.0319006295936803,-0.06235697321593762,0.14948807745240622,0.6,0.0319006295936803,-0.06235697321593762,0.14948807745240622,0.6,0.01916666666666667,-0.075,0.16374999999999992,0.43333333333333335
40,count_additive,count_plus_all_bin4,-0.004518760343392691,-0.14314223347231747,0.12999525695107875,0.4666666666666667,-0.004518760343392691,-0.14314223347231747,0.12999525695107875,0.4666666666666667,0.010833333333333335,-0.125,0.11374999999999993,0.5
80,additive_head,count_plus_PE_bin4,0.06090830351536472,-0.04409354132600128,0.1738898167572915,0.7333333333333333,0.06090830351536472,-0.04409354132600128,0.1738898167572915,0.7333333333333333,0.03333333333333333,-0.08875,0.175,0.5666666666666667
80,additive_head,count_plus_all_bin4,0.09214113463958104,-0.019087803559377784,0.17078870287165046,0.9333333333333333,0.09214113463958104,-0.019087803559377784,0.17078870287165046,0.9333333333333333,0.06583333333333333,-0.0775,0.16374999999999992,0.7333333333333333
80,count_additive,count_plus_PE_bin4,0.07581164290507635,-0.03507893966510891,0.1985666361544281,0.8666666666666667,0.07581164290507635,-0.03507893966510891,0.1985666361544281,0.8666666666666667,0.06249999999999999,-0.08875,0.275,0.7
80,count_additive,count_plus_all_bin4,0.10704447402929267,0.023483442142605785,0.20451921251602462,1.0,0.10704447402929267,0.023483442142605785,0.20451921251602462,1.0,0.09500000000000001,-0.03875,0.26624999999999976,0.7333333333333333
