condition_family,gamma,estimator,condition_count,seed_count,clean_scale_count,clean_scales_with_degenerate_median,clean_scales_with_degenerate_max,residual_displacement_l2_median,residual_displacement_l2_p95,residual_displacement_l2_max,ratio_to_clean_pairwise_median_valid_condition_count,ratio_to_clean_pairwise_median_median,ratio_to_clean_pairwise_median_p95,ratio_to_clean_pairwise_median_max,ratio_to_clean_pairwise_median_fraction_above_one,ratio_to_clean_pairwise_max_valid_condition_count,ratio_to_clean_pairwise_max_median,ratio_to_clean_pairwise_max_p95,ratio_to_clean_pairwise_max_max,ratio_to_clean_pairwise_max_fraction_above_one,rho_target
natural_diagonal,0.0,first_order,192,12,12,0,0,2.499532820601043,5.992827722436146,6.205081040137237,192,0.5018675679734355,1.068198211587974,1.0888576597197004,0.09895833333333333,192,0.3332687456109514,0.7105541032957772,0.812926686014232,0.0,
natural_diagonal,0.0,lifted_interaction,192,12,12,0,0,2.40218663621423,5.993051940148886,6.244996460635854,192,0.49442042059255403,1.0665160477129338,1.0958619536313705,0.08333333333333333,192,0.3297156072083973,0.7158816367398869,0.8112964371718998,0.0,
natural_diagonal,1.15,first_order,192,12,12,0,0,0.624672115592658,2.1029911242353565,3.857951908272042,192,0.13624543088907404,0.47038004458135907,0.7692204825303487,0.0,192,0.1074023580993248,0.39944409793095625,0.6402054176773638,0.0,
natural_diagonal,1.15,lifted_interaction,192,12,12,0,0,0.4151783801292005,1.2230038050323782,1.5881149759046091,192,0.08348134482600063,0.22571203561655315,0.290132186598667,0.0,192,0.06828873050219897,0.182752076754222,0.2355475394137667,0.0,
controlled_overall,1.15,,2880,12,12,0,0,1.120198497569739,3.871662160412249,7.215443961043206,2880,0.25549481727540563,0.8424573372030522,1.8377814948810451,0.024305555555555556,2880,0.2054213404120766,0.7043779244624181,1.588317320089989,0.008333333333333333,
controlled_by_rho_target,1.15,,576,12,12,0,0,0.6384794304035406,1.994811792969323,3.0277750835428474,576,0.15106945233182245,0.42137808005400584,0.6036950864427326,0.0,576,0.11445831626905115,0.3334214892778213,0.5024422434702829,0.0,-1.25
controlled_by_rho_target,1.15,,576,12,12,0,0,0.6774228057237206,2.032268477234354,3.1601883394688106,576,0.1513155359673709,0.4202624119212476,0.6300963975628613,0.0,576,0.11874381321059868,0.32392810236198155,0.5244154784487536,0.0,-0.75
controlled_by_rho_target,1.15,,576,12,12,0,0,1.1088225789604311,2.797369658665448,4.039505804847247,576,0.2621596547179698,0.6232004588379545,0.9844017443503594,0.0,576,0.20505644489281863,0.5035817485949916,0.8507770618180468,0.0,0.0
controlled_by_rho_target,1.15,,576,12,12,0,0,1.6311810260540394,4.052426528561881,5.908653848505372,576,0.38337490781913264,0.9648625115442491,1.488645964563521,0.027777777777777776,576,0.3160980363103916,0.7303669299814851,1.2865741523593657,0.006944444444444444,0.75
controlled_by_rho_target,1.15,,576,12,12,0,0,2.051312036762506,4.938259388626978,7.215443961043206,576,0.4773055005834663,1.1263057135987675,1.8377814948810451,0.09375,576,0.3901300579633954,0.920593517523059,1.588317320089989,0.034722222222222224,1.25
