seed,gamma,final_train_loss,device,train_readout_rank,clean_archetype_count,clean_pairwise_distance_count,clean_pairwise_nonzero_distance_count,clean_pairwise_distance_median,clean_pairwise_distance_max,clean_pairwise_median_degenerate,clean_pairwise_max_degenerate
0,1.15,0.000930469948798418,cpu,3,4,6,6,4.761626884295952,5.904752654708569,False,False
0,0.0,0.0008324210648424923,cpu,3,4,6,6,3.44350837843926,4.643894627800396,False,False
1,1.15,0.0008498909883201122,cpu,3,4,6,6,4.187633110979174,5.724447099836027,False,False
1,0.0,0.000681856123264879,cpu,3,4,6,6,5.610220703821682,7.375098399282346,False,False
2,1.15,0.0010987318819388747,cpu,3,4,6,6,2.5868158070487377,2.9931060756742234,False,False
2,0.0,0.0008403489482589066,cpu,3,4,6,6,2.9686583922209646,3.9933354657110036,False,False
3,1.15,0.0009267054265365005,cpu,3,4,6,6,5.054203365410926,6.777619449037232,False,False
3,0.0,0.0008152143564075232,cpu,3,4,6,6,5.861187699270356,9.082345380269105,False,False
4,1.15,0.0008531265193596482,cpu,3,4,6,6,4.943607499035124,6.14984053474589,False,False
4,0.0,0.0007637558737769723,cpu,3,4,6,6,6.277039760631608,7.262797358300331,False,False
5,1.15,0.0007944728713482618,cpu,3,4,6,6,3.531644797164185,4.737869015797758,False,False
5,0.0,0.0006968022207729518,cpu,3,4,6,6,4.109533391382353,6.2329580902090544,False,False
6,1.15,0.0007510812720283866,cpu,3,4,6,6,5.015404550306981,6.0261156837261955,False,False
6,0.0,0.0005941629642620683,cpu,3,4,6,6,4.741766494002167,7.0420027220017225,False,False
7,1.15,0.0007402210030704737,cpu,3,4,6,6,3.852691772903351,4.433556989189279,False,False
7,0.0,0.000611395575106144,cpu,3,4,6,6,6.299845951061494,9.655019380492902,False,False
8,1.15,0.0007989529403857887,cpu,3,4,6,6,4.283851016001844,5.226189530823692,False,False
8,0.0,0.0008112206705845892,cpu,3,4,6,6,2.562517159159829,3.4151873465823606,False,False
9,1.15,0.0009931261884048581,cpu,3,4,6,6,5.417503947090071,6.297664635917261,False,False
9,0.0,0.0006575318984687328,cpu,3,4,6,6,6.681182948894067,8.257259441733591,False,False
10,1.15,0.0007668363978154957,cpu,3,4,6,6,5.418425303248146,6.692147234404131,False,False
10,0.0,0.0006400941638275981,cpu,3,4,6,6,5.698707250435821,8.723503312841919,False,False
11,1.15,0.0008235423010773957,cpu,3,4,6,6,5.473763509394464,6.742226982532389,False,False
11,0.0,0.0007108383579179645,cpu,3,4,6,6,7.730542382327478,11.086514745140597,False,False
