held_out_seed,predictor,mae,rmse,calibration_intercept,calibration_slope
0,full_certificate,0.05557220805391594,0.11567527258570091,0.0013864234259182934,0.9676723948098254
0,pole_only,0.3599378762570799,0.4384617871779835,0.0013864234259182934,-37.12347696923208
0,bias_only,0.2943607015670213,0.401459838091201,0.0013864234259182934,0.9706422880609775
1,full_certificate,0.07852518394137077,0.15968962117202334,0.0020132834740886436,0.9640318519972734
1,pole_only,0.37173364698048134,0.4664570871954248,0.0020132834740886436,-36.39673051661101
1,bias_only,0.309164914952776,0.43017176392184614,0.0020132834740886436,0.9656621302449846
2,full_certificate,0.07644094032353922,0.13962682415452096,0.004846159769504383,0.9619257112993773
2,pole_only,0.375921367366208,0.4688175111753567,0.004846159769504383,-36.115791632557254
2,bias_only,0.31341451280313165,0.4320247595327979,0.004846159769504383,0.9637053115044385
3,full_certificate,0.057932555430282785,0.11749988120933241,0.0008917022581127783,0.9659529271000487
3,pole_only,0.3644566802072422,0.44609520184822976,0.0008917022581127783,-36.80069782287574
3,bias_only,0.29958452842907135,0.40897608460645013,0.0008917022581127783,0.9684039197489391
4,full_certificate,0.031226393367699744,0.06418655666960298,0.0021717266151399604,0.9679175543448276
4,pole_only,0.3569810286121159,0.42683335879868123,0.0021717266151399604,-37.205427756355505
4,bias_only,0.28899069873965727,0.3887549567020113,0.0021717266151399604,0.9710489062082707
5,full_certificate,0.044077605676484284,0.10508654595556967,0.0007571711966937496,0.9666274669290619
5,pole_only,0.36149904421025636,0.44033363755762783,0.0007571711966937496,-36.96864096354787
5,bias_only,0.2942625263991335,0.40299683809704795,0.0007571711966937496,0.9694626790294234
6,full_certificate,0.12808478772634768,0.2895437451443198,0.0011389403575749358,0.9571285576079236
6,pole_only,0.39866812934377616,0.5479914793898002,0.0011389403575749358,-34.86745312191404
6,bias_only,0.3384112211200063,0.5144390344800863,0.0011389403575749358,0.9554057311688766
7,full_certificate,0.07013393509891587,0.12748246986007214,0.003339582695766855,0.9676441253076661
7,pole_only,0.36065234613465713,0.4416087451531257,0.003339582695766855,-37.0721278450027
7,bias_only,0.29688553012310975,0.404721762432729,0.003339582695766855,0.9702457940218799
8,full_certificate,0.0365098518293463,0.07090943242394482,0.003280535786215127,0.9653538422718704
8,pole_only,0.36409440640295493,0.43904436328364077,0.003280535786215127,-36.77494497116024
8,bias_only,0.2962826311055982,0.40114310231577016,0.003280535786215127,0.9681669368292779
9,full_certificate,0.06099372006403489,0.11568941616620299,0.002269374948898075,0.9670927281889373
9,pole_only,0.36147671505880746,0.4410934603040658,0.002269374948898075,-37.06841320788724
9,bias_only,0.29689773812738024,0.40404414722220466,0.002269374948898075,0.9701230360949593
10,full_certificate,0.0758899461789279,0.15588380389470885,0.0018568295082359875,0.9674085506848431
10,pole_only,0.36253083094976274,0.4518285655576367,0.0018568295082359875,-37.08868565444295
10,bias_only,0.29898106829581,0.41584003323164664,0.0018568295082359875,0.9703140176867675
11,full_certificate,0.046195667225626576,0.09228270426595146,0.0019340927740841452,0.9668012244428942
11,pole_only,0.36086867161869507,0.43678870859790664,0.0019340927740841452,-37.016579272579634
11,bias_only,0.2946376663581542,0.3992134956105678,0.0019340927740841452,0.9697684022440509
