target_fraction,target,pool_id,query_id,mask_bits,n_heads,is_noop,actual_target_loss,n_test_prompts
0.25,0.8634306868771091,qpool_04a0d16a2ce1d6ae,qmask_04e99e00df510b89,10100010,3,false,0.6262034039145874,512
0.25,0.8634306868771091,qpool_04a0d16a2ce1d6ae,qmask_4dc7fd92c7b096a2,11101001,5,false,1.9226827629981926,512
0.25,0.8634306868771091,qpool_04a0d16a2ce1d6ae,qmask_56332775d253c008,10100101,4,false,0.7261822491786916,512
0.25,0.8634306868771091,qpool_04a0d16a2ce1d6ae,qmask_6d873abcf3a8f6b9,01001001,3,false,0.7249257076086906,512
0.25,0.8634306868771091,qpool_04a0d16a2ce1d6ae,qmask_7c330068eacbeec8,01111110,6,false,1.4540509807275157,512
0.25,0.8634306868771091,qpool_04a0d16a2ce1d6ae,qmask_87bb9cc60085dcff,11011101,6,false,2.326736670848277,512
0.25,0.8634306868771091,qpool_04a0d16a2ce1d6ae,qmask_a3ac1f42a70defe3,10110101,5,false,0.9512733568149088,512
0.25,0.8634306868771091,qpool_04a0d16a2ce1d6ae,qmask_d7d102c2537b80f1,11100110,5,false,1.695610189677609,512
0.25,0.8634306868771091,qpool_04a0d16a2ce1d6ae,analytic_noop,00000000,0,true,0.8634306868771091,512
0.25,0.8634306868771091,qpool_094d56ddcd5f1fe4,qmask_168ecc77c6d9bec7,00100011,3,false,0.6557378714351216,512
0.25,0.8634306868771091,qpool_094d56ddcd5f1fe4,qmask_2def687a70c0189d,11100100,4,false,1.6024404572017374,512
0.25,0.8634306868771091,qpool_094d56ddcd5f1fe4,qmask_514b410bbe7f097e,11010111,6,false,1.96984321698028,512
0.25,0.8634306868771091,qpool_094d56ddcd5f1fe4,qmask_8630d2328962fa10,00111000,3,false,0.9226586882118681,512
0.25,0.8634306868771091,qpool_094d56ddcd5f1fe4,qmask_a4b7b621b0c57baf,10111100,5,false,1.2659195761930278,512
0.25,0.8634306868771091,qpool_094d56ddcd5f1fe4,qmask_abc2c93f2a9da9d0,11100111,6,false,1.8585998947082771,512
0.25,0.8634306868771091,qpool_094d56ddcd5f1fe4,qmask_cdd694ec938105ff,00011011,4,false,0.8065921469133173,512
0.25,0.8634306868771091,qpool_094d56ddcd5f1fe4,qmask_e907033eeed311b5,00101010,3,false,0.7808221605055223,512
0.25,0.8634306868771091,qpool_094d56ddcd5f1fe4,analytic_noop,00000000,0,true,0.8634306868771091,512
0.25,0.8634306868771091,qpool_0b1792f4952557ee,qmask_282cb65c9e54d1f9,01101110,5,false,1.0755101561853735,512
0.25,0.8634306868771091,qpool_0b1792f4952557ee,qmask_693dc55993aa4fa9,11001111,6,false,2.0013663819286194,512
