query_id,observed_mean_effect,n_test_prompts
qmask_03e03e6bad3167c1,0.781109111616388,512
qmask_04e99e00df510b89,1.168105891556479,512
qmask_05031e6a7405856b,1.1515382962534204,512
qmask_06e53efa12c0c89c,1.2667675270931795,512
qmask_07e4d5ad11974b66,1.2360670811031014,512
qmask_0cd7ddfc8c2186ca,0.7051404872909188,512
qmask_14432725d56e8049,1.657465138239786,512
qmask_168ecc77c6d9bec7,0.4655119928065687,512
qmask_17b31d3e8666d651,1.7623814434045926,512
qmask_1d6d1ddc1980f1fe,1.7391383822541684,512
qmask_22c3d94ed895c2d5,1.37799484282732,512
qmask_239a2dd293cc8eaf,2.1243782427045517,512
qmask_2678a15f3a1887ca,1.4760047848685645,512
qmask_282cb65c9e54d1f9,1.6544453725218773,512
qmask_2def687a70c0189d,2.3986410595243797,512
qmask_30f1d2fade2e7178,1.17690956837032,512
qmask_31a763e8bc0202e0,0.8030957744922489,512
qmask_323b67f1b27b5893,3.238608452666085,512
qmask_330533bb35dfe50c,1.29825533577241,512
qmask_3745eec79815ddf1,1.687601285520941,512
qmask_39ecce4dbde1e7f4,2.492878506076522,512
qmask_3b86e07f9bac3525,1.1970709530869499,512
qmask_424f9867dfadb061,1.3647634562803432,512
qmask_427363983d4a675f,3.1862844168790616,512
qmask_47a8b0e6e63f5071,2.0418868507258594,512
qmask_494f47beb25cae41,3.1456068953848444,512
qmask_4cc030241e0f1e44,1.1169555995147675,512
qmask_4dc7fd92c7b096a2,2.727604217012413,512
qmask_4f926e356a625a67,1.9498111478751525,512
qmask_5106913f39c2ea0e,1.335691915359348,512
qmask_514b410bbe7f097e,2.791066549369134,512
qmask_527883050feb9009,2.5983999788295478,512
qmask_55cbf5fefb67a9c9,1.262526691192761,512
qmask_56332775d253c008,1.3771057435078546,512
qmask_581f449a19375ab8,0.7441968598868698,512
qmask_58970516f324daa1,2.8196284897858277,512
qmask_58d4e1dd95e5c5b0,1.2108201982919127,512
qmask_5a3f155888c60ff4,1.2026978967478499,512
qmask_5febbac13cd7abee,0.5045914850197732,512
qmask_6227c96ae46c75f8,1.856147114536725,512
qmask_649dfffca1027d37,3.041798874095548,512
qmask_68ff8f889255b0e9,0.5695978028234094,512
qmask_693dc55993aa4fa9,2.820495978172403,512
qmask_6d08de407943319e,2.932082970859483,512
qmask_6d873abcf3a8f6b9,1.1787893635919318,512
qmask_7496171506cc1757,1.8642889453331009,512
qmask_75e6dad44fc41222,1.211178250843659,512
qmask_7c330068eacbeec8,2.0838132037315518,512
qmask_7c7f09c2f082e17d,1.7644698424264789,512
qmask_7c849c67ebb1b4f9,2.1225573561969213,512
qmask_7f50455f5507bafe,1.2993115155259147,512
qmask_81b5d6cd2a60bf37,2.8991960381390527,512
qmask_83013e5a4235b8ec,0.5691300095058978,512
qmask_849e90ce5ffd4bc1,0.99540104274638,512
qmask_84e1013c62ab0342,1.7548199238954112,512
qmask_85812c22f52f55f2,1.7537292267661542,512
qmask_8630d2328962fa10,0.884490734373685,512
qmask_87bb9cc60085dcff,3.14625046326546,512
qmask_87c7efb1f0502cb1,1.3607886467361823,512
qmask_884363745844cf9e,1.5806412721285596,512
qmask_88b9054a02247dd1,2.041161110275425,512
qmask_8a4fe6aab0927861,2.700214946642518,512
qmask_8a58e1cfc4f87182,2.4597879278007895,512
qmask_8a9d405ad1968a90,2.3458654715213925,512
qmask_8ec53a11acfe0f00,2.8763239511754364,512
qmask_8fc54aeb91caafc9,1.1012560316594318,512
qmask_90dd78ad11f097b3,2.7526827341644093,512
qmask_92fdf63f6fed474e,0.6458472870290279,512
qmask_95b0a9234a9eee46,1.647737122606486,512
qmask_95e119f889d86d43,1.056571128894575,512
qmask_96b494b452b77f8e,1.521352471318096,512
qmask_9a6bcdbfd54eac0e,1.4841501670889556,512
qmask_9a86a5949df1b42b,1.2612992349313572,512
qmask_9cf9f1f53520f88b,1.889186201384291,512
qmask_9df5cd7b1d191d30,0.5033754734322429,512
qmask_9ef84ec72720c5bb,0.6163640411105007,512
qmask_9f2a7299208a9ed1,1.4262086724629626,512
qmask_a3ac1f42a70defe3,1.641943539492786,512
qmask_a4b7b621b0c57baf,1.913422240759246,512
qmask_a6bb6d75ba01c741,2.3085066117346287,512
qmask_a9284c314595341d,2.45365828438662,512
qmask_aa927932235c699d,3.0390209021861665,512
qmask_abc2c93f2a9da9d0,2.672934958594851,512
qmask_ac55e1313a50fb45,1.654345880728215,512
qmask_af3070b33fa6727a,1.1220659704413265,512
qmask_af6d0dc69e3d9a78,0.8625231493497267,512
qmask_afbe22c87ad11ae4,1.5439113726606593,512
qmask_b02b2d5954d58371,1.4934279108420014,512
qmask_b0e252c8a061a875,0.7284509299788624,512
qmask_b52a639547d6a0e9,1.1713219567900524,512
qmask_b996be105c0f3dda,1.3440018486580811,512
qmask_ba4de66f5ec66b86,1.3588676218641922,512
qmask_bad2b6dedfcd4ce3,2.6635401233797893,512
qmask_bcbb878aab0fd0e6,1.3580962343839929,512
qmask_bdc01c419cf655bf,1.1661362221930176,512
qmask_bde177d3edcb1ae0,0.8059034916805103,512
qmask_c76e2148877c5063,2.6524768957169726,512
qmask_c7c095a611af1783,0.7087822293397039,512
qmask_cb0a7c3a10da33f2,2.56390960724093,512
qmask_cbd8bcbf0db11c8c,0.6516396244987845,512
qmask_cc0414ee182789c1,2.1668411089340225,512
qmask_cdd694ec938105ff,0.7583784448215738,512
qmask_d350d740bff94567,0.4147913064807653,512
qmask_d3a70a2b122bfec6,1.5357698266161606,512
qmask_d474d772a2156911,1.828692025388591,512
qmask_d49846da5aa54e5e,1.2790283985668793,512
qmask_d79394fce5af8530,3.290384184161667,512
