measurement_order,measurement_id,mask_bits,n_heads,observed_mean_effect,n_train_prompts,h0,h1,h2,h3,h4,h5,h6,h7
1,qmask_12ba3e375e85e5f9,00000000,0,0.0,256,0,0,0,0,0,0,0,0
2,qmask_d3be04383e5daabc,10000000,1,0.8019887390546501,256,1,0,0,0,0,0,0,0
3,qmask_084f112a3f66a340,01000000,1,0.7262291735969484,256,0,1,0,0,0,0,0,0
4,qmask_305bdcf2f3fb7953,00100000,1,0.35385336400941014,256,0,0,1,0,0,0,0,0
5,qmask_bee7b633b7bd6ef7,00010000,1,0.25462287059053773,256,0,0,0,1,0,0,0,0
6,qmask_9301cb6d11128fab,00001000,1,0.23304484831169248,256,0,0,0,0,1,0,0,0
7,qmask_f1d52a8ab428b413,00000100,1,0.14117557415738696,256,0,0,0,0,0,1,0,0
8,qmask_63c802383bb0b7d1,00000010,1,0.08275196095928547,256,0,0,0,0,0,0,1,0
9,qmask_65a8cc93a7501058,00000001,1,0.07064608344808218,256,0,0,0,0,0,0,0,1
10,qmask_e87690dd6a8adfcf,11000000,2,1.955786201870069,256,1,1,0,0,0,0,0,0
11,qmask_bf8c1434803ab072,10100000,2,1.1435363651253283,256,1,0,1,0,0,0,0,0
12,qmask_a95e52ff7755375c,10010000,2,1.0910855368711054,256,1,0,0,1,0,0,0,0
13,qmask_f104e74668251aef,10001000,2,1.0766881743911654,256,1,0,0,0,1,0,0,0
14,qmask_dbcbcb69e45ef1f2,10000100,2,0.9662618585862219,256,1,0,0,0,0,1,0,0
15,qmask_15ab76211490e5f2,10000010,2,0.8966371626593173,256,1,0,0,0,0,0,1,0
16,qmask_a1573183a15a2e70,10000001,2,0.907804443500936,256,1,0,0,0,0,0,0,1
17,qmask_fcb115619f2c84ff,01100000,2,1.0843645371496677,256,0,1,1,0,0,0,0,0
18,qmask_e9ca713c8628e4cf,01010000,2,1.045491392724216,256,0,1,0,1,0,0,0,0
19,qmask_fdd0119e69754782,01001000,2,1.0479137664660811,256,0,1,0,0,1,0,0,0
20,qmask_9fcd59148bb80ee0,01000100,2,0.8951503252610564,256,0,1,0,0,0,1,0,0
21,qmask_52587a401f8c4572,01000010,2,0.8242832850664854,256,0,1,0,0,0,0,1,0
22,qmask_5512dd1d0711aac7,01000001,2,0.8371237465180457,256,0,1,0,0,0,0,0,1
23,qmask_514c2877bf4be10c,00110000,2,0.608012237586081,256,0,0,1,1,0,0,0,0
24,qmask_2a6601cfebfd729f,00101000,2,0.589544223388657,256,0,0,1,0,1,0,0,0
25,qmask_80f540cffe1476e0,00100100,2,0.49455822119489307,256,0,0,1,0,0,1,0,0
26,qmask_e9ed53e1d966b6fb,00100010,2,0.4388507334515452,256,0,0,1,0,0,0,1,0
27,qmask_8ac8f15ccd161fe5,00100001,2,0.4334701900370419,256,0,0,1,0,0,0,0,1
28,qmask_a5a1d27ddb2c8227,00011000,2,0.6003985244315118,256,0,0,0,1,1,0,0,0
29,qmask_a9929e246d832442,00010100,2,0.40437819808721537,256,0,0,0,1,0,1,0,0
30,qmask_9851f27c8a1261cf,00010010,2,0.3609807984903454,256,0,0,0,1,0,0,1,0
31,qmask_32e8e84428256102,00010001,2,0.3172376225702464,256,0,0,0,1,0,0,0,1
32,qmask_83bdd2f6f8ba0b15,00001100,2,0.381494163069874,256,0,0,0,0,1,1,0,0
33,qmask_687cf8e70b6a898b,00001010,2,0.32631862815469503,256,0,0,0,0,1,0,1,0
34,qmask_2b881f8c8b0aacb2,00001001,2,0.29759095795452595,256,0,0,0,0,1,0,0,1
35,qmask_1df648c9114d481c,00000110,2,0.2377581200562417,256,0,0,0,0,0,1,1,0
36,qmask_b223032f5f64c4c5,00000101,2,0.20751121034845707,256,0,0,0,0,0,1,0,1
37,qmask_32f1960c0b93558b,00000011,2,0.15464680502191183,256,0,0,0,0,0,0,1,1
38,qmask_77ba150e7fd84cd4,11111111,8,3.5764397599268705,256,1,1,1,1,1,1,1,1
39,qmask_c6d5462a4cdcb880,00110001,3,0.6831549061462283,256,0,0,1,1,0,0,0,1
40,qmask_537109997b74dffe,11111101,7,3.419051092118025,256,1,1,1,1,1,1,0,1
