model,term,coef
additive_head,intercept,-0.8066893883832605
additive_head,P:9.9,0.9575793327934288
additive_head,P:9.6,0.060179610168859095
additive_head,P:10.0,0.6655506969393603
additive_head,B:9.0,0.009360643208700677
additive_head,B:9.7,0.10303671353636622
additive_head,B:10.1,0.10151728632237354
additive_head,B:10.2,0.23435319887444006
additive_head,B:10.6,0.3312365229433085
additive_head,B:10.10,0.35087194808062894
additive_head,B:11.2,-0.0814017694733232
additive_head,B:11.9,0.16596616019758742
additive_head,E:10.7,-0.3048812719496747
additive_head,E:11.10,-0.5341877539054066
count_additive,intercept,-0.7129179534492501
count_additive,P:9.9,0.8410620305010197
count_additive,P:9.6,-0.05514861816176175
count_additive,P:10.0,0.5225379920412685
count_additive,B:9.0,-0.07631595055343705
count_additive,B:9.7,0.027434784575492602
count_additive,B:10.1,0.05848353884045661
count_additive,B:10.2,0.1716606925487066
count_additive,B:10.6,0.25638541021319927
count_additive,B:10.10,0.268510313266294
count_additive,B:11.2,-0.1598372159570758
count_additive,B:11.9,0.12158704051051483
count_additive,E:10.7,-0.18335106495002412
count_additive,E:11.10,-0.4063926269037484
count_additive,P_count_eq_1,-0.01960607764822625
count_additive,P_count_eq_2,0.13214318124150345
count_additive,P_count_eq_3,0.35459037376057173
count_additive,B_count_eq_1,0.03142819505113843
count_additive,B_count_2_3,0.12289653824979006
count_additive,B_count_4_5,0.24427629174928617
count_additive,B_count_6_8,0.4633739311129378
count_additive,E_count_eq_1,-0.08349565238171443
count_additive,E_count_eq_2,-0.2531240052450119
count_plus_PB_count,intercept,-0.45454327920576415
count_plus_PB_count,P:9.9,0.6804726250114176
count_plus_PB_count,P:9.6,-0.19492970221205566
count_plus_PB_count,P:10.0,0.37023348694702557
count_plus_PB_count,B:9.0,-0.15048102078970316
count_plus_PB_count,B:9.7,-0.02600327336294384
count_plus_PB_count,B:10.1,0.005603101873851014
count_plus_PB_count,B:10.2,0.05771749618501258
count_plus_PB_count,B:10.6,0.1682207298430888
count_plus_PB_count,B:10.10,0.20417093114463242
count_plus_PB_count,B:11.2,-0.23868082854383504
count_plus_PB_count,B:11.9,0.03909453904731921
count_plus_PB_count,E:10.7,-0.1852731582402279
count_plus_PB_count,E:11.10,-0.39220697107939945
count_plus_PB_count,P_count_eq_1,-0.04443764389371184
count_plus_PB_count,P_count_eq_2,0.08027343175083898
count_plus_PB_count,P_count_eq_3,0.2465556990888794
count_plus_PB_count,B_count_eq_1,0.04677238409661939
count_plus_PB_count,B_count_2_3,0.11025175422859754
count_plus_PB_count,B_count_4_5,0.17838010104565635
count_plus_PB_count,B_count_6_8,0.33373042842595463
count_plus_PB_count,E_count_eq_1,-0.07077291890305655
count_plus_PB_count,E_count_eq_2,-0.25335358629084764
count_plus_PB_count,P_B_count,1.3929640159935943
count_plus_PE_count,intercept,-0.16045923279231863
count_plus_PE_count,P:9.9,0.5563924946307213
count_plus_PE_count,P:9.6,-0.3202998162225071
count_plus_PE_count,P:10.0,0.24052205054873627
count_plus_PE_count,B:9.0,-0.06993683830843528
count_plus_PE_count,B:9.7,0.0628556948987036
count_plus_PE_count,B:10.1,0.03998483455769064
count_plus_PE_count,B:10.2,0.1867792332715613
count_plus_PE_count,B:10.6,0.2822584851521458
count_plus_PE_count,B:10.10,0.22060646044965013
count_plus_PE_count,B:11.2,-0.14662788521307685
count_plus_PE_count,B:11.9,0.08197773807632809
count_plus_PE_count,E:10.7,-0.6329686804691885
count_plus_PE_count,E:11.10,-0.8767370469489234
count_plus_PE_count,P_count_eq_1,-0.024150804496967864
count_plus_PE_count,P_count_eq_2,0.041658114964436194
count_plus_PE_count,P_count_eq_3,0.13914977065926248
count_plus_PE_count,B_count_eq_1,-0.03303990900802312
count_plus_PE_count,B_count_2_3,0.1369709123337309
count_plus_PE_count,B_count_4_5,0.28003609984908945
count_plus_PE_count,B_count_6_8,0.44461022896419516
count_plus_PE_count,E_count_eq_1,-0.24127256438429992
count_plus_PE_count,E_count_eq_2,-0.6342165824043317
count_plus_PE_count,P_E_count,2.245393693099306
count_plus_BE_count,intercept,-0.5861369041818187
count_plus_BE_count,P:9.9,0.840813367306488
count_plus_BE_count,P:9.6,-0.057791630843056024
count_plus_BE_count,P:10.0,0.5330744177403903
count_plus_BE_count,B:9.0,-0.10931620350464011
count_plus_BE_count,B:9.7,0.002264519549548976
count_plus_BE_count,B:10.1,0.012637034153323215
count_plus_BE_count,B:10.2,0.1497662337712694
count_plus_BE_count,B:10.6,0.21739120355588154
count_plus_BE_count,B:10.10,0.22265486625476819
count_plus_BE_count,B:11.2,-0.20539588484588106
count_plus_BE_count,B:11.9,0.07527040781086664
count_plus_BE_count,E:10.7,-0.285993089815583
count_plus_BE_count,E:11.10,-0.5128478241553558
count_plus_BE_count,P_count_eq_1,-0.015861122909826025
