mask_id,mask_bits,family_id,n_controls,mean_kl_clean_to_intervened,median_kl_clean_to_intervened,maximum_kl_clean_to_intervened,mean_total_variation
analytic_noop,00000000,all,512,0,0,0,0
analytic_noop,00000000,length_32_gap_16,128,0,0,0,0
analytic_noop,00000000,length_32_gap_8,128,0,0,0,0
analytic_noop,00000000,length_64_gap_16,128,0,0,0,0
analytic_noop,00000000,length_64_gap_8,128,0,0,0,0
qmask_03e03e6bad3167c1,00110101,all,512,0.013113149244873005,0.008143065962940399,0.17985422909259791,0.056181123331043581
qmask_03e03e6bad3167c1,00110101,length_32_gap_16,128,0.012134703574702095,0.0071636494249105002,0.080104827880859306,0.053891537478193592
qmask_03e03e6bad3167c1,00110101,length_32_gap_8,128,0.019785871039857683,0.0093860654160379496,0.17985422909259791,0.066756029060343225
qmask_03e03e6bad3167c1,00110101,length_64_gap_16,128,0.0099280446775082479,0.0071174507029354,0.0751629993319511,0.050953976300661397
qmask_03e03e6bad3167c1,00110101,length_64_gap_8,128,0.010603977687423993,0.0085697611793875,0.082130044698715196,0.053122950484976117
qmask_04e99e00df510b89,10100010,all,512,0.012519335106617241,0.00752674206160005,0.2495939433574676,0.053769243193528334
qmask_04e99e00df510b89,10100010,length_32_gap_16,128,0.011824233169136229,0.0066895545460283002,0.074633181095123194,0.051743328396696549
qmask_04e99e00df510b89,10100010,length_32_gap_8,128,0.019998844371002581,0.01024432666599745,0.2495939433574676,0.066411356703611063
qmask_04e99e00df510b89,10100010,length_64_gap_16,128,0.0083023437800874861,0.0062428042292594502,0.068518288433551705,0.045961252239067052
qmask_04e99e00df510b89,10100010,length_64_gap_8,128,0.0099519191062426605,0.0082684555090963494,0.083691537380218506,0.050961035434738684
qmask_07e4d5ad11974b66,01010100,all,512,0.0059262522886455796,0.00473436620086425,0.044741936028003602,0.04062054302630709
qmask_07e4d5ad11974b66,01010100,length_32_gap_16,128,0.0050361339226582882,0.0040832180529831999,0.021336007863283098,0.037633597428793977
qmask_07e4d5ad11974b66,01010100,length_32_gap_8,128,0.0081191664121433374,0.0066859044600277497,0.044741936028003602,0.047437268251087468
qmask_07e4d5ad11974b66,01010100,length_64_gap_16,128,0.0048176973969020322,0.0038286410272121,0.032187279313802698,0.036491870836471159
qmask_07e4d5ad11974b66,01010100,length_64_gap_8,128,0.0057320114228786613,0.0048457228112965007,0.0274712480604648,0.040919435588875744
qmask_0cd7ddfc8c2186ca,00110100,all,512,0.011709209742548361,0.0072273646946995999,0.1687169224023819,0.052705183101352249
qmask_0cd7ddfc8c2186ca,00110100,length_32_gap_16,128,0.01076073700096453,0.0059944568201898999,0.075038507580757099,0.050320220048888531
qmask_0cd7ddfc8c2186ca,00110100,length_32_gap_8,128,0.017627602101128972,0.0086052613332866998,0.1687169224023819,0.062698262510821168
qmask_0cd7ddfc8c2186ca,00110100,length_64_gap_16,128,0.0089508033579476856,0.00628059636801475,0.072134494781494099,0.048061695662909146
qmask_0cd7ddfc8c2186ca,00110100,length_64_gap_8,128,0.0094976965101522589,0.0074488734826445007,0.083960294723510701,0.049740554182790164
qmask_14432725d56e8049,10011100,all,512,0.013470303866370111,0.0090031344443559005,0.2290252298116684,0.05851396057551024
qmask_14432725d56e8049,10011100,length_32_gap_16,128,0.01334293084437372,0.0091611188836395012,0.1029218062758445,0.057798127352725673
qmask_14432725d56e8049,10011100,length_32_gap_8,128,0.016903661140531715,0.010097384918481051,0.2290252298116684,0.064068295716424417
qmask_14432725d56e8049,10011100,length_64_gap_16,128,0.011379949788533805,0.0073154564015566999,0.087481915950775105,0.054049613143433768
qmask_14432725d56e8049,10011100,length_64_gap_8,128,0.012254673692041206,0.0093196863308548511,0.079278975725173895,0.058139806089457083
qmask_168ecc77c6d9bec7,00100011,all,512,0.011006913259961898,0.0063813619781285004,0.15902997553348541,0.049797760315414011
qmask_168ecc77c6d9bec7,00100011,length_32_gap_16,128,0.010460767482982143,0.0059470885898917497,0.080460116267204201,0.048678595994715537
qmask_168ecc77c6d9bec7,00100011,length_32_gap_8,128,0.017456793411838537,0.0076236128807067004,0.15902997553348541,0.060806296198279548
qmask_168ecc77c6d9bec7,00100011,length_64_gap_16,128,0.0076912221575184464,0.0058857556432484999,0.077958486974239294,0.043787103728391188
qmask_168ecc77c6d9bec7,00100011,length_64_gap_8,128,0.0084188699875084646,0.00605822377838185,0.090375930070877006,0.045919045340269762
qmask_17b31d3e8666d651,01011101,all,512,0.015250286380705752,0.0103769954293966,0.2621161937713623,0.062633220277348245
qmask_17b31d3e8666d651,01011101,length_32_gap_16,128,0.014249271287553662,0.0098736397922038512,0.1072317063808441,0.061175742375780773
qmask_17b31d3e8666d651,01011101,length_32_gap_8,128,0.020187106591038118,0.01190046034753315,0.2621161937713623,0.069731198018416707
qmask_17b31d3e8666d651,01011101,length_64_gap_16,128,0.012764715078446851,0.0093262535519897504,0.088984146714210496,0.057890429627150249
qmask_17b31d3e8666d651,01011101,length_64_gap_8,128,0.013800052565784376,0.0099619096145033489,0.098211444914340904,0.061735511088045265
qmask_22c3d94ed895c2d5,10010110,all,512,0.0061676738730511195,0.0044606470037251503,0.049661446362733799,0.040782752770610338
qmask_22c3d94ed895c2d5,10010110,length_32_gap_16,128,0.006138216636827511,0.0039376211352646004,0.049661446362733799,0.039545472871395718
qmask_22c3d94ed895c2d5,10010110,length_32_gap_8,128,0.0078274469869938374,0.0061460458673535997,0.039963454008102403,0.046534905020962421
qmask_22c3d94ed895c2d5,10010110,length_64_gap_16,128,0.0050244750627825331,0.0034652596805243999,0.032308027148246703,0.036730709980474729
qmask_22c3d94ed895c2d5,10010110,length_64_gap_8,128,0.0056805568056005964,0.0047429637052117998,0.023363623768091198,0.040319923209608484
qmask_2678a15f3a1887ca,10110001,all,512,0.01552344872743556,0.01034758053719995,0.29318326711654658,0.061450039880583014
qmask_2678a15f3a1887ca,10110001,length_32_gap_16,128,0.014744435022294004,0.0092461439780890491,0.084855332970619202,0.05974896914267442
qmask_2678a15f3a1887ca,10110001,length_32_gap_8,128,0.02424435872671888,0.01300910674035545,0.29318326711654658,0.074745934573002118
qmask_2678a15f3a1887ca,10110001,length_64_gap_16,128,0.010859823662030931,0.0083431168459354998,0.081230692565441104,0.053340298196417238
qmask_2678a15f3a1887ca,10110001,length_64_gap_8,128,0.012245177498698422,0.010494700632989351,0.079943403601646396,0.057964957610238274
qmask_282cb65c9e54d1f9,01101110,all,512,0.01781324299190596,0.0127239152789115,0.25055566430091852,0.067390895164862685
qmask_282cb65c9e54d1f9,01101110,length_32_gap_16,128,0.015419513292727016,0.0111281899735331,0.087617695331573403,0.063186857965774779
qmask_282cb65c9e54d1f9,01101110,length_32_gap_8,128,0.026003295832197133,0.016303471289575051,0.25055566430091852,0.078804399352520663
qmask_282cb65c9e54d1f9,01101110,length_64_gap_16,128,0.014060016590519758,0.01128413714468475,0.085591360926628099,0.06172134497319344
qmask_282cb65c9e54d1f9,01101110,length_64_gap_8,128,0.015770146252179935,0.0127703426405787,0.074101626873016302,0.065850978367961902
qmask_2def687a70c0189d,11100100,all,512,0.018678244032798781,0.013037152122706151,0.33737930655479431,0.068462778363027554
qmask_2def687a70c0189d,11100100,length_32_gap_16,128,0.015724670320196261,0.0096702384762465503,0.1018115952610969,0.06214686320163304
qmask_2def687a70c0189d,11100100,length_32_gap_8,128,0.029670697989786228,0.019704310223460149,0.33737930655479431,0.085616937576560262
qmask_2def687a70c0189d,11100100,length_64_gap_16,128,0.012476640911700041,0.0102306250482797,0.060564786195754998,0.057869063835823853
qmask_2def687a70c0189d,11100100,length_64_gap_8,128,0.016840966909512593,0.0149254561401903,0.0742221474647521,0.06821824883809309
qmask_30f1d2fade2e7178,01001010,all,512,0.0084391579919155853,0.0057159210555254997,0.16391131281852719,0.046415089957008562
qmask_30f1d2fade2e7178,01001010,length_32_gap_16,128,0.0079717959497429061,0.0056980773806571492,0.057422511279582901,0.045786487971781697
qmask_30f1d2fade2e7178,01001010,length_32_gap_8,128,0.011503411453304531,0.0068796253763138502,0.16391131281852719,0.052160515799187082
qmask_30f1d2fade2e7178,01001010,length_64_gap_16,128,0.0067981568608956374,0.0053503129165619499,0.035897105932235697,0.042591051053022917
qmask_30f1d2fade2e7178,01001010,length_64_gap_8,128,0.0074832677037192687,0.00502371136099095,0.054147973656654302,0.045122305004042532
qmask_31a763e8bc0202e0,00101110,all,512,0.014398318466646692,0.0091261151246725992,0.20272701978683469,0.05915248938617873
qmask_31a763e8bc0202e0,00101110,length_32_gap_16,128,0.013386623542828551,0.0089573073200880995,0.092221237719058893,0.057263912705820937
qmask_31a763e8bc0202e0,00101110,length_32_gap_8,128,0.020433812434930539,0.010521324351429901,0.20272701978683469,0.067757186319795382
qmask_31a763e8bc0202e0,00101110,length_64_gap_16,128,0.011536069632711537,0.0083988476544617999,0.095911249518394401,0.054891654275706928
qmask_31a763e8bc0202e0,00101110,length_64_gap_8,128,0.012236768256116141,0.0090817809104919,0.085678189992904594,0.056697204243391697
qmask_330533bb35dfe50c,10001011,all,512,0.0091655678149890653,0.0059714936651288995,0.15743847191333771,0.048249656931147869
qmask_330533bb35dfe50c,10001011,length_32_gap_16,128,0.0096738599540912608,0.0061931344680487502,0.064606636762619005,0.04959084215806793
qmask_330533bb35dfe50c,10001011,length_32_gap_8,128,0.012264045220945211,0.0070754480548202497,0.15743847191333771,0.054191032249946099
qmask_330533bb35dfe50c,10001011,length_64_gap_16,128,0.0069634675601263967,0.0047617719974367995,0.032666072249412502,0.042953527881763827
qmask_330533bb35dfe50c,10001011,length_64_gap_8,128,0.0077608985247933932,0.0056307259947061001,0.046686213463544797,0.046263225434813607
qmask_3745eec79815ddf1,10011011,all,512,0.013575375538493922,0.0086312238126993006,0.20741917192935941,0.058390924867126118
qmask_3745eec79815ddf1,10011011,length_32_gap_16,128,0.01392007722915873,0.00875837588682765,0.1108572706580162,0.059177415954763959
qmask_3745eec79815ddf1,10011011,length_32_gap_8,128,0.017318919113677059,0.00965001946315165,0.20741917192935941,0.063951405652915086
qmask_3745eec79815ddf1,10011011,length_64_gap_16,128,0.011381488036931791,0.0072832619771361004,0.082448773086071001,0.053997461713151965
qmask_3745eec79815ddf1,10011011,length_64_gap_8,128,0.011681017774208107,0.0078201240394263506,0.0738556534051895,0.056437416147673447
qmask_3b86e07f9bac3525,10001010,all,512,0.0078684073382646099,0.0050315151456742993,0.1611525267362594,0.044497206126834443
qmask_3b86e07f9bac3525,10001010,length_32_gap_16,128,0.0082970984267375994,0.0047755581326782001,0.0579886436462402,0.045506569222197826
qmask_3b86e07f9bac3525,10001010,length_32_gap_8,128,0.010229450402221067,0.0061674769967794002,0.1611525267362594,0.049262909684330169
qmask_3b86e07f9bac3525,10001010,length_64_gap_16,128,0.0061647492429983165,0.004297150298953,0.031645670533180202,0.04020526540989517
qmask_3b86e07f9bac3525,10001010,length_64_gap_8,128,0.0067823312811014572,0.0049774469807743506,0.0418654829263687,0.043014080190914628
qmask_424f9867dfadb061,10110000,all,512,0.013937274736235801,0.0089761712588369014,0.28054267168045038,0.057865410672093227
qmask_424f9867dfadb061,10110000,length_32_gap_16,128,0.013199553302911176,0.0079232160933315511,0.086938023567199693,0.055917465302627485
qmask_424f9867dfadb061,10110000,length_32_gap_8,128,0.021674910147339639,0.011874344665557101,0.28054267168045038,0.070364664308726746
qmask_424f9867dfadb061,10110000,length_64_gap_16,128,0.0097181410274060458,0.0073290343862026496,0.074332982301711994,0.050286313024116625
qmask_424f9867dfadb061,10110000,length_64_gap_8,128,0.011156494467286343,0.0092220553196966509,0.081310980021953499,0.054893200052902047
qmask_427363983d4a675f,11011110,all,512,0.02054987197789155,0.014737447723746249,0.36819931864738459,0.073538722717785221
qmask_427363983d4a675f,11011110,length_32_gap_16,128,0.018658981314729265,0.012351795565336901,0.1115835458040237,0.070190597383771036
qmask_427363983d4a675f,11011110,length_32_gap_8,128,0.029305963580554768,0.0191570939496159,0.36819931864738459,0.086158887133933576
qmask_427363983d4a675f,11011110,length_64_gap_16,128,0.015311027515053817,0.011345400940626801,0.090218760073184898,0.0640594609722029
qmask_427363983d4a675f,11011110,length_64_gap_8,128,0.018923515501228345,0.01526801427826285,0.096446469426154993,0.073745945381233413
qmask_47a8b0e6e63f5071,10111110,all,512,0.022501831469980922,0.015095490030944299,0.3466274738311767,0.075615243324136772
qmask_47a8b0e6e63f5071,10111110,length_32_gap_16,128,0.021415820703623419,0.014276752714067651,0.1027099564671516,0.073732434102566857
qmask_47a8b0e6e63f5071,10111110,length_32_gap_8,128,0.031316733853600405,0.018501962535083252,0.3466274738311767,0.086310398764908272
qmask_47a8b0e6e63f5071,10111110,length_64_gap_16,128,0.018020147035713259,0.013357660733163301,0.095913097262382493,0.069261911703506429
qmask_47a8b0e6e63f5071,10111110,length_64_gap_8,128,0.019254624286986599,0.015810736455023251,0.088950321078300407,0.073156228725565542
qmask_4f926e356a625a67,01111100,all,512,0.021995147952566137,0.0149086522869765,0.27734005451202393,0.075023667210189118
qmask_4f926e356a625a67,01111100,length_32_gap_16,128,0.019532192342012374,0.01329642441123715,0.093846425414085305,0.071402089000912328
qmask_4f926e356a625a67,01111100,length_32_gap_8,128,0.030786230592639137,0.019764397293329197,0.27734005451202393,0.085926221916452022
qmask_4f926e356a625a67,01111100,length_64_gap_16,128,0.017996151405895902,0.013018234632909249,0.094638720154762199,0.069305242301197681
qmask_4f926e356a625a67,01111100,length_64_gap_8,128,0.019666017469717141,0.014953806996345499,0.1051825657486915,0.073461115622194442
qmask_5106913f39c2ea0e,01100101,all,512,0.014662277494153334,0.010290252044796899,0.2064790725708007,0.060478103401692303
qmask_5106913f39c2ea0e,01100101,length_32_gap_16,128,0.012343373329713303,0.00821237638592715,0.079498194158077198,0.055083505882066633
qmask_5106913f39c2ea0e,01100101,length_32_gap_8,128,0.022866595423693018,0.01369289029389615,0.2064790725708007,0.074286421033320907
qmask_5106913f39c2ea0e,01100101,length_64_gap_16,128,0.010756320740256294,0.0091854841448366,0.069141402840614305,0.05355834391957609
qmask_5106913f39c2ea0e,01100101,length_64_gap_8,128,0.012682820482950724,0.010844160337001,0.074427753686904893,0.058984142771805581
qmask_514b410bbe7f097e,11010111,all,512,0.013875054565687557,0.0104525228962302,0.1726361215114593,0.061260086007678134
