selector,target,pool_id,selected_mask_id,selected_mask_bits,selected_is_noop,predicted_target_loss,n_controls,mean_kl_clean_to_intervened,median_kl_clean_to_intervened,maximum_kl_clean_to_intervened,mean_total_variation
direct_risk,0.86343068687710911,qpool_04a0d16a2ce1d6ae,qmask_04e99e00df510b89,10100010,False,0.65347417885666104,512,0.012519335106617241,0.00752674206160005,0.2495939433574676,0.053769243193528334
direct_risk,0.86343068687710911,qpool_094d56ddcd5f1fe4,qmask_168ecc77c6d9bec7,00100011,False,0.73785436528995718,512,0.011006913259961898,0.0063813619781285004,0.15902997553348541,0.049797760315414011
direct_risk,0.86343068687710911,qpool_0b1792f4952557ee,qmask_bde177d3edcb1ae0,00110110,False,0.71450799834783796,512,0.011875923154548169,0.007223954424262,0.16274431347846979,0.05320387343817852
direct_risk,0.86343068687710911,qpool_0ffd30d33ad8dd0f,qmask_b996be105c0f3dda,10100110,False,0.71167593514599092,512,0.014010142218467031,0.0089707286097109006,0.2486947774887085,0.057823399416520219
direct_risk,0.86343068687710911,qpool_169a31b6710ef111,qmask_55cbf5fefb67a9c9,10010100,False,0.61665767517847325,512,0.0059319815072739791,0.0041463382076471506,0.048845909535884802,0.039769990980857935
direct_risk,0.86343068687710911,qpool_3bc403a0734a65bf,qmask_330533bb35dfe50c,10001011,False,0.74521524534002315,512,0.0091655678149890653,0.0059714936651288995,0.15743847191333771,0.048249656931147869
direct_risk,0.86343068687710911,qpool_4da0243bdf72a6cd,qmask_b52a639547d6a0e9,10000111,False,0.58972865407392672,512,0.0054581902390963884,0.00387650995980945,0.071913838386535603,0.037728862838775926
direct_risk,0.86343068687710911,qpool_59fb93108c625f9c,qmask_af3070b33fa6727a,01000111,False,0.62085268755911915,512,0.0052875653614136778,0.00426391488872465,0.062036424875259302,0.038333948294166434
direct_risk,0.86343068687710911,qpool_6c9ad557921d1966,qmask_5febbac13cd7abee,00010110,False,0.5915070687558498,512,0.0027435053614225987,0.00205656071193515,0.022057633846998201,0.027444336501503078
direct_risk,0.86343068687710911,qpool_70bc91001fd21361,qmask_83013e5a4235b8ec,00010111,False,0.59557996355532461,512,0.0038278375268418537,0.0027742892270907499,0.0641494095325469,0.032204401944909422
direct_risk,0.86343068687710911,qpool_7d29cbb2adc90870,qmask_fac74048988e3cbb,01010001,False,0.64887000069607736,512,0.0059032531621596215,0.0046565649099647496,0.074300780892372104,0.040360896440688465
direct_risk,0.86343068687710911,qpool_a6ffe2b653ce5a24,qmask_d350d740bff94567,00010011,False,0.6329704248557283,512,0.0027731833075676565,0.0019537160405888499,0.060527496039867401,0.027218965651627465
