seed,observer,protocol_loss_mean,protocol_loss_cvar,risk_auroc,severity_weighted_miss_rate,clean_utility_retained,heldout_delete_protocol_loss,heldout_delete_severity_miss
0,action-only-label-ridge,2.66220703125,12.0,0.5,0.9632034632034632,0.900390625,2.612393162393162,0.9630818619582665
0,activation-label-ridge,1.64755859375,11.45631067961165,1.0,0.6067821067821068,1.0,2.280769230769231,0.85553772070626
0,activation-direct-risk-ridge,0.6807617187499999,4.0,0.9906005859375,0.24963924963924963,1.0,0.9258547008547009,0.3451043338683788
0,exact-authorization-risk-oracle,0.68076171875,4.0,1.0,0.24963924963924963,1.0,0.685042735042735,0.2552166934189406
0,allow-all-no-action,2.70703125,12.0,0.5,1.0,1.0,2.6623931623931623,1.0
1,action-only-label-ridge,2.5606445312499995,12.0,0.5,0.9617691154422788,0.900390625,2.5218253968253967,0.9491525423728814
1,activation-label-ridge,1.56943359375,10.912621359223301,1.0,0.6004497751124438,1.0,1.4216269841269842,0.5500770416024653
1,activation-direct-risk-ridge,0.6573242187500001,4.0,0.9993057250976562,0.25037481259370314,1.0,0.5476190476190477,0.2110939907550077
1,exact-authorization-risk-oracle,0.6573242187499999,4.0,1.0,0.25037481259370314,1.0,0.5803571428571429,0.22342064714946072
1,allow-all-no-action,2.60546875,12.0,0.5,1.0,1.0,2.5753968253968256,1.0
2,action-only-label-ridge,2.59482421875,12.0,0.5,0.9622641509433962,0.900390625,2.352816901408451,0.9520348837209303
2,activation-label-ridge,1.57724609375,10.757281553398059,1.0,0.5956344802071772,1.0,1.2339788732394366,0.5072674418604651
2,activation-direct-risk-ridge,0.68369140625,4.0,0.9971046447753906,0.2571217166111728,1.0,0.49859154929577465,0.20348837209302326
2,exact-authorization-risk-oracle,0.68369140625,4.0,1.0,0.2571217166111728,1.0,0.6663732394366196,0.27325581395348836
2,allow-all-no-action,2.6396484375,12.0,0.5,1.0,1.0,2.4225352112676055,1.0
3,action-only-label-ridge,2.61240234375,12.0,0.5,0.9625137816979051,0.900390625,2.716803278688525,0.9602941176470589
3,activation-label-ridge,1.56845703125,10.757281553398059,1.0,0.5883866225652333,1.0,2.4975409836065574,0.8955882352941177
3,activation-direct-risk-ridge,0.67783203125,4.0,0.9996147155761719,0.25321572951120913,1.0,0.5622950819672132,0.2
3,exact-authorization-risk-oracle,0.67783203125,4.0,1.0,0.25321572951120913,1.0,0.5952868852459018,0.21176470588235294
3,allow-all-no-action,2.6572265625,12.0,0.5,1.0,1.0,2.7868852459016393,1.0
4,action-only-label-ridge,2.67001953125,12.0,0.5,0.9622709306503773,0.900390625,2.851652892561983,0.9628571428571429
4,activation-label-ridge,1.46982421875,9.74757281553398,1.0,0.5389867049946101,1.0,2.1894628099173556,0.7557142857142857
4,activation-direct-risk-ridge,0.7071289062500001,4.0,0.9980735778808594,0.25835429392741643,1.0,0.7834710743801654,0.26857142857142857
4,exact-authorization-risk-oracle,0.70712890625,4.0,1.0,0.25835429392741643,1.0,0.6822314049586777,0.2342857142857143
4,allow-all-no-action,2.7177734375,12.0,0.5,1.0,1.0,2.8925619834710745,1.0
5,action-only-label-ridge,2.56943359375,12.0,0.5,0.9618976466193501,0.900390625,2.5518939393939393,0.9622641509433962
5,activation-label-ridge,1.71005859375,11.844660194174757,1.0,0.6522226372805379,1.0,2.464393939393939,0.9433962264150944
5,activation-direct-risk-ridge,0.6895507812500001,4.0,0.9955863952636719,0.26186029137093764,1.0,0.9339015151515152,0.3555878084179971
5,exact-authorization-risk-oracle,0.68955078125,4.0,1.0,0.26186029137093764,1.0,0.7208333333333333,0.274310595065312
5,allow-all-no-action,2.6142578125,12.0,0.5,1.0,1.0,2.609848484848485,1.0
6,action-only-label-ridge,2.5049804687499995,12.0,0.5,0.9609345078513979,0.900390625,2.5186567164179103,0.9692982456140351
