prompt_id,split,template_id,structure,unordered_name_pair_id,pair_orientation,io_name,s_name,prompt,answer,counterfactual_answer,answer_token_id,counterfactual_token_id
phase7_prompt_7c11d310e78e26b2,test,abba_meeting,ABBA,phase7_pair_0c18e66c6fc56274,a_to_b,Heather,Tina,"Because Heather and Tina attended the meeting, Tina sent a short note to",Heather,Tina,24253,35903
phase7_prompt_7eba19bd97bc6aac,test,abba_meeting,ABBA,phase7_pair_0c18e66c6fc56274,b_to_a,Tina,Heather,"Because Tina and Heather attended the meeting, Heather sent a short note to",Tina,Heather,35903,24253
phase7_prompt_8f6e1064ffa15687,test,abba_meeting,ABBA,phase7_pair_267ca827d088ceea,a_to_b,Brooke,Cheryl,"Because Brooke and Cheryl attended the meeting, Cheryl sent a short note to",Brooke,Cheryl,46459,37958
phase7_prompt_93e927fd344b50dc,test,abba_meeting,ABBA,phase7_pair_267ca827d088ceea,b_to_a,Cheryl,Brooke,"Because Cheryl and Brooke attended the meeting, Brooke sent a short note to",Cheryl,Brooke,37958,46459
phase7_prompt_49a0d8fe3b8ae8e7,test,abba_meeting,ABBA,phase7_pair_278ff35d65d5552a,a_to_b,Chloe,Margaret,"Because Chloe and Margaret attended the meeting, Margaret sent a short note to",Chloe,Margaret,29476,19579
phase7_prompt_f5b67528280ef67a,test,abba_meeting,ABBA,phase7_pair_278ff35d65d5552a,b_to_a,Margaret,Chloe,"Because Margaret and Chloe attended the meeting, Chloe sent a short note to",Margaret,Chloe,19579,29476
phase7_prompt_4d3f9265159d66b4,test,abba_meeting,ABBA,phase7_pair_2c9c638f8f4dc409,a_to_b,Eva,Wendy,"Because Eva and Wendy attended the meeting, Wendy sent a short note to",Eva,Wendy,32355,28314
phase7_prompt_fd4c0c54ba8f0e34,test,abba_meeting,ABBA,phase7_pair_2c9c638f8f4dc409,b_to_a,Wendy,Eva,"Because Wendy and Eva attended the meeting, Eva sent a short note to",Wendy,Eva,28314,32355
phase7_prompt_abee621315f1d69e,test,abba_meeting,ABBA,phase7_pair_2f7e5056a93db164,a_to_b,Amelia,Anne,"Because Amelia and Anne attended the meeting, Anne sent a short note to",Amelia,Anne,49769,15397
phase7_prompt_e2b9129c80ddc5c5,test,abba_meeting,ABBA,phase7_pair_2f7e5056a93db164,b_to_a,Anne,Amelia,"Because Anne and Amelia attended the meeting, Amelia sent a short note to",Anne,Amelia,15397,49769
phase7_prompt_a12ac70536d9d7bf,test,abba_meeting,ABBA,phase7_pair_332483d3f8db2a87,a_to_b,Marie,Natalie,"Because Marie and Natalie attended the meeting, Natalie sent a short note to",Marie,Natalie,20492,35571
phase7_prompt_3d73c10273b6a3a0,test,abba_meeting,ABBA,phase7_pair_332483d3f8db2a87,b_to_a,Natalie,Marie,"Because Natalie and Marie attended the meeting, Marie sent a short note to",Natalie,Marie,35571,20492
phase7_prompt_7420be46562cdf8d,test,abba_meeting,ABBA,phase7_pair_33dc25959f2ae37b,a_to_b,Jill,Kimberly,"Because Jill and Kimberly attended the meeting, Kimberly sent a short note to",Jill,Kimberly,22772,48685
phase7_prompt_2d8b9249792d5389,test,abba_meeting,ABBA,phase7_pair_33dc25959f2ae37b,b_to_a,Kimberly,Jill,"Because Kimberly and Jill attended the meeting, Jill sent a short note to",Kimberly,Jill,48685,22772
phase7_prompt_8527d35fbe437609,test,abba_meeting,ABBA,phase7_pair_3c6c304726369c49,a_to_b,Judy,Virginia,"Because Judy and Virginia attended the meeting, Virginia sent a short note to",Judy,Virginia,26395,6025
phase7_prompt_645626cfaeaae02d,test,abba_meeting,ABBA,phase7_pair_3c6c304726369c49,b_to_a,Virginia,Judy,"Because Virginia and Judy attended the meeting, Judy sent a short note to",Virginia,Judy,6025,26395
phase7_prompt_f40d311c161e4e33,test,abba_meeting,ABBA,phase7_pair_405b9f63f2142542,a_to_b,Lisa,Maya,"Because Lisa and Maya attended the meeting, Maya sent a short note to",Lisa,Maya,15378,26041
phase7_prompt_59b835e4084ae9b2,test,abba_meeting,ABBA,phase7_pair_405b9f63f2142542,b_to_a,Maya,Lisa,"Because Maya and Lisa attended the meeting, Lisa sent a short note to",Maya,Lisa,26041,15378
phase7_prompt_f484d702eff871d0,test,abba_meeting,ABBA,phase7_pair_644a0d1ba29cc1af,a_to_b,Peggy,Sarah,"Because Peggy and Sarah attended the meeting, Sarah sent a short note to",Peggy,Sarah,40910,10490
phase7_prompt_259d9852ee56e716,test,abba_meeting,ABBA,phase7_pair_644a0d1ba29cc1af,b_to_a,Sarah,Peggy,"Because Sarah and Peggy attended the meeting, Peggy sent a short note to",Sarah,Peggy,10490,40910
phase7_prompt_9b461d52c74997a8,test,abba_meeting,ABBA,phase7_pair_6cd9d7aab319ee07,a_to_b,Charlotte,Elizabeth,"Because Charlotte and Elizabeth attended the meeting, Elizabeth sent a short note to",Charlotte,Elizabeth,14685,10674
phase7_prompt_ce33ab8efb131dbe,test,abba_meeting,ABBA,phase7_pair_6cd9d7aab319ee07,b_to_a,Elizabeth,Charlotte,"Because Elizabeth and Charlotte attended the meeting, Charlotte sent a short note to",Elizabeth,Charlotte,10674,14685
phase7_prompt_1f8d032c6fb005c1,test,abba_meeting,ABBA,phase7_pair_7d6ae98ddcd65bb9,a_to_b,Amber,Megan,"Because Amber and Megan attended the meeting, Megan sent a short note to",Amber,Megan,21896,27616
phase7_prompt_4b27191e5d829371,test,abba_meeting,ABBA,phase7_pair_7d6ae98ddcd65bb9,b_to_a,Megan,Amber,"Because Megan and Amber attended the meeting, Amber sent a short note to",Megan,Amber,27616,21896
phase7_prompt_b353ba48a7ba0021,test,abba_meeting,ABBA,phase7_pair_7e9c77fa7af074a6,a_to_b,Claire,Judith,"Because Claire and Judith attended the meeting, Judith sent a short note to",Claire,Judith,20758,39987
