prompt_idx,subset_idx,subset_name,logit_diff,drop_from_clean
0,0,clean,4.074490547180176,0.0
0,1,P:9.9,4.637584686279297,-0.5630941390991211
0,2,P:9.6,4.7194719314575195,-0.6449813842773438
0,3,P:10.0,3.7096548080444336,0.3648357391357422
0,4,B:9.0,4.022965431213379,0.051525115966796875
0,5,B:9.7,3.3676939010620117,0.7067966461181641
0,6,B:10.1,3.639674186706543,0.4348163604736328
0,7,B:10.2,4.420780181884766,-0.34628963470458984
0,8,B:10.6,3.6829919815063477,0.3914985656738281
0,9,B:10.10,4.226838111877441,-0.15234756469726562
0,10,B:11.2,3.994645118713379,0.07984542846679688
0,11,B:11.9,4.031162261962891,0.043328285217285156
0,12,E:10.7,4.343654632568359,-0.2691640853881836
0,13,E:11.10,5.174765586853027,-1.1002750396728516
0,14,E:10.7|E:11.10,5.70234489440918,-1.627854347229004
0,15,B:9.0|B:9.7|B:10.1|B:10.2|B:10.6|B:10.10|B:11.2|B:11.9,2.8201723098754883,1.2543182373046875
0,16,B:9.0|B:9.7|B:10.1|B:10.2|B:10.6|B:10.10|B:11.2|B:11.9|E:10.7|E:11.10,3.7047109603881836,0.3697795867919922
0,17,P:9.9|P:9.6|P:10.0,4.920202255249023,-0.8457117080688477
0,18,P:9.9|P:9.6|P:10.0|E:10.7|E:11.10,5.315813064575195,-1.2413225173950195
0,19,P:9.9|P:9.6|P:10.0|B:9.0|B:9.7|B:10.1|B:10.2|B:10.6|B:10.10|B:11.2|B:11.9,1.9255952835083008,2.148895263671875
0,20,P:9.9|P:9.6|P:10.0|B:9.0|B:9.7|B:10.1|B:10.2|B:10.6|B:10.10|B:11.2|B:11.9|E:10.7|E:11.10,1.5703039169311523,2.5041866302490234
0,21,B:11.2|B:11.9|E:10.7,4.138180732727051,-0.063690185546875
0,22,B:10.10|B:11.2|E:10.7,4.133964538574219,-0.05947399139404297
0,23,B:10.6|E:11.10,4.581799507141113,-0.5073089599609375
0,24,B:10.6|E:10.7,3.962749481201172,0.1117410659790039
0,25,B:10.6|B:10.10|B:11.2|E:10.7|E:11.10,4.503110885620117,-0.4286203384399414
0,26,B:10.6|B:10.10|B:11.2|B:11.9,3.4341211318969727,0.6403694152832031
0,27,B:10.2|B:10.6,3.998805046081543,0.07568550109863281
0,28,B:10.2|B:10.6|B:10.10|E:10.7|E:11.10,5.374412536621094,-1.299921989440918
0,29,B:10.1|B:11.2|B:11.9,3.5533790588378906,0.5211114883422852
0,30,B:10.1|B:10.10,3.8011722564697266,0.2733182907104492
0,31,B:10.1|B:10.10|E:11.10,4.338330268859863,-0.2638397216796875
0,32,B:10.1|B:10.6,3.239664077758789,0.8348264694213867
0,33,B:10.1|B:10.6|E:11.10,3.985523223876953,0.08896732330322266
0,34,B:10.1|B:10.6|B:11.2|E:11.10,3.885965347290039,0.18852519989013672
0,35,B:10.1|B:10.6|B:11.2|B:11.9,3.0720701217651367,1.002420425415039
0,36,B:10.1|B:10.2|B:10.6|B:10.10|B:11.9|E:11.10,4.066930770874023,0.007559776306152344
0,37,B:9.7|E:11.10,4.26595401763916,-0.19146347045898438
0,38,B:9.7|E:10.7|E:11.10,4.857511520385742,-0.7830209732055664
0,39,B:9.7|B:11.9|E:10.7,3.634174346923828,0.44031620025634766
0,40,B:9.7|B:11.2,3.34423828125,0.7302522659301758
0,41,B:9.7|B:11.2|E:10.7,3.5409374237060547,0.5335531234741211
0,42,B:9.7|B:11.2|B:11.9,3.318291664123535,0.7561988830566406
0,43,B:9.7|B:10.6,3.0284976959228516,1.0459928512573242
0,44,B:9.7|B:10.2,3.6943254470825195,0.38016510009765625
0,45,B:9.7|B:10.2|B:10.6|E:10.7,3.647430419921875,0.4270601272583008
0,46,B:9.7|B:10.2|B:10.6|B:10.10,3.506124496459961,0.5683660507202148
0,47,B:9.7|B:10.1|B:10.6|B:10.10,2.777928352355957,1.2965621948242188
0,48,B:9.7|B:10.1|B:10.6|B:10.10|B:11.9|E:11.10,2.8733177185058594,1.2011728286743164
0,49,B:9.7|B:10.1|B:10.2|B:10.10|B:11.2|E:11.10,3.869272232055664,0.20521831512451172
0,50,B:9.0|B:11.9,3.979572296142578,0.09491825103759766
0,51,B:9.0|B:11.9|E:11.10,5.054566383361816,-0.9800758361816406
0,52,B:9.0|B:10.6,3.6305618286132812,0.44392871856689453
0,53,B:9.0|B:10.6|E:10.7|E:11.10,5.076665878295898,-1.0021753311157227
0,54,B:9.0|B:10.6|B:10.10|B:11.2|E:10.7,3.653797149658203,0.42069339752197266
0,55,B:9.0|B:10.2|B:10.10|E:10.7,4.789395332336426,-0.71490478515625
0,56,B:9.0|B:10.1,3.58743953704834,0.48705101013183594
0,57,B:9.0|B:9.7|B:10.2|B:11.9|E:10.7,3.924867630004883,0.14962291717529297
0,58,B:9.0|B:9.7|B:10.1|B:10.6,2.5407838821411133,1.5337066650390625
0,59,B:9.0|B:9.7|B:10.1|B:10.2|B:10.6|B:11.9,2.768296241760254,1.3061943054199219
0,60,B:9.0|B:9.7|B:10.1|B:10.2|B:10.6|B:10.10|B:11.2,2.892416000366211,1.1820745468139648
0,61,P:10.0|E:10.7|E:11.10,5.1135358810424805,-1.0390453338623047
0,62,P:10.0|B:10.10,3.9386863708496094,0.1358041763305664
0,63,P:10.0|B:10.10|B:11.2|B:11.9|E:11.10,3.4401254653930664,0.6343650817871094
0,64,P:10.0|B:10.2|B:11.2|E:10.7,3.7808971405029297,0.2935934066772461
0,65,P:10.0|B:10.2|B:10.6|B:11.9|E:10.7,3.8603506088256836,0.2141399383544922
0,66,P:10.0|B:10.2|B:10.6|B:10.10|B:11.2,3.032284736633301,1.042205810546875
0,67,P:10.0|B:10.1|B:11.9,3.1651830673217773,0.9093074798583984
0,68,P:10.0|B:10.1|B:10.6|B:11.2|E:11.10,2.693206787109375,1.3812837600708008
0,69,P:10.0|B:10.1|B:10.6|B:10.10|E:10.7,3.490330696105957,0.5841598510742188
0,70,P:10.0|B:10.1|B:10.2|B:11.9|E:11.10,4.2242631912231445,-0.14977264404296875
0,71,P:10.0|B:9.7,3.010584831237793,1.0639057159423828
0,72,P:10.0|B:9.7|B:10.2|E:10.7|E:11.10,4.725261688232422,-0.6507711410522461
