layer,head,prompt_id,family_id,effect
14,6,qseq_00cb1c1a51bbd477,length_32_gap_8,-0.19845747947692871
14,6,qseq_fdb0d02eb17a3ad5,length_32_gap_8,-0.0703125
14,6,qseq_0fb480259789823d,length_32_gap_8,-0.156005859375
14,6,qseq_a2e6bd810032888a,length_32_gap_8,0.081706523895263602
14,6,qseq_5ce005c7be85e2b9,length_32_gap_8,-0.0162885189056396
14,6,qseq_9c1391f827e05414,length_32_gap_8,0.14392328262329099
14,6,qseq_b5c59e25abaa4090,length_32_gap_8,-0.043494224548339802
14,6,qseq_9aa233d4f18630ef,length_32_gap_8,0.48096227645874018
14,6,qseq_36581fc0e870746a,length_32_gap_8,0.087691307067870997
14,6,qseq_f1250fa423e1545e,length_32_gap_8,-0.23706197738647461
14,6,qseq_82e41c38cbe9078a,length_32_gap_8,-0.3281941413879394
14,6,qseq_d0b29249fa160784,length_32_gap_8,-0.25361442565917958
14,6,qseq_05f13a28471ab531,length_32_gap_8,-0.1096487045288085
14,6,qseq_f1b36b9fae18111b,length_32_gap_8,-0.13369178771972651
14,6,qseq_83e6b8683b1256b2,length_32_gap_8,0.56513881683349598
14,6,qseq_67044cfad9f21ecb,length_32_gap_8,0.40676069259643549
14,6,qseq_70ea623170fa926c,length_32_gap_8,0.52015876770019531
14,6,qseq_5b73de916863d399,length_32_gap_8,0.424591064453125
14,6,qseq_db732a487a875289,length_32_gap_8,0.1709270477294921
14,6,qseq_fd7563a3a3cec767,length_32_gap_8,0.74713230133056641
14,6,qseq_d6183e1df454b220,length_32_gap_8,0.95448780059814442
14,6,qseq_1355795077be0f50,length_32_gap_8,-0.10932540893554681
14,6,qseq_8b0497deeb8bcaef,length_32_gap_8,-0.043080329895019497
14,6,qseq_1fb3a17d5dccef31,length_32_gap_8,0.19132041931152341
14,6,qseq_a17078d2a6b4b999,length_32_gap_8,0.26371860504150391
14,6,qseq_9e89898b6bb8b44e,length_32_gap_8,0.0276641845703125
14,6,qseq_52f1b1128f7f8827,length_32_gap_8,0.28100776672363281
14,6,qseq_d4bff5080bd4daa2,length_32_gap_8,0.63373136520385742
14,6,qseq_bc537eed9a30ad79,length_32_gap_8,0.25939607620239252
14,6,qseq_4e294cfbb31deac6,length_32_gap_8,0.35704994201660151
14,6,qseq_a9426dae73873222,length_32_gap_8,0.1738827228546142
14,6,qseq_84c7ecb2a5f6fb74,length_32_gap_8,-0.1101748943328857
14,6,qseq_2232308bba387df3,length_32_gap_8,0.1099634170532226
14,6,qseq_c651ff600b8839df,length_32_gap_8,0.7041473388671875
14,6,qseq_bdd4291ac8449310,length_32_gap_8,0.16843843460082999
14,6,qseq_eee8756396fe6af2,length_32_gap_8,-0.013987541198730399
14,6,qseq_d27c4368416fdc93,length_32_gap_8,0.054627418518066399
14,6,qseq_1bc3d720581f5d2b,length_32_gap_8,-0.031009197235107401
14,6,qseq_d1b8220e931c7fd7,length_32_gap_8,0.44106197357177729
14,6,qseq_f3612a27015ba1ca,length_32_gap_8,1.458892822265625
14,6,qseq_983999860e3f68fa,length_32_gap_8,-0.67850065231323242
14,6,qseq_3cc6488c0780e435,length_32_gap_8,-0.49812555313110352
14,6,qseq_896e75303fd36619,length_32_gap_8,0.8739933967590332
14,6,qseq_bb44694bf88faab7,length_32_gap_8,-0.14059019088745109
14,6,qseq_676b73120ca2a061,length_32_gap_8,0.079073905944824205
14,6,qseq_03289c2c4536e699,length_32_gap_8,-0.079535722732543904
14,6,qseq_62632b972840b049,length_32_gap_8,-0.014234542846679601
14,6,qseq_f5d56d42459ee9bc,length_32_gap_8,-0.14522886276245109
14,6,qseq_32bc0ad658c10a1c,length_32_gap_8,0.045168876647949198
14,6,qseq_4da58de5cf93ae4a,length_32_gap_8,0.23855495452880851
14,6,qseq_5e6685ba720055c7,length_32_gap_8,-0.35658168792724598
14,6,qseq_2cfb75f54306c844,length_32_gap_8,0.68396282196044922
14,6,qseq_8345587890d3c14f,length_32_gap_8,-0.37826156616210932
14,6,qseq_46afeffe5dd0d89f,length_32_gap_8,-0.0240330696105957
14,6,qseq_b592f6abbb02f055,length_32_gap_8,0.34944057464599598
14,6,qseq_3d813b4e2f642750,length_32_gap_8,0.3470611572265625
14,6,qseq_c3ccf9967efbcd30,length_32_gap_8,0.40831279754638672
14,6,qseq_029bb1fad3e341b6,length_32_gap_8,0.22975873947143549
14,6,qseq_f0a1548c14cbff39,length_32_gap_8,-0.0175614356994628
14,6,qseq_ce67b9d37322c254,length_32_gap_8,0.0794262886047363
14,6,qseq_1d5def43cbaaf204,length_32_gap_8,2.1223304271697998
14,6,qseq_ef053ee48a778a2d,length_32_gap_8,-0.061923980712890597
14,6,qseq_aad6bf2a44151808,length_32_gap_8,0.40875339508056641
14,6,qseq_8efc9f11c7cf051c,length_32_gap_8,0.57971000671386708
14,6,qseq_8e716ecd02e0f73a,length_32_gap_16,0.0104923248291015
14,6,qseq_1595750272a9182b,length_32_gap_16,0.0625
14,6,qseq_bcb1e40d4e33a983,length_32_gap_16,0.19005393981933591
14,6,qseq_918b1e8c99f205fc,length_32_gap_16,0.2314448356628418
14,6,qseq_9bcb64e386770afd,length_32_gap_16,0.47050571441650391
14,6,qseq_f308f77da35e5150,length_32_gap_16,-0.010054588317871
14,6,qseq_3d452bb0ed05ae44,length_32_gap_16,-0.45448946952819819
14,6,qseq_5e121f37966766e3,length_32_gap_16,0.064364194869995103
14,6,qseq_7d05ec534f8e7970,length_32_gap_16,0.038628578186035101
14,6,qseq_1a641e032f933a96,length_32_gap_16,-0.2790987491607666
14,6,qseq_afb04c9fd38b4a73,length_32_gap_16,0.22822666168212891
14,6,qseq_0a7044add0a71938,length_32_gap_16,0.002786636352539
14,6,qseq_ad84a1c2bee1922b,length_32_gap_16,-0.0018882751464843
14,6,qseq_0449b2f15993e9e3,length_32_gap_16,0.87026023864746094
14,6,qseq_e239bfe29ce1339d,length_32_gap_16,0.48472976684570312
14,6,qseq_1c01b2c0b82e7c86,length_32_gap_16,0.43613862991333002
14,6,qseq_5a6f346a0090499e,length_32_gap_16,0.28208732604980458
14,6,qseq_23e29e93fa14dc22,length_32_gap_16,0.40430688858032221
14,6,qseq_aed28d8945a5fd51,length_32_gap_16,1.5113391876220703
14,6,qseq_64af7706440b2eb6,length_32_gap_16,0.73931503295898426
14,6,qseq_9b65b35ce09e05fc,length_32_gap_16,-0.1892552375793457
14,6,qseq_9966ff37eb81ef5e,length_32_gap_16,-0.06640625
14,6,qseq_2f710e8798ec9e71,length_32_gap_16,0.16261482238769531
