prompt_id,split,family_id,cluster_id,token_bank_id,input_ids,target_token_id,distractor_token_id_1,distractor_token_id_2,source_key_position,source_value_position,query_position,sequence_length,repeat_gap
qseq_c767dcde7de96c2f,train,length_32_gap_8,qcluster_calibration_0000,qbank_calibration_5ec8bc5b1acb,36919 76995 65323 146627 115638 57466 66006 43784 12584 59137 28563 74684 131488 138815 1841 121006 94376 16080 30097 66879 61621 109338 85853 40139 106189 79593 36392 87912 112944 80600 147285 40139,106189,80600,16080,23,24,31,32,8
qseq_897390a0d0f857dd,train,length_32_gap_8,qcluster_calibration_0001,qbank_calibration_5ec8bc5b1acb,139364 65730 120064 101819 105231 136835 98857 81442 27593 99816 17289 43792 130715 136482 30622 88339 128560 26691 75402 134810 52316 51228 2583 25883 113738 23670 45307 114481 127470 144614 34183 25883,113738,144614,134810,23,24,31,32,8
qseq_284b47a1871f558d,train,length_32_gap_8,qcluster_calibration_0002,qbank_calibration_5ec8bc5b1acb,132784 9283 79587 134762 12886 135301 44896 123653 9325 87271 125851 63702 99983 86143 26166 79527 17994 117233 137006 125570 133459 150701 19532 93198 112170 148808 113738 53899 59104 39244 86894 93198,112170,137006,86143,23,24,31,32,8
qseq_9564c335f860807a,train,length_32_gap_8,qcluster_calibration_0003,qbank_calibration_5ec8bc5b1acb,101403 38273 39126 93517 76490 60662 47970 73826 4482 96701 56502 67285 68478 53499 35052 142187 56277 133919 65838 142054 112783 85289 70615 146277 5673 70126 133303 117997 51957 77227 98795 146277,5673,51957,39126,23,24,31,32,8
qseq_b055e28768e5f9db,train,length_32_gap_8,qcluster_calibration_0004,qbank_calibration_5ec8bc5b1acb,39300 106357 126079 112019 108273 127802 104470 139029 148090 8286 47340 62971 126466 114424 43696 109178 7157 88935 54015 113743 146117 137010 86552 64211 3042 138514 51557 120854 39577 134400 8807 64211,3042,39577,114424,23,24,31,32,8
qseq_0ba4f1526c5f729b,train,length_32_gap_8,qcluster_calibration_0005,qbank_calibration_5ec8bc5b1acb,131045 126091 143385 149800 136435 19370 32267 149632 135408 24253 129195 17985 16153 63708 47625 103596 56447 144710 44421 93860 98679 140390 148038 137610 114385 11080 52126 81852 3814 134145 146691 137610,114385,17985,149632,23,24,31,32,8
qseq_bbd13a17725542ab,train,length_32_gap_8,qcluster_calibration_0006,qbank_calibration_5ec8bc5b1acb,98982 135950 116823 119855 47103 4186 106927 80312 102604 147453 131106 30798 3267 130826 137061 76696 39318 96703 4373 2435 7955 125382 64107 113519 49568 27019 144733 81358 96854 145994 45489 113519,49568,7955,39318,23,24,31,32,8
qseq_7a4e221d29fc3a2e,train,length_32_gap_8,qcluster_calibration_0007,qbank_calibration_5ec8bc5b1acb,28157 121848 64952 59843 102429 67332 30590 74465 16855 113917 146236 117305 139775 84526 63863 117315 2921 47626 75039 30453 47782 47402 133973 31955 8326 123665 23112 68478 31777 10476 100476 31955,8326,84526,64952,23,24,31,32,8
qseq_913078c95f609050,train,length_32_gap_8,qcluster_calibration_0008,qbank_calibration_5ec8bc5b1acb,139730 40491 45039 53445 61445 73149 48457 77410 26360 33688 146711 57466 126466 72622 93454 144442 10560 150422 50965 17815 146088 64142 64825 113944 16708 124355 31556 123438 109795 54806 16600 113944,16708,146088,61445,23,24,31,32,8
qseq_21ba8cdac201cc30,train,length_32_gap_8,qcluster_calibration_0009,qbank_calibration_5ec8bc5b1acb,62808 123635 67332 1206 78788 62251 103741 97097 136289 62260 11307 107850 136712 132942 84595 2993 134165 11007 11310 100375 61860 30297 142556 150725 62557 100570 19393 100476 64811 4433 115220 150725,62557,100375,132942,23,24,31,32,8
