prompt_id,split,template_id,structure,unordered_name_pair_id,clean_ld
phase6_prompt_118fcefb2a2e5ebe,train,p6_abba_kitchen,ABBA,phase6_train_pair_88758aab97f7c1e5,7.442171
phase6_prompt_17c60ad0913ecf66,train,p6_abba_kitchen,ABBA,phase6_train_pair_6c87daa1e3146c49,2.4097815
phase6_prompt_3a56050f37ba6ac3,train,p6_abba_kitchen,ABBA,phase6_train_pair_4d051c4f59200c16,5.7041206
phase6_prompt_3deb763b5ba5f9c0,train,p6_abba_kitchen,ABBA,phase6_train_pair_f48858a77f7215ae,4.048047
phase6_prompt_45302a43dc3c1c12,train,p6_abba_kitchen,ABBA,phase6_train_pair_0cb59f76f0d7aaf0,4.1210966
phase6_prompt_4c74973aa2b9d4d6,train,p6_abba_kitchen,ABBA,phase6_train_pair_54a64baa504237ea,5.3924503
phase6_prompt_5033fed1a363dafb,train,p6_abba_kitchen,ABBA,phase6_train_pair_755cccd5a8db4722,5.0533705
phase6_prompt_563ee47a704bff96,train,p6_abba_kitchen,ABBA,phase6_train_pair_c8960cbf7a7a9bfb,3.796157
phase6_prompt_601411b48153ef78,train,p6_abba_kitchen,ABBA,phase6_train_pair_fc3bf4207af0736c,2.928094
phase6_prompt_61b188736d55c0a2,train,p6_abba_kitchen,ABBA,phase6_train_pair_7e0dcd26f289b5b7,3.4489307
phase6_prompt_7249472237302527,train,p6_abba_kitchen,ABBA,phase6_train_pair_3f9285cfd2e59bd7,3.1450367
phase6_prompt_773556ef0d7e084e,train,p6_abba_kitchen,ABBA,phase6_train_pair_9a40d151f4337457,5.097728
phase6_prompt_77d6d7764e15f047,train,p6_abba_kitchen,ABBA,phase6_train_pair_82320a452dff8e52,3.9045591
phase6_prompt_7894d13e4c1136bc,train,p6_abba_kitchen,ABBA,phase6_train_pair_97c286fb49b43435,6.2555065
phase6_prompt_8b6c8b2f697379ea,train,p6_abba_kitchen,ABBA,phase6_train_pair_dc7e77e10bb40985,6.294282
phase6_prompt_8f624242fe51f26e,train,p6_abba_kitchen,ABBA,phase6_train_pair_b73da66893835f8a,3.2801332
phase6_prompt_b33213f1041d418a,train,p6_abba_kitchen,ABBA,phase6_train_pair_a16bca94da39e9e8,3.0122137
phase6_prompt_b618cbe355ebfcb0,train,p6_abba_kitchen,ABBA,phase6_train_pair_8f55b7dcb2b20535,3.2084684
phase6_prompt_bf46f3fa84e6bfad,train,p6_abba_kitchen,ABBA,phase6_train_pair_dbf76839587b404e,3.9858503
phase6_prompt_c1df17ab787cf29b,train,p6_abba_kitchen,ABBA,phase6_train_pair_ca5e3f8ae7aedb56,1.8274336
phase6_prompt_c5942bf340e0758a,train,p6_abba_kitchen,ABBA,phase6_train_pair_af25e364930c827a,6.0922403
phase6_prompt_c9230e304d03e106,train,p6_abba_kitchen,ABBA,phase6_train_pair_d7e036ae37475b9c,2.7577991
phase6_prompt_effe4ccd409859c5,train,p6_abba_kitchen,ABBA,phase6_train_pair_afd33de33187928a,2.9267406
phase6_prompt_f651e58fd627bafa,train,p6_abba_kitchen,ABBA,phase6_train_pair_d36b075770281557,3.3507166
phase6_prompt_00e5f2ad9602e085,train,p6_abba_library,ABBA,phase6_train_pair_e68c610dc65be0d7,0.8003607
phase6_prompt_09fd1c3b1b1ca537,train,p6_abba_library,ABBA,phase6_train_pair_3c70d586e38a9573,4.689925
phase6_prompt_0e216e91e9b07a35,train,p6_abba_library,ABBA,phase6_train_pair_f836ba8e1f19df21,1.5093517
phase6_prompt_16415a1b6b503fe7,train,p6_abba_library,ABBA,phase6_train_pair_552e82c889b800b8,0.75766754
phase6_prompt_1e8e8d8c9e1a8fec,train,p6_abba_library,ABBA,phase6_train_pair_118c6e41e82d5651,0.34902573
phase6_prompt_1eb6870fcd632567,train,p6_abba_library,ABBA,phase6_train_pair_9eb4d171e3466b7b,1.0000877
phase6_prompt_2901e7c3844a0c9c,train,p6_abba_library,ABBA,phase6_train_pair_4d051c4f59200c16,1.8218727
phase6_prompt_34e367e2e7eb41f1,train,p6_abba_library,ABBA,phase6_train_pair_a800e9aa21775598,2.531622
phase6_prompt_37a3ed78dc4a0955,train,p6_abba_library,ABBA,phase6_train_pair_97c286fb49b43435,3.2415075
phase6_prompt_37dcbc2e67a8e888,train,p6_abba_library,ABBA,phase6_train_pair_d6c955d93bb40ee2,0.94711304
phase6_prompt_4122e93a68a0f634,train,p6_abba_library,ABBA,phase6_train_pair_b73da66893835f8a,1.5732079
phase6_prompt_536d204664676570,train,p6_abba_library,ABBA,phase6_train_pair_42fd8c333a8acd3c,-0.5508995
phase6_prompt_58337f80aca122ca,train,p6_abba_library,ABBA,phase6_train_pair_bc64cbdace4a5b56,4.6197586
phase6_prompt_5b9b23aa8b381b6a,train,p6_abba_library,ABBA,phase6_train_pair_49cc19519e786819,1.1673899
phase6_prompt_5e819268144586b9,train,p6_abba_library,ABBA,phase6_train_pair_6d42137a085e67b6,0.2544918
phase6_prompt_6f061da02fba333b,train,p6_abba_library,ABBA,phase6_train_pair_c8960cbf7a7a9bfb,2.8045988
phase6_prompt_874e8bc6be7b9b9d,train,p6_abba_library,ABBA,phase6_train_pair_0cb59f76f0d7aaf0,2.3108702
phase6_prompt_96c593a98a5ffc40,train,p6_abba_library,ABBA,phase6_train_pair_c446a5d184eda9a4,4.3886557
phase6_prompt_a621ffa9e922e54f,train,p6_abba_library,ABBA,phase6_train_pair_457ad5a058bb4509,2.2099962
phase6_prompt_aa53ce4509c7ac62,train,p6_abba_library,ABBA,phase6_train_pair_aa688ea407a76e8d,2.7948084
phase6_prompt_ba9da8be8989871c,train,p6_abba_library,ABBA,phase6_train_pair_4aec8ec1c10014a3,2.92764
phase6_prompt_c1a67133f791c99a,train,p6_abba_library,ABBA,phase6_train_pair_5cac6b1d3117caa9,2.0801735
phase6_prompt_e8009cacd33acce8,train,p6_abba_library,ABBA,phase6_train_pair_755cccd5a8db4722,2.9676533
phase6_prompt_f272907336809603,train,p6_abba_library,ABBA,phase6_train_pair_dc7e77e10bb40985,4.101636
phase6_prompt_06cb9c0a98f0e226,train,p6_abba_museum,ABBA,phase6_train_pair_e0584833cfc1ccaf,1.578062
phase6_prompt_1028470b1ff5ce7a,train,p6_abba_museum,ABBA,phase6_train_pair_c47dd8dcefdd869a,2.4068518
phase6_prompt_3c2faa44d6cfff2e,train,p6_abba_museum,ABBA,phase6_train_pair_4d22cc70c927c3b4,1.8126307
phase6_prompt_3d77996bdf222b21,train,p6_abba_museum,ABBA,phase6_train_pair_755cccd5a8db4722,2.803133
phase6_prompt_43e4262da84af974,train,p6_abba_museum,ABBA,phase6_train_pair_82320a452dff8e52,1.0378513
phase6_prompt_45495e8da6173cdb,train,p6_abba_museum,ABBA,phase6_train_pair_2abc5255df6dd75b,0.10516167
phase6_prompt_522585a9d22a1d2a,train,p6_abba_museum,ABBA,phase6_train_pair_a83f57603b76b131,1.4267406
phase6_prompt_5b08acf4697c9b96,train,p6_abba_museum,ABBA,phase6_train_pair_39f0f4b7e3539292,-0.50298214
phase6_prompt_6f2a2adbec6e149d,train,p6_abba_museum,ABBA,phase6_train_pair_3f9285cfd2e59bd7,-0.23423672
phase6_prompt_735a1e6545b7fa52,train,p6_abba_museum,ABBA,phase6_train_pair_118c6e41e82d5651,-0.3999548
phase6_prompt_8b4804b3c0187e68,train,p6_abba_museum,ABBA,phase6_train_pair_e68c610dc65be0d7,-0.24770832
phase6_prompt_8bc2e9e6e931aee2,train,p6_abba_museum,ABBA,phase6_train_pair_c8960cbf7a7a9bfb,-0.13706493
phase6_prompt_8ca7c22aced4029b,train,p6_abba_museum,ABBA,phase6_train_pair_fc3bf4207af0736c,-0.62800217
phase6_prompt_8e8d42d6c17b719f,train,p6_abba_museum,ABBA,phase6_train_pair_6ff6566ef8e1d8a4,-0.9887562
phase6_prompt_9091979dbc0d8828,train,p6_abba_museum,ABBA,phase6_train_pair_a08a15b1abb0b022,2.4865913
phase6_prompt_92121e85c5acd60d,train,p6_abba_museum,ABBA,phase6_train_pair_016009d861756238,-1.0409431
phase6_prompt_aa6688acc70cc378,train,p6_abba_museum,ABBA,phase6_train_pair_f0bb54171b45eefa,3.6156235
phase6_prompt_b203ef3d1b937c66,train,p6_abba_museum,ABBA,phase6_train_pair_49cc19519e786819,-0.15920639
phase6_prompt_b569bc7accd27025,train,p6_abba_museum,ABBA,phase6_train_pair_e90e5716bb3a3bf0,2.489543
phase6_prompt_bfac0d0aeefec9f6,train,p6_abba_museum,ABBA,phase6_train_pair_44b4519d73b4239b,3.6765833
phase6_prompt_c836f3e21e4d1cbb,train,p6_abba_museum,ABBA,phase6_train_pair_0df12497c7da3f0e,1.7971935
phase6_prompt_cc611fe035a2265d,train,p6_abba_museum,ABBA,phase6_train_pair_e3fee7a7a7b51ba4,-2.017231
phase6_prompt_ee98b201aeed86ea,train,p6_abba_museum,ABBA,phase6_train_pair_393ae6d05aad0e9c,3.2725258
phase6_prompt_f652fa9751e92634,train,p6_abba_museum,ABBA,phase6_train_pair_a800e9aa21775598,-1.2264547
phase6_prompt_00c1e116b61be1bf,train,p6_abba_train,ABBA,phase6_train_pair_36d47e27c6c49e69,1.7931681
phase6_prompt_0831da51a8693ddd,train,p6_abba_train,ABBA,phase6_train_pair_a16bca94da39e9e8,1.4599533
phase6_prompt_0e65afa124d0dbc9,train,p6_abba_train,ABBA,phase6_train_pair_b498e54e1537a07c,0.98035336
phase6_prompt_1d5cf857015e836a,train,p6_abba_train,ABBA,phase6_train_pair_a83f57603b76b131,2.3843498
phase6_prompt_286a30c26f6438f4,train,p6_abba_train,ABBA,phase6_train_pair_7e0dcd26f289b5b7,0.34977722
phase6_prompt_348df1f3293a406a,train,p6_abba_train,ABBA,phase6_train_pair_8d853d0ee2b4b7fb,2.5589418
phase6_prompt_49db9f3c2ccfa92b,train,p6_abba_train,ABBA,phase6_train_pair_0cb59f76f0d7aaf0,1.7560911
phase6_prompt_4c89d522943651eb,train,p6_abba_train,ABBA,phase6_train_pair_3c70d586e38a9573,1.4553404
phase6_prompt_4ca4eb9a0141072d,train,p6_abba_train,ABBA,phase6_train_pair_dc938a85469074d6,2.006422
phase6_prompt_5de8c61aeccceebe,train,p6_abba_train,ABBA,phase6_train_pair_0df12497c7da3f0e,0.8432274
phase6_prompt_609d2cf415baff01,train,p6_abba_train,ABBA,phase6_train_pair_7d87b776c508bd6a,1.6197987
phase6_prompt_78442ca83f582367,train,p6_abba_train,ABBA,phase6_train_pair_39f0f4b7e3539292,1.3365641
phase6_prompt_79bfa33d39762901,train,p6_abba_train,ABBA,phase6_train_pair_aa688ea407a76e8d,1.643693
phase6_prompt_8279c233a246171f,train,p6_abba_train,ABBA,phase6_train_pair_c47dd8dcefdd869a,3.0041237
phase6_prompt_92128a677991e07d,train,p6_abba_train,ABBA,phase6_train_pair_c437d8d87fae9e0b,1.5857573
phase6_prompt_9589af6161a7136f,train,p6_abba_train,ABBA,phase6_train_pair_016009d861756238,0.47873497
phase6_prompt_98cff9323842ee4c,train,p6_abba_train,ABBA,phase6_train_pair_9a40d151f4337457,2.8073015
phase6_prompt_a06676d578a60c63,train,p6_abba_train,ABBA,phase6_train_pair_a7aec391f2b0ac18,1.566824
phase6_prompt_a95050a4040dd770,train,p6_abba_train,ABBA,phase6_train_pair_49d530d498c59bcc,1.8387709
phase6_prompt_d6b2b70750fbba4a,train,p6_abba_train,ABBA,phase6_train_pair_e90e5716bb3a3bf0,2.338211
phase6_prompt_e1f2122ca34f2431,train,p6_abba_train,ABBA,phase6_train_pair_bc64cbdace4a5b56,2.7057972
phase6_prompt_e7a807a7cb731e66,train,p6_abba_train,ABBA,phase6_train_pair_b649ebf1fe13761c,0.72149944
phase6_prompt_eb375a11fb9308d1,train,p6_abba_train,ABBA,phase6_train_pair_49cc19519e786819,1.325325
phase6_prompt_f6700de4630778c2,train,p6_abba_train,ABBA,phase6_train_pair_6ff6566ef8e1d8a4,1.9966516
phase6_prompt_154acf0e328e7b16,train,p6_baba_kitchen,BABA,phase6_train_pair_787252b742c57f8b,2.0845404
phase6_prompt_17ac58c8c9afee0e,train,p6_baba_kitchen,BABA,phase6_train_pair_c8800df3e0f528dd,3.975543
phase6_prompt_1acdc56e81e8c3e7,train,p6_baba_kitchen,BABA,phase6_train_pair_0cb59f76f0d7aaf0,1.7403955
phase6_prompt_233a0d9c8136748e,train,p6_baba_kitchen,BABA,phase6_train_pair_f0bb54171b45eefa,4.7794666
phase6_prompt_2f1271de4c2f7d44,train,p6_baba_kitchen,BABA,phase6_train_pair_6ab504da4d97fbae,1.6180649
phase6_prompt_35bdb5154d5131bc,train,p6_baba_kitchen,BABA,phase6_train_pair_7fb315cf333c1f6a,4.322837
phase6_prompt_45aa79e52ec63535,train,p6_baba_kitchen,BABA,phase6_train_pair_54a64baa504237ea,3.8921156
phase6_prompt_4deb0e7e976291ad,train,p6_baba_kitchen,BABA,phase6_train_pair_dd643b0101ba35e4,3.6748114
phase6_prompt_4f630d975154453c,train,p6_baba_kitchen,BABA,phase6_train_pair_4d22cc70c927c3b4,0.9304571
phase6_prompt_6ee2a9ecfa76eccd,train,p6_baba_kitchen,BABA,phase6_train_pair_dc938a85469074d6,1.827198
phase6_prompt_801fcb5e06b96de4,train,p6_baba_kitchen,BABA,phase6_train_pair_a9df0ce7a731111a,2.307685
phase6_prompt_87cb139fd8b68608,train,p6_baba_kitchen,BABA,phase6_train_pair_7d87b776c508bd6a,1.4335938
phase6_prompt_8fc30f6efd826023,train,p6_baba_kitchen,BABA,phase6_train_pair_d272318de37db06b,4.21222
phase6_prompt_90d1edfef2d52bca,train,p6_baba_kitchen,BABA,phase6_train_pair_fcf79e928c6bd89e,3.5183754
phase6_prompt_92cb976855fcf81c,train,p6_baba_kitchen,BABA,phase6_train_pair_aa688ea407a76e8d,3.2478218
phase6_prompt_962206b48f61e518,train,p6_baba_kitchen,BABA,phase6_train_pair_49d530d498c59bcc,2.1695614
phase6_prompt_9f1dd1d5e012577a,train,p6_baba_kitchen,BABA,phase6_train_pair_254cc9622d8a7a0e,2.710802
phase6_prompt_b37f480c116175f6,train,p6_baba_kitchen,BABA,phase6_train_pair_6142a7d0bd822d6c,2.2685986
phase6_prompt_bd976645ba0dfe1f,train,p6_baba_kitchen,BABA,phase6_train_pair_7b9ec9bc690b226e,1.8438044
phase6_prompt_c020f0658ed19bcc,train,p6_baba_kitchen,BABA,phase6_train_pair_ba75435af5018689,4.498472
phase6_prompt_cf9910982daf1969,train,p6_baba_kitchen,BABA,phase6_train_pair_71aeb7096f8da519,1.3591309
phase6_prompt_d7de1e5b66f24783,train,p6_baba_kitchen,BABA,phase6_train_pair_c47dd8dcefdd869a,3.0978384
phase6_prompt_da65f8d1aa3921c3,train,p6_baba_kitchen,BABA,phase6_train_pair_b7508a4d5aa95fd2,1.720501
phase6_prompt_e8ee9245242fce88,train,p6_baba_kitchen,BABA,phase6_train_pair_668cdbc797cd301c,-0.20509529
phase6_prompt_057a89e9ad94061e,train,p6_baba_library,BABA,phase6_train_pair_fcf79e928c6bd89e,3.215126
phase6_prompt_0d142c857a48cf2d,train,p6_baba_library,BABA,phase6_train_pair_6ab504da4d97fbae,1.4391232
phase6_prompt_14a4d7963f1d3155,train,p6_baba_library,BABA,phase6_train_pair_f8c9fed3767f7c7a,2.177024
phase6_prompt_21ec9bdf7454c626,train,p6_baba_library,BABA,phase6_train_pair_b649ebf1fe13761c,2.591773
phase6_prompt_28902d186dac1ad7,train,p6_baba_library,BABA,phase6_train_pair_c8960cbf7a7a9bfb,3.6673212
phase6_prompt_3c459098e15dc710,train,p6_baba_library,BABA,phase6_train_pair_c47dd8dcefdd869a,3.0812845
phase6_prompt_405c37cb5d7654df,train,p6_baba_library,BABA,phase6_train_pair_a800e9aa21775598,1.5385218
phase6_prompt_4bc3e3e74d777a7b,train,p6_baba_library,BABA,phase6_train_pair_b2dc1f4599be570b,4.6728563
phase6_prompt_67634785f8b66b33,train,p6_baba_library,BABA,phase6_train_pair_c437d8d87fae9e0b,2.883834
phase6_prompt_6e40b8163ad5f2ca,train,p6_baba_library,BABA,phase6_train_pair_a83f57603b76b131,3.1091394
phase6_prompt_7b5b80e3a43a8d16,train,p6_baba_library,BABA,phase6_train_pair_6142a7d0bd822d6c,2.6814651
phase6_prompt_907e8f684e085101,train,p6_baba_library,BABA,phase6_train_pair_fefc806becf61c48,4.5982027
phase6_prompt_99c78a9165c24ee6,train,p6_baba_library,BABA,phase6_train_pair_d98c50cc1a3a4e65,2.5572023
phase6_prompt_a1e6e33950b3caf7,train,p6_baba_library,BABA,phase6_train_pair_6462d9ee6a991652,2.3291073
phase6_prompt_a76a71c679a2468c,train,p6_baba_library,BABA,phase6_train_pair_ba76b1e3a7610dfc,3.8172293
phase6_prompt_b02b7cdabbc4f6c2,train,p6_baba_library,BABA,phase6_train_pair_6ff6566ef8e1d8a4,1.8795242
phase6_prompt_bdb57e4e1cab4c99,train,p6_baba_library,BABA,phase6_train_pair_d272318de37db06b,4.2395105
phase6_prompt_cd628e5c8a0c74eb,train,p6_baba_library,BABA,phase6_train_pair_55001d0329c83e42,2.035616
phase6_prompt_cdeacff5172e3164,train,p6_baba_library,BABA,phase6_train_pair_588d00ebf4c1a744,2.526022
phase6_prompt_e179e16660ec6e28,train,p6_baba_library,BABA,phase6_train_pair_6feb1a9237d4ee37,0.5334015
phase6_prompt_ecc3604438f55af2,train,p6_baba_library,BABA,phase6_train_pair_4aec8ec1c10014a3,2.1770353
phase6_prompt_ef59ea4f93cc4f99,train,p6_baba_library,BABA,phase6_train_pair_e68c610dc65be0d7,0.5986252
phase6_prompt_f054ece72dc55385,train,p6_baba_library,BABA,phase6_train_pair_4abbec96f3bf763b,2.8996105
phase6_prompt_f60f7760561ebca8,train,p6_baba_library,BABA,phase6_train_pair_71aeb7096f8da519,1.8718967
phase6_prompt_0110059e7c091417,train,p6_baba_museum,BABA,phase6_train_pair_39f0f4b7e3539292,-0.5252733
phase6_prompt_10d297dde11a225d,train,p6_baba_museum,BABA,phase6_train_pair_e3fee7a7a7b51ba4,-2.8783998
phase6_prompt_11d8e60e91cfd5b3,train,p6_baba_museum,BABA,phase6_train_pair_a83f57603b76b131,0.11555958
phase6_prompt_1c508c8b8f921575,train,p6_baba_museum,BABA,phase6_train_pair_3c70d586e38a9573,1.8886518
phase6_prompt_2df48dfd5d946049,train,p6_baba_museum,BABA,phase6_train_pair_b6ee30befcf2d838,2.5533285
phase6_prompt_47f3c11160675a75,train,p6_baba_museum,BABA,phase6_train_pair_ba76b1e3a7610dfc,-0.099803925
phase6_prompt_4b758638a17af75a,train,p6_baba_museum,BABA,phase6_train_pair_45f29d0bf3300fda,-0.73093414
phase6_prompt_4c7e6735d612c2eb,train,p6_baba_museum,BABA,phase6_train_pair_b498e54e1537a07c,-1.5242538
phase6_prompt_541748518113d39a,train,p6_baba_museum,BABA,phase6_train_pair_a7aec391f2b0ac18,-1.5386629
phase6_prompt_614a7e3ed60e66bb,train,p6_baba_museum,BABA,phase6_train_pair_c437d8d87fae9e0b,0.56584835
phase6_prompt_79793e90d216aac0,train,p6_baba_museum,BABA,phase6_train_pair_c8800df3e0f528dd,-0.13566208
phase6_prompt_89b9d7bb7ba7c847,train,p6_baba_museum,BABA,phase6_train_pair_654a5be32aa253cc,0.30719852
phase6_prompt_90b145bd5780cfb4,train,p6_baba_museum,BABA,phase6_train_pair_d6c955d93bb40ee2,-0.74421215
phase6_prompt_94a16b93c345bf05,train,p6_baba_museum,BABA,phase6_train_pair_e2c0fbd4d4c66748,0.16418362
phase6_prompt_969d85a9cbc7c445,train,p6_baba_museum,BABA,phase6_train_pair_b73da66893835f8a,-0.9761505
