target,selector,ridge,fold,mae
0.86343068687710911,transformed_mean,9.9999999999999995e-07,0,0.14219719869860536
0.86343068687710911,transformed_mean,9.9999999999999995e-07,1,0.14886226135727926
0.86343068687710911,transformed_mean,9.9999999999999995e-07,2,0.13387932731019256
0.86343068687710911,transformed_mean,9.9999999999999995e-07,3,0.16779021450024015
0.86343068687710911,transformed_mean,9.9999999999999995e-07,4,0.14370029072593024
0.86343068687710911,transformed_mean,9.9999999999999995e-07,-1,0.1472858585184495
0.86343068687710911,transformed_mean,0.0001,0,0.14219402335869444
0.86343068687710911,transformed_mean,0.0001,1,0.14885990563409543
0.86343068687710911,transformed_mean,0.0001,2,0.13387338716941877
0.86343068687710911,transformed_mean,0.0001,3,0.16778762453664656
0.86343068687710911,transformed_mean,0.0001,4,0.1436985776198203
0.86343068687710911,transformed_mean,0.0001,-1,0.14728270366373511
0.86343068687710911,transformed_mean,0.01,0,0.14187890849455936
0.86343068687710911,transformed_mean,0.01,1,0.14862550615613457
0.86343068687710911,transformed_mean,0.01,2,0.13328280114039567
0.86343068687710911,transformed_mean,0.01,3,0.16753086073647633
0.86343068687710911,transformed_mean,0.01,4,0.14352929474739662
0.86343068687710911,transformed_mean,0.01,-1,0.14696947425499249
0.86343068687710911,transformed_mean,0.10000000000000001,0,0.13921645178527095
0.86343068687710911,transformed_mean,0.10000000000000001,1,0.14659618269817043
0.86343068687710911,transformed_mean,0.10000000000000001,2,0.12864005725122529
0.86343068687710911,transformed_mean,0.10000000000000001,3,0.16538367601516243
0.86343068687710911,transformed_mean,0.10000000000000001,4,0.14217454429543375
0.86343068687710911,transformed_mean,0.10000000000000001,-1,0.14440218240905259
0.86343068687710911,transformed_mean,1,0,0.13555336209194238
0.86343068687710911,transformed_mean,1,1,0.13752494291329206
0.86343068687710911,transformed_mean,1,2,0.11968450606728233
0.86343068687710911,transformed_mean,1,3,0.17063685859789782
0.86343068687710911,transformed_mean,1,4,0.15697186289775539
