measurement_budget,model,ridge,fold,mae
16,no_effect,0,-1,0.66888202232075855
16,additive,9.9999999999999995e-07,0,0.18027931770287323
16,additive,9.9999999999999995e-07,1,0.052951767599475875
16,additive,9.9999999999999995e-07,2,0.23447179591193876
16,additive,9.9999999999999995e-07,3,0.078271235817185911
16,additive,9.9999999999999995e-07,4,0.15094016963274376
16,additive,9.9999999999999995e-07,-1,0.1393828573328435
16,additive,0.0001,0,0.18019891670365967
16,additive,0.0001,1,0.052935344944019032
16,additive,0.0001,2,0.23446862713218061
16,additive,0.0001,3,0.078183248697902316
16,additive,0.0001,4,0.15098521361472098
16,additive,0.0001,-1,0.1393542702184965
16,additive,0.01,0,0.17238016693488867
16,additive,0.01,1,0.051254924244787337
16,additive,0.01,2,0.2341526604398354
16,additive,0.01,3,0.069670161456814483
16,additive,0.01,4,0.15541623411353384
16,additive,0.01,-1,0.13657482943797197
16,additive,0.10000000000000001,0,0.11820430880368513
16,additive,0.10000000000000001,1,0.034194080630990553
16,additive,0.10000000000000001,2,0.23136078538585836
16,additive,0.10000000000000001,3,0.014390298745128685
16,additive,0.10000000000000001,4,0.19025592172662809
16,additive,0.10000000000000001,-1,0.11768107905845815
16,additive,1,0,0.11179414336913301
16,additive,1,1,0.090455067555131427
16,additive,1,2,0.20969953791548793
16,additive,1,3,0.18936345748425945
16,additive,1,4,0.39482589323607692
16,additive,1,-1,0.19922761991201776
16,additive,10,0,0.29091895294461168
16,additive,10,1,0.29671148048698642
16,additive,10,2,0.24204717449634308
16,additive,10,3,0.43883273207709683
16,additive,10,4,0.64368738755707788
16,additive,10,-1,0.38243954551242315
16,quadratic,9.9999999999999995e-07,0,0.12745166258722074
16,quadratic,9.9999999999999995e-07,1,0.13700642272245481
16,quadratic,9.9999999999999995e-07,2,0.028583926220649553
16,quadratic,9.9999999999999995e-07,3,0.16574096720485712
16,quadratic,9.9999999999999995e-07,4,0.056488577646019833
16,quadratic,9.9999999999999995e-07,-1,0.1030543112762404
16,quadratic,0.0001,0,0.12735950519893219
16,quadratic,0.0001,1,0.13702464768730213
16,quadratic,0.0001,2,0.028514560778210879
16,quadratic,0.0001,3,0.16610551472239246
16,quadratic,0.0001,4,0.056437259594398832
16,quadratic,0.0001,-1,0.1030882975962473
16,quadratic,0.01,0,0.11897945737863899
16,quadratic,0.01,1,0.13881127672355342
16,quadratic,0.01,2,0.022117874402815416
16,quadratic,0.01,3,0.19767368131252716
16,quadratic,0.01,4,0.051850080978851264
16,quadratic,0.01,-1,0.10588647415927725
16,quadratic,0.10000000000000001,0,0.076049749151048215
16,quadratic,0.10000000000000001,1,0.15265932685639272
16,quadratic,0.10000000000000001,2,0.044452932450273264
16,quadratic,0.10000000000000001,3,0.31784192711308723
16,quadratic,0.10000000000000001,4,0.077678616383752397
16,quadratic,0.10000000000000001,-1,0.13373651039091078
16,quadratic,1,0,0.074858031227058114
16,quadratic,1,1,0.22901126571486982
16,quadratic,1,2,0.16185619231862158
16,quadratic,1,3,0.51156653562146737
16,quadratic,1,4,0.19934777622023281
16,quadratic,1,-1,0.23532796022044994
16,quadratic,10,0,0.2264332071677311
16,quadratic,10,1,0.40201024854274392
