selector,target,pool_id,selected_mask_id,selected_mask_bits,selected_is_noop,predicted_target_loss
direct_risk,0.86343068687710911,qpool_04a0d16a2ce1d6ae,qmask_04e99e00df510b89,10100010,False,0.65347417885666104
direct_risk,0.86343068687710911,qpool_094d56ddcd5f1fe4,qmask_168ecc77c6d9bec7,00100011,False,0.73785436528995729
direct_risk,0.86343068687710911,qpool_0b1792f4952557ee,qmask_bde177d3edcb1ae0,00110110,False,0.71450799834783807
direct_risk,0.86343068687710911,qpool_0ffd30d33ad8dd0f,qmask_b996be105c0f3dda,10100110,False,0.71167593514599092
direct_risk,0.86343068687710911,qpool_169a31b6710ef111,qmask_55cbf5fefb67a9c9,10010100,False,0.61665767517847336
direct_risk,0.86343068687710911,qpool_3bc403a0734a65bf,qmask_330533bb35dfe50c,10001011,False,0.74521524534002326
direct_risk,0.86343068687710911,qpool_4da0243bdf72a6cd,qmask_b52a639547d6a0e9,10000111,False,0.58972865407392672
direct_risk,0.86343068687710911,qpool_59fb93108c625f9c,qmask_af3070b33fa6727a,01000111,False,0.62085268755911915
direct_risk,0.86343068687710911,qpool_6c9ad557921d1966,qmask_5febbac13cd7abee,00010110,False,0.5915070687558498
direct_risk,0.86343068687710911,qpool_70bc91001fd21361,qmask_83013e5a4235b8ec,00010111,False,0.59557996355532461
direct_risk,0.86343068687710911,qpool_7d29cbb2adc90870,qmask_fac74048988e3cbb,01010001,False,0.64887000069607748
direct_risk,0.86343068687710911,qpool_a6ffe2b653ce5a24,qmask_d350d740bff94567,00010011,False,0.6329704248557283
direct_risk,0.86343068687710911,qpool_bace2709926cfaee,qmask_0cd7ddfc8c2186ca,00110100,False,0.69185371272940099
direct_risk,0.86343068687710911,qpool_c519138426e50658,qmask_ecc5bb9003043fc6,10000101,False,0.53758195727276736
direct_risk,0.86343068687710911,qpool_e3bc02cdca185ab2,qmask_30f1d2fade2e7178,01001010,False,0.71618520421288867
direct_risk,0.86343068687710911,qpool_ff721276bd560c43,qmask_9ef84ec72720c5bb,00100111,False,0.68934835793241622
exact_noop,0.86343068687710911,qpool_04a0d16a2ce1d6ae,analytic_noop,00000000,True,0.86343068687710911
exact_noop,0.86343068687710911,qpool_094d56ddcd5f1fe4,analytic_noop,00000000,True,0.86343068687710911
exact_noop,0.86343068687710911,qpool_0b1792f4952557ee,analytic_noop,00000000,True,0.86343068687710911
exact_noop,0.86343068687710911,qpool_0ffd30d33ad8dd0f,analytic_noop,00000000,True,0.86343068687710911
exact_noop,0.86343068687710911,qpool_169a31b6710ef111,analytic_noop,00000000,True,0.86343068687710911
exact_noop,0.86343068687710911,qpool_3bc403a0734a65bf,analytic_noop,00000000,True,0.86343068687710911
exact_noop,0.86343068687710911,qpool_4da0243bdf72a6cd,analytic_noop,00000000,True,0.86343068687710911
exact_noop,0.86343068687710911,qpool_59fb93108c625f9c,analytic_noop,00000000,True,0.86343068687710911
