selector,target,ridge,term,coefficient
natural_mean,0.86343068687710911,0.01,intercept,-0.013411630011806626
natural_mean,0.86343068687710911,0.01,head_0,0.81297662743193555
natural_mean,0.86343068687710911,0.01,head_1,0.73340406522714885
natural_mean,0.86343068687710911,0.01,head_2,0.37413211399916946
natural_mean,0.86343068687710911,0.01,head_3,0.26546453325811858
natural_mean,0.86343068687710911,0.01,head_4,0.2435224560138165
natural_mean,0.86343068687710911,0.01,head_5,0.14670478607653292
natural_mean,0.86343068687710911,0.01,head_6,0.086467748390033947
natural_mean,0.86343068687710911,0.01,head_7,0.080583216424697374
natural_mean,0.86343068687710911,0.01,head_0:head_1,0.42918336741974078
natural_mean,0.86343068687710911,0.01,head_0:head_2,-0.038874492535613807
natural_mean,0.86343068687710911,0.01,head_0:head_3,0.029509857524820989
natural_mean,0.86343068687710911,0.01,head_0:head_4,0.040721225394585718
natural_mean,0.86343068687710911,0.01,head_0:head_5,0.023133752546730599
natural_mean,0.86343068687710911,0.01,head_0:head_6,0.0085023519554349326
natural_mean,0.86343068687710911,0.01,head_0:head_7,0.03411896654893605
natural_mean,0.86343068687710911,0.01,head_1:head_2,-0.020863287261540745
natural_mean,0.86343068687710911,0.01,head_1:head_3,0.069324944084584436
natural_mean,0.86343068687710911,0.01,head_1:head_4,0.09252207230316728
natural_mean,0.86343068687710911,0.01,head_1:head_5,0.032742466773554801
natural_mean,0.86343068687710911,0.01,head_1:head_6,0.013253761872298502
natural_mean,0.86343068687710911,0.01,head_1:head_7,0.040148389502840914
natural_mean,0.86343068687710911,0.01,head_2:head_3,-0.011968583823754372
natural_mean,0.86343068687710911,0.01,head_2:head_4,-0.014238864684348993
natural_mean,0.86343068687710911,0.01,head_2:head_5,-0.0029142914538071462
natural_mean,0.86343068687710911,0.01,head_2:head_6,-0.0017828934633086053
natural_mean,0.86343068687710911,0.01,head_2:head_7,0.0092529040155573845
natural_mean,0.86343068687710911,0.01,head_3:head_4,0.11299568267255752
natural_mean,0.86343068687710911,0.01,head_3:head_5,-0.0014042163209869187
natural_mean,0.86343068687710911,0.01,head_3:head_6,0.030038382832357064
natural_mean,0.86343068687710911,0.01,head_3:head_7,-0.019770654427642177
natural_mean,0.86343068687710911,0.01,head_4:head_5,0.0054287845978676415
natural_mean,0.86343068687710911,0.01,head_4:head_6,0.016419541767084777
natural_mean,0.86343068687710911,0.01,head_4:head_7,-0.017793578984799781
natural_mean,0.86343068687710911,0.01,head_5:head_6,0.011317359157504319
natural_mean,0.86343068687710911,0.01,head_5:head_7,-0.0050821321092304013
natural_mean,0.86343068687710911,0.01,head_6:head_7,-0.0011201073083988212
transformed_mean,0.86343068687710911,1,intercept,0.46802573456699792
transformed_mean,0.86343068687710911,1,head_0,-0.27454047905982165
transformed_mean,0.86343068687710911,1,head_1,-0.31014387270588584
transformed_mean,0.86343068687710911,1,head_2,-0.084371981859450121
transformed_mean,0.86343068687710911,1,head_3,-0.075372387153573472
transformed_mean,0.86343068687710911,1,head_4,-0.042854786499899107
transformed_mean,0.86343068687710911,1,head_5,-0.016327366872979556
transformed_mean,0.86343068687710911,1,head_6,0.017442722692848887
transformed_mean,0.86343068687710911,1,head_7,-0.0016533130806741544
transformed_mean,0.86343068687710911,1,head_0:head_1,0.99248951140845953
transformed_mean,0.86343068687710911,1,head_0:head_2,0.25931548855505349
transformed_mean,0.86343068687710911,1,head_0:head_3,0.22610238720251297
transformed_mean,0.86343068687710911,1,head_0:head_4,0.22207460851682487
transformed_mean,0.86343068687710911,1,head_0:head_5,0.13330510079202179
transformed_mean,0.86343068687710911,1,head_0:head_6,0.071322846468914694
transformed_mean,0.86343068687710911,1,head_0:head_7,0.10382298148836605
transformed_mean,0.86343068687710911,1,head_1:head_2,0.30368423800026501
transformed_mean,0.86343068687710911,1,head_1:head_3,0.23774151921249226
transformed_mean,0.86343068687710911,1,head_1:head_4,0.25164125217122746
transformed_mean,0.86343068687710911,1,head_1:head_5,0.15316586175342006
transformed_mean,0.86343068687710911,1,head_1:head_6,0.053750332652763272
transformed_mean,0.86343068687710911,1,head_1:head_7,0.1048167253493809
transformed_mean,0.86343068687710911,1,head_2:head_3,0.025088941350360498
transformed_mean,0.86343068687710911,1,head_2:head_4,-0.03949578357836183
transformed_mean,0.86343068687710911,1,head_2:head_5,-0.01201560538989902
transformed_mean,0.86343068687710911,1,head_2:head_6,-0.027604673124534247
transformed_mean,0.86343068687710911,1,head_2:head_7,-0.028356455907436608
transformed_mean,0.86343068687710911,1,head_3:head_4,0.090672727472760312
transformed_mean,0.86343068687710911,1,head_3:head_5,0.025095458763583541
transformed_mean,0.86343068687710911,1,head_3:head_6,0.058362746029681917
transformed_mean,0.86343068687710911,1,head_3:head_7,-0.019946827812987969
transformed_mean,0.86343068687710911,1,head_4:head_5,-0.019880991613495325
transformed_mean,0.86343068687710911,1,head_4:head_6,0.054896304898888082
transformed_mean,0.86343068687710911,1,head_4:head_7,-0.017223775722740229
transformed_mean,0.86343068687710911,1,head_5:head_6,-0.024937998487511149
transformed_mean,0.86343068687710911,1,head_5:head_7,0.0036952973455019176
transformed_mean,0.86343068687710911,1,head_6:head_7,-0.01105375914797522
direct_risk,0.86343068687710911,0.10000000000000001,intercept,0.66872782387505836
direct_risk,0.86343068687710911,0.10000000000000001,head_0,-0.23519241722716713
direct_risk,0.86343068687710911,0.10000000000000001,head_1,-0.20980311758959541
direct_risk,0.86343068687710911,0.10000000000000001,head_2,0.083218389375410068
direct_risk,0.86343068687710911,0.10000000000000001,head_3,-0.047864846714503209
direct_risk,0.86343068687710911,0.10000000000000001,head_4,0.080079567164387369
direct_risk,0.86343068687710911,0.10000000000000001,head_5,-0.071165598706864688
direct_risk,0.86343068687710911,0.10000000000000001,head_6,-0.031681452247521315
direct_risk,0.86343068687710911,0.10000000000000001,head_7,0.0030772683363970311
direct_risk,0.86343068687710911,0.10000000000000001,head_0:head_1,0.93524331028476482
direct_risk,0.86343068687710911,0.10000000000000001,head_0:head_2,0.09242269614185751
direct_risk,0.86343068687710911,0.10000000000000001,head_0:head_3,0.16903150133104977
direct_risk,0.86343068687710911,0.10000000000000001,head_0:head_4,0.11429841559807383
direct_risk,0.86343068687710911,0.10000000000000001,head_0:head_5,0.11334645923200323
direct_risk,0.86343068687710911,0.10000000000000001,head_0:head_6,0.075359790233848728
direct_risk,0.86343068687710911,0.10000000000000001,head_0:head_7,0.052149726178208365
direct_risk,0.86343068687710911,0.10000000000000001,head_1:head_2,0.13842901830501064
direct_risk,0.86343068687710911,0.10000000000000001,head_1:head_3,0.17808769139605077
direct_risk,0.86343068687710911,0.10000000000000001,head_1:head_4,0.12950962382767053
direct_risk,0.86343068687710911,0.10000000000000001,head_1:head_5,0.12255599709447147
direct_risk,0.86343068687710911,0.10000000000000001,head_1:head_6,0.060639791500085062
direct_risk,0.86343068687710911,0.10000000000000001,head_1:head_7,0.063394920897124535
direct_risk,0.86343068687710911,0.10000000000000001,head_2:head_3,0.030503984179643995
direct_risk,0.86343068687710911,0.10000000000000001,head_2:head_4,0.021788896712673953
direct_risk,0.86343068687710911,0.10000000000000001,head_2:head_5,0.0086592073317595109
direct_risk,0.86343068687710911,0.10000000000000001,head_2:head_6,0.00061934870517476562
direct_risk,0.86343068687710911,0.10000000000000001,head_2:head_7,0.012786316863038357
direct_risk,0.86343068687710911,0.10000000000000001,head_3:head_4,0.17747367727887989
direct_risk,0.86343068687710911,0.10000000000000001,head_3:head_5,0.019774753388897025
direct_risk,0.86343068687710911,0.10000000000000001,head_3:head_6,0.04635470072835185
direct_risk,0.86343068687710911,0.10000000000000001,head_3:head_7,-0.0067497395044544975
direct_risk,0.86343068687710911,0.10000000000000001,head_4:head_5,0.026978636632310073
direct_risk,0.86343068687710911,0.10000000000000001,head_4:head_6,0.018712967682804067
direct_risk,0.86343068687710911,0.10000000000000001,head_4:head_7,-0.0014231146364661476
direct_risk,0.86343068687710911,0.10000000000000001,head_5:head_6,0.0073616884324317821
direct_risk,0.86343068687710911,0.10000000000000001,head_5:head_7,0.0066386955851322751
direct_risk,0.86343068687710911,0.10000000000000001,head_6:head_7,0.001106670382400139
natural_mean,1.7268613737542182,0.01,intercept,-0.013411630011806626
natural_mean,1.7268613737542182,0.01,head_0,0.81297662743193555
natural_mean,1.7268613737542182,0.01,head_1,0.73340406522714885
natural_mean,1.7268613737542182,0.01,head_2,0.37413211399916946
natural_mean,1.7268613737542182,0.01,head_3,0.26546453325811858
natural_mean,1.7268613737542182,0.01,head_4,0.2435224560138165
natural_mean,1.7268613737542182,0.01,head_5,0.14670478607653292
natural_mean,1.7268613737542182,0.01,head_6,0.086467748390033947
natural_mean,1.7268613737542182,0.01,head_7,0.080583216424697374
natural_mean,1.7268613737542182,0.01,head_0:head_1,0.42918336741974078
natural_mean,1.7268613737542182,0.01,head_0:head_2,-0.038874492535613807
natural_mean,1.7268613737542182,0.01,head_0:head_3,0.029509857524820989
natural_mean,1.7268613737542182,0.01,head_0:head_4,0.040721225394585718
natural_mean,1.7268613737542182,0.01,head_0:head_5,0.023133752546730599
natural_mean,1.7268613737542182,0.01,head_0:head_6,0.0085023519554349326
natural_mean,1.7268613737542182,0.01,head_0:head_7,0.03411896654893605
natural_mean,1.7268613737542182,0.01,head_1:head_2,-0.020863287261540745
natural_mean,1.7268613737542182,0.01,head_1:head_3,0.069324944084584436
natural_mean,1.7268613737542182,0.01,head_1:head_4,0.09252207230316728
natural_mean,1.7268613737542182,0.01,head_1:head_5,0.032742466773554801
natural_mean,1.7268613737542182,0.01,head_1:head_6,0.013253761872298502
natural_mean,1.7268613737542182,0.01,head_1:head_7,0.040148389502840914
natural_mean,1.7268613737542182,0.01,head_2:head_3,-0.011968583823754372
natural_mean,1.7268613737542182,0.01,head_2:head_4,-0.014238864684348993
natural_mean,1.7268613737542182,0.01,head_2:head_5,-0.0029142914538071462
natural_mean,1.7268613737542182,0.01,head_2:head_6,-0.0017828934633086053
natural_mean,1.7268613737542182,0.01,head_2:head_7,0.0092529040155573845
natural_mean,1.7268613737542182,0.01,head_3:head_4,0.11299568267255752
natural_mean,1.7268613737542182,0.01,head_3:head_5,-0.0014042163209869187
natural_mean,1.7268613737542182,0.01,head_3:head_6,0.030038382832357064
natural_mean,1.7268613737542182,0.01,head_3:head_7,-0.019770654427642177
natural_mean,1.7268613737542182,0.01,head_4:head_5,0.0054287845978676415
natural_mean,1.7268613737542182,0.01,head_4:head_6,0.016419541767084777
natural_mean,1.7268613737542182,0.01,head_4:head_7,-0.017793578984799781
natural_mean,1.7268613737542182,0.01,head_5:head_6,0.011317359157504319
natural_mean,1.7268613737542182,0.01,head_5:head_7,-0.0050821321092304013
natural_mean,1.7268613737542182,0.01,head_6:head_7,-0.0011201073083988212
transformed_mean,1.7268613737542182,9.9999999999999995e-07,intercept,2.1456396791427559
transformed_mean,1.7268613737542182,9.9999999999999995e-07,head_0,-1.4048134245055561
transformed_mean,1.7268613737542182,9.9999999999999995e-07,head_1,-1.2912301700671873
transformed_mean,1.7268613737542182,9.9999999999999995e-07,head_2,-0.69432956522904776
