mask_id,actual_target_loss,target,actual_mean_effect
mask_00149aab730786f2,1.6228201109915972,0.5,-0.787945693358779
mask_0053cccb6fb159b4,0.9791796552017331,0.5,-0.23344888258725405
mask_007318e3afb83400,0.7637362200766802,0.5,-0.15658599697053432
mask_007a4ff5764ccc06,1.0202191546559334,0.5,0.5044818371534348
mask_00fbd53f0a133b0a,0.7925431989133358,0.5,-0.1158345527946949
mask_011bac1fe7c51393,0.7962947534397244,0.5,-0.12819964159280062
mask_0139656f9d7fe602,0.8373040575534105,0.5,-0.11109274812042713
mask_016b1f2186cd4ba5,1.039862104691565,0.5,-0.2196588283404708
mask_0187becf85aa5fc1,0.680085975676775,0.5,-0.06391305848956108
mask_01a4a991d41997e1,1.136054958216846,0.5,0.19825634080916643
mask_01e80658fb54e3ac,1.1733962334692478,0.5,-0.24906623177230358
mask_01ff3fffa329703c,0.6968060005456209,0.5,0.18784247152507305
mask_02181880718fac53,1.2013404732570052,0.5,-0.5722379582002759
mask_0245683bb1a0a29d,0.5153235141187906,0.5,0.23712014593183994
mask_025ac1a4b781b376,0.7839451804757118,0.5,-0.10712949372828007
mask_0262d302c524ae23,1.2189151402562857,0.5,-0.5334763005375862
mask_02a7f762a96a3f3b,1.3257968425750732,0.5,-0.6785550620406866
mask_03034d336d8eaf7b,0.909367885440588,0.5,0.20290898345410824
mask_0329e91e5888045c,1.6824195310473442,0.5,-0.986087741330266
mask_0386a3773f6d3929,0.7921888586133718,0.5,-0.12467955984175205
mask_039c08dc6f388626,0.9205004014074802,0.5,-0.17958590760827065
mask_03b61b6decfbbda3,0.6194035299122334,0.5,0.06080586463212967
mask_03dd0f6b21624e45,0.7647786140441895,0.5,-0.07040343433618546
mask_03f13365ea59c99f,1.851589584723115,0.5,-1.1476051341742277
mask_040526328aec03f3,1.2796984445303679,0.5,-0.5303902681916952
mask_043646d4802bc5e4,1.0687750298529863,0.5,0.30543480068445206
mask_04b03ba14bd77e68,1.198981792666018,0.5,-0.3952546427026391
mask_05188507251f0429,1.325578486546874,0.5,-0.5716055426746607
mask_05365af9210c982d,0.9500188687816262,0.5,-0.1270386753603816
mask_055cd10a9564b5b4,1.4315098812803626,0.5,-0.4426813339814544
mask_05d88b996f889bcc,1.030632189475,0.5,0.02860593143850565
mask_05f0af5d4f5249fa,1.21100655477494,0.5,-0.4890062874183059
mask_063fecb7c3040847,0.7897876650094986,0.5,0.2015981711447239
mask_0676d3b4e55e2101,1.333533556200564,0.5,-0.011985856108367445
mask_06d3368da2653e50,1.0672948872670531,0.5,-0.15414743032306433
mask_06facbdc86464fef,0.6342404251918197,0.5,0.26888344902545214
mask_0706a2ebecc37bad,1.5527050029486418,0.5,-0.9341904558241367
