selector_family,model,measurement_budget,pool_id,target,policy,selected_mask_id,selected_head_count,selected_mean_target_loss,selected_mean_objective,selected_within_tolerance,oracle_mask_id,oracle_head_count,oracle_mean_target_loss,oracle_mean_objective,post_outcome_descriptive_only,best_fixed_action_regret
direct_risk,additive_head,160,phase06_candidate_pool_00,0.5,cost_aware,mask_57e135645a1f7904,4,0.6134841972962022,0.6934841972962023,0.24609375,mask_1331b3dffb33182f,5,0.5424399711191654,0.6424399711191654,True,0.051044226177036855
direct_risk,additive_head,160,phase06_candidate_pool_00,0.5,target_loss,mask_57e135645a1f7904,4,0.6134841972962022,0.6134841972962022,0.24609375,mask_1331b3dffb33182f,5,0.5424399711191654,0.5424399711191654,True,0.07104422617703676
direct_risk,additive_head,160,phase06_candidate_pool_00,1.0,cost_aware,mask_57e135645a1f7904,4,0.9153137179091573,0.9953137179091573,0.130859375,mask_7f4e7b2fb3cc8a79,4,0.8111227825284004,0.8911227825284004,True,0.10419093538075697
direct_risk,additive_head,160,phase06_candidate_pool_00,1.0,target_loss,mask_063fecb7c3040847,7,1.032539863139391,1.032539863139391,0.111328125,mask_24eae8c69d0072c9,5,0.7979288641363382,0.7979288641363382,True,0.2346109990030527
direct_risk,additive_head,160,phase06_candidate_pool_00,1.5,cost_aware,mask_063fecb7c3040847,7,1.3997168727219105,1.5397168727219106,0.0859375,mask_24eae8c69d0072c9,5,1.1790995802730322,1.2790995802730323,True,0.2606172924488783
direct_risk,additive_head,160,phase06_candidate_pool_00,1.5,target_loss,mask_063fecb7c3040847,7,1.3997168727219105,1.3997168727219105,0.0859375,mask_24eae8c69d0072c9,5,1.1790995802730322,1.1790995802730322,True,0.2206172924488783
direct_risk,additive_head,160,phase06_candidate_pool_01,0.5,cost_aware,mask_8f735f2cb6133fb2,5,0.49237118288874626,0.5923711828887462,0.28515625,mask_8f735f2cb6133fb2,5,0.49237118288874626,0.5923711828887462,True,0.0
direct_risk,additive_head,160,phase06_candidate_pool_01,0.5,target_loss,mask_60aa0a7fb249ea37,7,0.8490365231409669,0.8490365231409669,0.1953125,mask_8f735f2cb6133fb2,5,0.49237118288874626,0.49237118288874626,True,0.35666534025222063
direct_risk,additive_head,160,phase06_candidate_pool_01,1.0,cost_aware,mask_60aa0a7fb249ea37,7,1.1035887161269784,1.2435887161269785,0.138671875,mask_8f735f2cb6133fb2,5,0.834791574627161,0.934791574627161,True,0.3087971414998175
direct_risk,additive_head,160,phase06_candidate_pool_01,1.0,target_loss,mask_60aa0a7fb249ea37,7,1.1035887161269784,1.1035887161269784,0.138671875,mask_8f735f2cb6133fb2,5,0.834791574627161,0.834791574627161,True,0.26879714149981737
