comparison_id,pool_id,mean_absolute_target_loss_reduction,positive_direction,zero_direction
H1_primary_estimand,phase06_candidate_pool_00,0.36174833215773106,True,False
H1_primary_estimand,phase06_candidate_pool_01,0.47141543962061405,True,False
H1_primary_estimand,phase06_candidate_pool_02,0.4518047794699669,True,False
H1_primary_estimand,phase06_candidate_pool_03,0.19045208767056465,True,False
H1_primary_estimand,phase06_candidate_pool_04,0.29434093832969666,True,False
H1_primary_estimand,phase06_candidate_pool_05,0.41559283807873726,True,False
H1_primary_estimand,phase06_candidate_pool_06,0.0508076548576355,True,False
H1_primary_estimand,phase06_candidate_pool_07,0.15794858802109957,True,False
H1_primary_estimand,phase06_candidate_pool_08,0.14252724964171648,True,False
H1_primary_estimand,phase06_candidate_pool_09,0.21407970879226923,True,False
H1_primary_estimand,phase06_candidate_pool_10,0.26369150541722775,True,False
H1_primary_estimand,phase06_candidate_pool_11,0.4708027932792902,True,False
H1_primary_estimand,phase06_candidate_pool_12,0.04647629475221038,True,False
H1_primary_estimand,phase06_candidate_pool_13,0.11812425404787064,True,False
H1_primary_estimand,phase06_candidate_pool_14,0.3970263572409749,True,False
H1_primary_estimand,phase06_candidate_pool_15,0.2751127164810896,True,False
H1_primary_estimand,phase06_candidate_pool_16,0.015545522794127464,True,False
H1_primary_estimand,phase06_candidate_pool_17,0.033407656475901604,True,False
H1_primary_estimand,phase06_candidate_pool_18,0.3592339060269296,True,False
H1_primary_estimand,phase06_candidate_pool_19,0.432135509327054,True,False
H1_primary_estimand,phase06_candidate_pool_20,0.16669963812455535,True,False
H1_primary_estimand,phase06_candidate_pool_21,0.3246150007471442,True,False
H1_primary_estimand,phase06_candidate_pool_22,0.5440704245120287,True,False
H1_primary_estimand,phase06_candidate_pool_23,-0.022335926070809368,False,False
H1_primary_estimand,phase06_candidate_pool_24,0.3880141074769199,True,False
H1_primary_estimand,phase06_candidate_pool_25,0.0,False,True
H1_primary_estimand,phase06_candidate_pool_26,0.3387196371331811,True,False
H1_primary_estimand,phase06_candidate_pool_27,0.11369506735354662,True,False
H1_primary_estimand,phase06_candidate_pool_28,0.1098876716569066,True,False
H1_primary_estimand,phase06_candidate_pool_29,0.023328072857111692,True,False
H1_primary_estimand,phase06_candidate_pool_30,0.26695329090580344,True,False
H1_primary_estimand,phase06_candidate_pool_31,0.3855651724152267,True,False
H1_primary_estimand,phase06_candidate_pool_32,0.1939510782249272,True,False
H1_primary_estimand,phase06_candidate_pool_33,0.28871297650039196,True,False
H1_primary_estimand,phase06_candidate_pool_34,0.11843773629516363,True,False
H1_primary_estimand,phase06_candidate_pool_35,0.1445319945923984,True,False
H1_primary_estimand,phase06_candidate_pool_36,0.17666157754138112,True,False
H1_primary_estimand,phase06_candidate_pool_37,0.5253333607688546,True,False
H1_primary_estimand,phase06_candidate_pool_38,0.18212062120437622,True,False
H1_primary_estimand,phase06_candidate_pool_39,0.027322968468070034,True,False
H1_primary_estimand,phase06_candidate_pool_40,0.324592134449631,True,False
H1_primary_estimand,phase06_candidate_pool_41,0.3865593671798706,True,False
H1_primary_estimand,phase06_candidate_pool_42,0.39091938361525536,True,False
H1_primary_estimand,phase06_candidate_pool_43,0.41730300430208445,True,False
H1_primary_estimand,phase06_candidate_pool_44,0.15426772087812424,True,False
H1_primary_estimand,phase06_candidate_pool_45,0.27130817668512464,True,False
H1_primary_estimand,phase06_candidate_pool_46,0.2711044894531369,True,False
H1_primary_estimand,phase06_candidate_pool_47,-0.0005082641728222374,False,False
H2_secondary_vs_additive,phase06_candidate_pool_00,0.1301401504315436,True,False
H2_secondary_vs_additive,phase06_candidate_pool_01,0.312731240876019,True,False
H2_secondary_vs_additive,phase06_candidate_pool_02,0.17906024493277073,True,False
H2_secondary_vs_additive,phase06_candidate_pool_03,0.015223425347357988,True,False
H2_secondary_vs_additive,phase06_candidate_pool_04,0.00037503149360418276,True,False
H2_secondary_vs_additive,phase06_candidate_pool_05,0.120669761672616,True,False
H2_secondary_vs_additive,phase06_candidate_pool_06,-0.33646012656390667,False,False
H2_secondary_vs_additive,phase06_candidate_pool_07,-0.012553390115499502,False,False
H2_secondary_vs_additive,phase06_candidate_pool_08,0.005065655335783959,True,False
H2_secondary_vs_additive,phase06_candidate_pool_09,0.26463742926716805,True,False
