pool_id,target,policy,oracle_mask_id,oracle_head_count,oracle_mean_target_loss,oracle_mean_objective,post_outcome_descriptive_only
phase06_candidate_pool_00,0.5,target_loss,mask_1331b3dffb33182f,5,0.5424399711191654,0.5424399711191654,True
phase06_candidate_pool_00,0.5,cost_aware,mask_1331b3dffb33182f,5,0.5424399711191654,0.6424399711191654,True
phase06_candidate_pool_00,1.0,target_loss,mask_24eae8c69d0072c9,5,0.7979288641363382,0.7979288641363382,True
phase06_candidate_pool_00,1.0,cost_aware,mask_7f4e7b2fb3cc8a79,4,0.8111227825284004,0.8911227825284004,True
phase06_candidate_pool_00,1.5,target_loss,mask_24eae8c69d0072c9,5,1.1790995802730322,1.1790995802730322,True
phase06_candidate_pool_00,1.5,cost_aware,mask_24eae8c69d0072c9,5,1.1790995802730322,1.2790995802730323,True
phase06_candidate_pool_01,0.5,target_loss,mask_8f735f2cb6133fb2,5,0.49237118288874626,0.49237118288874626,True
phase06_candidate_pool_01,0.5,cost_aware,mask_8f735f2cb6133fb2,5,0.49237118288874626,0.5923711828887462,True
phase06_candidate_pool_01,1.0,target_loss,mask_8f735f2cb6133fb2,5,0.834791574627161,0.834791574627161,True
phase06_candidate_pool_01,1.0,cost_aware,mask_8f735f2cb6133fb2,5,0.834791574627161,0.934791574627161,True
phase06_candidate_pool_01,1.5,target_loss,mask_8f735f2cb6133fb2,5,1.2931325919926167,1.2931325919926167,True
phase06_candidate_pool_01,1.5,cost_aware,mask_8f735f2cb6133fb2,5,1.2931325919926167,1.3931325919926167,True
phase06_candidate_pool_02,0.5,target_loss,mask_8ecaf4d3ebf999fb,5,0.6002030055969954,0.6002030055969954,True
phase06_candidate_pool_02,0.5,cost_aware,mask_8ecaf4d3ebf999fb,5,0.6002030055969954,0.7002030055969953,True
phase06_candidate_pool_02,1.0,target_loss,mask_3ca3fb1b0193ecd6,6,0.9202317446470261,0.9202317446470261,True
phase06_candidate_pool_02,1.0,cost_aware,mask_3ca3fb1b0193ecd6,6,0.9202317446470261,1.0402317446470262,True
phase06_candidate_pool_02,1.5,target_loss,mask_3ca3fb1b0193ecd6,6,1.3674915172159672,1.3674915172159672,True
phase06_candidate_pool_02,1.5,cost_aware,mask_3ca3fb1b0193ecd6,6,1.3674915172159672,1.4874915172159673,True
phase06_candidate_pool_03,0.5,target_loss,mask_acb5d56587be8429,5,0.5785317048430443,0.5785317048430443,True
phase06_candidate_pool_03,0.5,cost_aware,mask_acb5d56587be8429,5,0.5785317048430443,0.6785317048430443,True
phase06_candidate_pool_03,1.0,target_loss,mask_c7aa76cfe19311e6,5,0.9067982546985149,0.9067982546985149,True
