comparison_id,omitted_unordered_name_pair_id,leave_one_name_out_equivalent,mean_absolute_target_loss_reduction,relative_reduction_fraction
H1_primary_estimand,phase6_pair_22424491bfa2bbf7,True,0.25189419392175894,0.23107475554642065
H1_primary_estimand,phase6_pair_27b58d91a8805723,True,0.24693288310601186,0.22828619119511032
H1_primary_estimand,phase6_pair_3ea4c928a32cb535,True,0.25098401287029826,0.23042173575953787
H1_primary_estimand,phase6_pair_3ff09606e48f88f8,True,0.2511971736406928,0.23146246924261615
H1_primary_estimand,phase6_pair_4232ece9c5de015e,True,0.2494875170510783,0.229931362063397
H1_primary_estimand,phase6_pair_4b2031fb3148d3ee,True,0.2091866302534297,0.20165090080681566
H1_primary_estimand,phase6_pair_5060e0fc982e9f4d,True,0.23523572111322033,0.22067964719986646
H1_primary_estimand,phase6_pair_6aa7a55bcb2b78fc,True,0.24591545997968606,0.22698096541640886
H1_primary_estimand,phase6_pair_6dd888711548a86b,True,0.23948467897391448,0.22323357832721202
H1_primary_estimand,phase6_pair_6fb321fd6c59ee74,True,0.24412505616063393,0.22587515089088325
H1_primary_estimand,phase6_pair_70c9b4b466da4e77,True,0.25163406256826654,0.2324029029224178
H1_primary_estimand,phase6_pair_83ce93db4866834e,True,0.24554895435369783,0.22699011564291946
H1_primary_estimand,phase6_pair_8cda82f11e5705a9,True,0.24948004826462716,0.23232973688865832
H1_primary_estimand,phase6_pair_9af0db44d4680944,True,0.24281554950541387,0.22424877405950616
H1_primary_estimand,phase6_pair_9d7a2d7573ba79c2,True,0.20129427860581106,0.19585467613159835
H1_primary_estimand,phase6_pair_a51ddccd84b83769,True,0.24972208584308303,0.23262496580332737
H1_primary_estimand,phase6_pair_ba24833d8a7a20bb,True,0.25731871322157884,0.23636829777087698
H1_primary_estimand,phase6_pair_ba4b06be0ae5c5a2,True,0.21506424531620996,0.20687830184479247
H1_primary_estimand,phase6_pair_c05995853090638d,True,0.2470898883697647,0.22762194487991189
H1_primary_estimand,phase6_pair_c06e43b4adb8976d,True,0.25041980739001946,0.23077905192899165
H1_primary_estimand,phase6_pair_c93a443389459cda,True,0.24951854268068907,0.2322427513069767
H1_primary_estimand,phase6_pair_cdf0d5b696403826,True,0.24358846954200217,0.22644811994016206
H1_primary_estimand,phase6_pair_d05ecb1621fbfe80,True,0.252786055998376,0.23204307449097397
H1_primary_estimand,phase6_pair_d3ce04b561a7a9f6,True,0.2371939233333994,0.22183797600181476
H1_primary_estimand,phase6_pair_d3e30bbb7a041256,True,0.25449877255345865,0.23435314988480135
H1_primary_estimand,phase6_pair_d5f78ab0a04f789f,True,0.2475892452282771,0.22833548090895914
H1_primary_estimand,phase6_pair_d8aa597f27508605,True,0.237047221040934,0.22207797717840358
H1_primary_estimand,phase6_pair_dc7c4afe450a4123,True,0.24908199795191327,0.2282858930994021
H1_primary_estimand,phase6_pair_ddeeb5ea0075c302,True,0.2528951492120502,0.23413675502323186
H1_primary_estimand,phase6_pair_def4c49e912f68a0,True,0.23657238650666448,0.2211386834967531
H1_primary_estimand,phase6_pair_ed2f73ba899c96f0,True,0.2364272376402251,0.22148804594385232
H1_primary_estimand,phase6_pair_f4a693ca9aeb5fcc,True,0.25070644818967386,0.2327257887922773
H2_secondary_vs_additive,phase6_pair_22424491bfa2bbf7,True,0.027292275891428994,0.0315336690516716
H2_secondary_vs_additive,phase6_pair_27b58d91a8805723,True,0.02907424030565126,0.033657653169074965
H2_secondary_vs_additive,phase6_pair_3ea4c928a32cb535,True,0.027422295693027718,0.031677325201909516
H2_secondary_vs_additive,phase6_pair_3ff09606e48f88f8,True,0.026123296299208235,0.03036932065917356
H2_secondary_vs_additive,phase6_pair_4232ece9c5de015e,True,0.027619727867184786,0.03199748438304852
H2_secondary_vs_additive,phase6_pair_4b2031fb3148d3ee,True,0.02844830014572669,0.033209482365437935
H2_secondary_vs_additive,phase6_pair_5060e0fc982e9f4d,True,0.024858583896470967,0.02905455349120326
H2_secondary_vs_additive,phase6_pair_6aa7a55bcb2b78fc,True,0.026152008193074373,0.030280604725074864
H2_secondary_vs_additive,phase6_pair_6dd888711548a86b,True,0.026528384155964337,0.03085261424986551
H2_secondary_vs_additive,phase6_pair_6fb321fd6c59ee74,True,0.024739599285987755,0.028719856291009056
H2_secondary_vs_additive,phase6_pair_70c9b4b466da4e77,True,0.028723118996988702,0.03340525734118198
H2_secondary_vs_additive,phase6_pair_83ce93db4866834e,True,0.026532541199397016,0.030753661246438586
H2_secondary_vs_additive,phase6_pair_8cda82f11e5705a9,True,0.022324512752714337,0.026367639495262593
H2_secondary_vs_additive,phase6_pair_9af0db44d4680944,True,0.026732787359706175,0.030843886454715693
H2_secondary_vs_additive,phase6_pair_9d7a2d7573ba79c2,True,0.024185367349174716,0.0284311383510969
H2_secondary_vs_additive,phase6_pair_a51ddccd84b83769,True,0.02839751017870762,0.03332368677791499
H2_secondary_vs_additive,phase6_pair_ba24833d8a7a20bb,True,0.02406842735225475,0.02813755904722738
H2_secondary_vs_additive,phase6_pair_ba4b06be0ae5c5a2,True,0.0321494974095815,0.03752914515352084
H2_secondary_vs_additive,phase6_pair_c05995853090638d,True,0.02555232154585982,0.029574789679060312
H2_secondary_vs_additive,phase6_pair_c06e43b4adb8976d,True,0.02276268857781605,0.026546982130481532
H2_secondary_vs_additive,phase6_pair_c93a443389459cda,True,0.025439282949332908,0.029917744138089116
H2_secondary_vs_additive,phase6_pair_cdf0d5b696403826,True,0.023056931282964446,0.026962105627684217
H2_secondary_vs_additive,phase6_pair_d05ecb1621fbfe80,True,0.025591603129781704,0.02968180470446541
H2_secondary_vs_additive,phase6_pair_d3ce04b561a7a9f6,True,0.0287037063590301,0.03334804769738
H2_secondary_vs_additive,phase6_pair_d3e30bbb7a041256,True,0.029625755834883902,0.03440496084852367
H2_secondary_vs_additive,phase6_pair_d5f78ab0a04f789f,True,0.026778156869113445,0.03101078211429357
H2_secondary_vs_additive,phase6_pair_d8aa597f27508605,True,0.02209795577832127,0.025922691108925377
H2_secondary_vs_additive,phase6_pair_dc7c4afe450a4123,True,0.02275888911218092,0.026317741207125864
H2_secondary_vs_additive,phase6_pair_ddeeb5ea0075c302,True,0.028047291592003837,0.0327935170678086
H2_secondary_vs_additive,phase6_pair_def4c49e912f68a0,True,0.0237416856050972,0.027704502678134044
H2_secondary_vs_additive,phase6_pair_ed2f73ba899c96f0,True,0.023848037075211284,0.0278966826152602
H2_secondary_vs_additive,phase6_pair_f4a693ca9aeb5fcc,True,0.024302169890894045,0.028561995592908108
H2_secondary_vs_count,phase6_pair_22424491bfa2bbf7,True,0.031444957489848775,0.036158215394790805
H2_secondary_vs_count,phase6_pair_27b58d91a8805723,True,0.0334451816956042,0.0385227272886384
H2_secondary_vs_count,phase6_pair_3ea4c928a32cb535,True,0.03179165693901239,0.03654023516595766
H2_secondary_vs_count,phase6_pair_3ff09606e48f88f8,True,0.030442661024950524,0.0352139215665077
H2_secondary_vs_count,phase6_pair_4232ece9c5de015e,True,0.0319915214673646,0.03687544786406324
H2_secondary_vs_count,phase6_pair_4b2031fb3148d3ee,True,0.033580227654867914,0.03896685928481707
H2_secondary_vs_count,phase6_pair_5060e0fc982e9f4d,True,0.029503375962777162,0.034297164126793955
H2_secondary_vs_count,phase6_pair_6aa7a55bcb2b78fc,True,0.030767758156583513,0.03543565587960652
H2_secondary_vs_count,phase6_pair_6dd888711548a86b,True,0.03047714784981743,0.035283007173150416
H2_secondary_vs_count,phase6_pair_6fb321fd6c59ee74,True,0.028967639621627586,0.0334638795760699
H2_secondary_vs_count,phase6_pair_70c9b4b466da4e77,True,0.033247704677764445,0.03846498504137758
H2_secondary_vs_count,phase6_pair_83ce93db4866834e,True,0.031154596316878513,0.03591861924904664
H2_secondary_vs_count,phase6_pair_8cda82f11e5705a9,True,0.025910849162247233,0.030474401816938473
H2_secondary_vs_count,phase6_pair_9af0db44d4680944,True,0.03143842851803187,0.03607730972371461
H2_secondary_vs_count,phase6_pair_9d7a2d7573ba79c2,True,0.029546201769863407,0.03451555902491903
H2_secondary_vs_count,phase6_pair_a51ddccd84b83769,True,0.032229451032014945,0.03765105797485394
H2_secondary_vs_count,phase6_pair_ba24833d8a7a20bb,True,0.02896613512508651,0.03367050983695778
H2_secondary_vs_count,phase6_pair_ba4b06be0ae5c5a2,True,0.03715275801838406,0.043117784600159116
H2_secondary_vs_count,phase6_pair_c05995853090638d,True,0.030414515956034584,0.03500539829703404
H2_secondary_vs_count,phase6_pair_c06e43b4adb8976d,True,0.027483603025796593,0.03187723928271248
H2_secondary_vs_count,phase6_pair_c93a443389459cda,True,0.02955920939203552,0.034595341439371596
H2_secondary_vs_count,phase6_pair_cdf0d5b696403826,True,0.0285649613266991,0.03318926619894847
H2_secondary_vs_count,phase6_pair_d05ecb1621fbfe80,True,0.030085645555969206,0.034713175880274796
H2_secondary_vs_count,phase6_pair_d3ce04b561a7a9f6,True,0.033286848035390657,0.03846792430676363
H2_secondary_vs_count,phase6_pair_d3e30bbb7a041256,True,0.033542577547812334,0.03877725599449949
H2_secondary_vs_count,phase6_pair_d5f78ab0a04f789f,True,0.031279928271248134,0.03603624627739466
H2_secondary_vs_count,phase6_pair_d8aa597f27508605,True,0.026815087033776185,0.0312831601847833
H2_secondary_vs_count,phase6_pair_dc7c4afe450a4123,True,0.028272016084082023,0.0324858619550125
H2_secondary_vs_count,phase6_pair_ddeeb5ea0075c302,True,0.031131899184597436,0.03626930030218663
H2_secondary_vs_count,phase6_pair_def4c49e912f68a0,True,0.02822043212951832,0.032759602315171284
H2_secondary_vs_count,phase6_pair_ed2f73ba899c96f0,True,0.028489760583847442,0.033146447913656646
H2_secondary_vs_count,phase6_pair_f4a693ca9aeb5fcc,True,0.028659914089466935,0.03351195587920742
