support_mode,metric,estimate_effect_at_first_order_direction_fo_minus_lifted,estimate_effect_at_lifted_direction_fo_minus_lifted,direction_effect_at_first_order_estimate_fo_minus_lifted,direction_effect_at_lifted_estimate_fo_minus_lifted,estimate_by_direction_interaction
projected,integrated_squared_error,1.1437929996832876,4.063800134799847,-2.9209648927590797,-0.0009577576425201517,-2.9200071351165597
projected,integrated_absolute_error,2.5654965751544756,5.158096782746352,-2.6014842429684544,-0.008884035376577781,-2.592600207591876
projected,final_target_mse,0.1982689140628948,0.7401779029026135,-0.5419092055041337,-2.1666441494385205e-07,-0.5419089888397187
projected,cumulative_collateral_abs,2.0623878393000243,2.9637083630425387,0.6772215512114732,1.5785420749539876,-0.9013205237425144
projected,actuation_energy_l1,16.198977637790634,31.800589748328736,-14.212167807368637,1.3894443031694657,-15.601612110538102
projected,observer_bias_mae_path,0.3099088201161817,0.5737039825231471,-0.2629769759761904,0.0008181864307750543,-0.26379516240696543
projected,large_error_trajectory_rate,0.0,0.0,0.0,0.0,0.0
projected,observer_self_gain,-0.32114582218013565,-0.49412390140549595,0.17177184508244464,-0.001206234142915652,0.1729780792253603
projected,observer_error_pole_unsaturated,0.11240103776304744,0.17294336549192357,-0.060120145778855605,0.00042218195002052816,-0.06054232772887613
projected,mean_residual_off_support_l2_path,1.51512929785724e-15,3.1278263272250943e-15,-1.2477865701858867e-15,3.6491045918196757e-16,-1.6126970293678543e-15
unprojected,integrated_squared_error,1.6888211025096176,3.458500419232756,-0.7820791674334551,0.9876001492896833,-1.7696793167231384
unprojected,integrated_absolute_error,0.19509519957899357,0.6389907575626168,-0.1883712676931637,0.25552429029045953,-0.44389555798362323
unprojected,final_target_mse,0.417546775759547,0.8654445054820554,-0.19985563754511748,0.24804209217739093,-0.4478977297225084
unprojected,cumulative_collateral_abs,-0.007483367962141552,0.004711423354377797,0.08034837902926772,0.09254317034578707,-0.012194791316519349
unprojected,actuation_energy_l1,0.01884819959692763,0.7419638823251979,-0.27096302029291763,0.4521526624353527,-0.7231156827282703
unprojected,observer_bias_mae_path,0.0185918624382424,0.06651417418113104,-0.020468792569271255,0.02745351917361738,-0.047922311742888635
unprojected,large_error_trajectory_rate,-0.45133333333333336,-0.23199999999999998,0.0,0.21933333333333338,-0.21933333333333338
unprojected,observer_self_gain,-0.01389140742673389,-0.02512734610486894,0.0047462005262775865,-0.006489738151857466,0.011235938678135052
unprojected,observer_error_pole_unsaturated,0.004861992599356824,0.008794571136704121,-0.0016611701841972026,0.002271408353150095,-0.003932578537347298
unprojected,mean_residual_off_support_l2_path,-0.029006227104419136,0.020583402238828707,0.0008839112881613431,0.050473540631409186,-0.04958962934324784
