scope,bank,family_id,candidate_count,required_count,eligible_count,selected_count,coverage,minimum_coverage,coverage_passed,exact_fill
overall,,,3072,1536,2612,1536,0.85026041666666663,0.80000000000000004,True,True
family,,length_32_gap_8,768,384,684,384,0.890625,0.75,True,True
family,,length_32_gap_16,768,384,663,384,0.86328125,0.75,True,True
family,,length_64_gap_8,768,384,653,384,0.85026041666666663,0.75,True,True
family,,length_64_gap_16,768,384,612,384,0.796875,0.75,True,True
bank_family,reference,length_32_gap_8,64,32,55,32,0.859375,0.69999999999999996,True,True
bank_family,reference,length_32_gap_16,64,32,51,32,0.796875,0.69999999999999996,True,True
bank_family,reference,length_64_gap_8,64,32,51,32,0.796875,0.69999999999999996,True,True
bank_family,reference,length_64_gap_16,64,32,48,32,0.75,0.69999999999999996,True,True
bank_family,discovery,length_32_gap_8,64,32,59,32,0.921875,0.69999999999999996,True,True
bank_family,discovery,length_32_gap_16,64,32,58,32,0.90625,0.69999999999999996,True,True
bank_family,discovery,length_64_gap_8,64,32,54,32,0.84375,0.69999999999999996,True,True
bank_family,discovery,length_64_gap_16,64,32,54,32,0.84375,0.69999999999999996,True,True
bank_family,head_fit,length_32_gap_8,128,64,115,64,0.8984375,0.69999999999999996,True,True
bank_family,head_fit,length_32_gap_16,128,64,114,64,0.890625,0.69999999999999996,True,True
bank_family,head_fit,length_64_gap_8,128,64,104,64,0.8125,0.69999999999999996,True,True
bank_family,head_fit,length_64_gap_16,128,64,102,64,0.796875,0.69999999999999996,True,True
bank_family,head_test,length_32_gap_8,128,64,110,64,0.859375,0.69999999999999996,True,True
bank_family,head_test,length_32_gap_16,128,64,112,64,0.875,0.69999999999999996,True,True
bank_family,head_test,length_64_gap_8,128,64,110,64,0.859375,0.69999999999999996,True,True
bank_family,head_test,length_64_gap_16,128,64,106,64,0.828125,0.69999999999999996,True,True
bank_family,calibration,length_32_gap_8,128,64,116,64,0.90625,0.69999999999999996,True,True
bank_family,calibration,length_32_gap_16,128,64,111,64,0.8671875,0.69999999999999996,True,True
bank_family,calibration,length_64_gap_8,128,64,116,64,0.90625,0.69999999999999996,True,True
bank_family,calibration,length_64_gap_16,128,64,102,64,0.796875,0.69999999999999996,True,True
bank_family,locked_test,length_32_gap_8,256,128,229,128,0.89453125,0.69999999999999996,True,True
bank_family,locked_test,length_32_gap_16,256,128,217,128,0.84765625,0.69999999999999996,True,True
bank_family,locked_test,length_64_gap_8,256,128,218,128,0.8515625,0.69999999999999996,True,True
bank_family,locked_test,length_64_gap_16,256,128,200,128,0.78125,0.69999999999999996,True,True
