observer,pool_id,target,selected_mask_id,selected_head_count,predicted_effect,actual_mean_effect,action_loss
submission,candidate_pool_00,0.5,mask_bfa108de38e6d58f,6,0.4157447386682336,-0.14714495837688446,1.1639850437641144
submission,candidate_pool_00,1.0,mask_b55f4fdddb0ed7df,7,1.0063729566599726,1.5893577430397272,1.1553228963166475
submission,candidate_pool_00,1.5,mask_153f1c2a9e066490,6,1.4678438708536365,0.6893157474696636,1.3477625511586666
submission,candidate_pool_01,0.5,mask_3cd97f4a74d408b8,10,0.47943689105100346,1.0243458524346352,1.359089158475399
submission,candidate_pool_01,1.0,mask_d34cab07e9bf4ded,4,1.0246456188151574,0.6021221093833447,0.8938709907233715
submission,candidate_pool_01,1.5,mask_88feb37e4997bcb0,7,1.384720300084032,1.656294446438551,1.0341072119772434
submission,candidate_pool_02,0.5,mask_053a16108482e172,6,0.4956050782876697,1.0440625697374344,0.9102527052164078
submission,candidate_pool_02,1.0,mask_267196af5474f7ae,8,1.0120072612354734,1.6753639206290245,1.4321105405688286
submission,candidate_pool_02,1.5,mask_267196af5474f7ae,8,1.0120072612354734,1.6753639206290245,1.3531247526407242
submission,candidate_pool_03,0.5,mask_e3bfff07ca1cabef,9,0.6108695667359191,0.3943452090024948,1.136538840830326
submission,candidate_pool_03,1.0,mask_dc2e11f8d6ea9e67,6,1.0107825364663265,0.8194096349179745,1.0915862433612347
submission,candidate_pool_03,1.5,mask_0f1c886d2bd569f0,7,1.2567068928212086,1.6592938229441643,0.9623276218771935
submission,candidate_pool_04,0.5,mask_93f84412f1b2de39,7,0.5377167982834365,0.6359814777970314,0.7250357046723366
submission,candidate_pool_04,1.0,mask_6d2e3876c8f68db8,9,1.0525490112703242,1.106049656867981,0.9499495401978493
submission,candidate_pool_04,1.5,mask_6d2e3876c8f68db8,9,1.0525490112703242,1.106049656867981,1.027840979397297
submission,candidate_pool_05,0.5,mask_0ea1a19911258943,4,0.41492918777999743,0.7785920202732086,0.7262071520090103
submission,candidate_pool_05,1.0,mask_f5d21a1898de9318,7,1.1682431002110305,1.5147219635546207,0.93521723523736
submission,candidate_pool_05,1.5,mask_de24099fc59a002a,4,1.2178409973448752,1.188171662390232,0.9420501589775085
submission,candidate_pool_06,0.5,mask_f2b097d9ab973b9b,7,0.5317365093056408,0.7454984411597252,0.7483365088701248
submission,candidate_pool_06,1.0,mask_8a4903df460893e2,6,0.8650433468214044,0.6909704282879829,0.9152915701270103
submission,candidate_pool_06,1.5,mask_8a4903df460893e2,6,0.8650433468214044,0.6909704282879829,1.1124593615531921
submission,candidate_pool_07,0.5,mask_21e5e4333c6fc40a,6,0.5671908177469945,0.3446212187409401,0.9509362354874611
submission,candidate_pool_07,1.0,mask_83fe021aaca96bf0,5,1.2069178047362918,1.13290785998106,0.7885417938232422
submission,candidate_pool_07,1.5,mask_d43daec0a2f27dc1,8,1.4536867057698781,2.02377050742507,1.1549357064068317
submission,candidate_pool_08,0.5,mask_331502b1b3b7fde3,6,0.4573238404432612,1.205121848732233,1.0451688878238201
submission,candidate_pool_08,1.0,mask_a842b06af7760b08,4,0.8081684189421556,0.39828971773386,0.925181619822979
submission,candidate_pool_08,1.5,mask_a842b06af7760b08,4,0.8081684189421556,0.39828971773386,1.2209569960832596
submission,candidate_pool_09,0.5,mask_a3021efcfb81527e,5,0.41011043409273285,-0.2370622158050537,0.9571855515241623
submission,candidate_pool_09,1.0,mask_6c66643ec3bf086c,6,1.187953741636394,1.0132530108094215,0.9079892411828041
submission,candidate_pool_09,1.5,mask_6c66643ec3bf086c,6,1.187953741636394,1.0132530108094215,0.9883587807416916
additive,candidate_pool_00,0.5,mask_56ee0c60e1cde4b8,5,0.5253747609684359,-0.29170583188533783,1.081124946475029
additive,candidate_pool_00,1.0,mask_b611eb15c1cbe033,4,1.149657237706709,0.9489731825888157,0.8403022922575474
additive,candidate_pool_00,1.5,mask_ff6985d2961f695d,9,1.4952962271657702,1.4977499023079872,1.0535826683044434
additive,candidate_pool_01,0.5,mask_d4041af54a719d70,7,0.4505160454419823,0.42242560535669327,0.7754260674118996
additive,candidate_pool_01,1.0,mask_3507ab216f864cbe,4,0.9791781345224896,0.11102908849716187,1.1137713342905045
additive,candidate_pool_01,1.5,mask_69b8a0bd055bae3b,8,1.4776376698244436,1.2009678706526756,1.2965879887342453
additive,candidate_pool_02,0.5,mask_a0046e43df20ac57,5,0.6004739334518002,0.7904544696211815,0.6725410893559456
additive,candidate_pool_02,1.0,mask_4069015a4c8c7628,4,1.0324960594573795,0.8417636454105377,0.7405745834112167
additive,candidate_pool_02,1.5,mask_3c9ed4cc352cbb27,5,1.43594615130265,0.5670716911554337,1.1592875197529793
additive,candidate_pool_03,0.5,mask_db4ced2a93ad8780,7,0.4987093477532563,0.8311612196266651,0.8552972488105297
additive,candidate_pool_03,1.0,mask_30716df5e75daa97,7,0.960216572156606,1.0189636312425137,0.8354000188410282
additive,candidate_pool_03,1.5,mask_dc2e11f8d6ea9e67,6,1.4232602858023244,0.8194096349179745,1.2286127172410488
additive,candidate_pool_04,0.5,mask_8f5eca4cbcfcb5db,6,0.4384202651366868,1.0981242135167122,1.163027971982956
additive,candidate_pool_04,1.0,mask_5d6868f3c7cf99b3,6,0.9789474798011968,1.2173143848776817,0.8717339783906937
additive,candidate_pool_04,1.5,mask_8b7737474604b389,8,1.7179468805883085,1.4271649047732353,0.8464258462190628
additive,candidate_pool_05,0.5,mask_ae737f6731edb34d,7,0.6083482111078881,1.0157325603067875,0.8511088527739048
additive,candidate_pool_05,1.0,mask_62191f28479b805a,7,0.8511907604846537,1.6501142233610153,1.0941814109683037
additive,candidate_pool_05,1.5,mask_de24099fc59a002a,4,1.4643490868821036,1.188171662390232,0.9420501589775085
additive,candidate_pool_06,0.5,mask_8da4b6178fa2b73e,7,0.4863292926449797,1.1211614944040775,1.1578003652393818
additive,candidate_pool_06,1.0,mask_ba28cb4fde59866a,9,0.9918936301581806,1.7460801266133785,1.0707885958254337
additive,candidate_pool_06,1.5,mask_8a4903df460893e2,6,1.501554756233088,0.6909704282879829,1.1124593615531921
additive,candidate_pool_07,0.5,mask_9401c6bc69ed4d22,10,0.4795606264454627,1.924284167587757,1.6043046936392784
additive,candidate_pool_07,1.0,mask_c4774bd021c06295,7,0.9323045409122872,1.2999259009957314,0.8098096176981926
additive,candidate_pool_07,1.5,mask_83fe021aaca96bf0,5,1.6013994443053128,1.13290785998106,0.8752756118774414
additive,candidate_pool_08,0.5,mask_bda88699e1e7badf,7,0.5080863996561146,-0.008206404745578766,1.1493318676948547
additive,candidate_pool_08,1.0,mask_03ced2f511e0a2f2,10,1.0024133252709846,2.319531846791506,1.4842204563319683
additive,candidate_pool_08,1.5,mask_a9f1de05a2b5cc89,7,1.4114327917056646,1.1625342592597008,0.9049058184027672
additive,candidate_pool_09,0.5,mask_2d90e84a12b72772,4,0.5490153030430085,-0.5778121165931225,1.2224010191857815
additive,candidate_pool_09,1.0,mask_6000c95aa8146da6,7,0.9434042879592084,0.9855005294084549,0.8552601486444473
additive,candidate_pool_09,1.5,mask_ea7ded36b0b6aa15,8,1.4996339055665526,1.18296342715621,0.8204556219279766
all_pairs,candidate_pool_00,0.5,mask_b611eb15c1cbe033,4,0.4483606996792695,0.9489731825888157,0.9225848503410816
all_pairs,candidate_pool_00,1.0,mask_a096a397a7d70275,7,0.9813882140539728,1.4390042498707771,1.1138387694954872
