schema_version,prompt_id,split,family_id,cluster_id,mask_id,mask_bits,bank,pool_id,clean_margin,ablated_margin,drop_from_clean
observerbench.qwen_induction_effect_rows.v1,qseq_00111061ca67072f,train,length_64_gap_8,qcluster_calibration_0036,qmask_06d456004de1cb39,01110001,calibration,,5.110519409179688,4.4994964599609375,0.61102294921875
observerbench.qwen_induction_effect_rows.v1,qseq_00111061ca67072f,train,length_64_gap_8,qcluster_calibration_0036,qmask_084f112a3f66a340,01000000,calibration,,5.110519409179688,4.592712879180908,0.5178065299987793
observerbench.qwen_induction_effect_rows.v1,qseq_00111061ca67072f,train,length_64_gap_8,qcluster_calibration_0036,qmask_09af6c961b392378,01101000,calibration,,5.110519409179688,4.638914108276367,0.4716053009033203
observerbench.qwen_induction_effect_rows.v1,qseq_00111061ca67072f,train,length_64_gap_8,qcluster_calibration_0036,qmask_0e650cebfad0817a,01110101,calibration,,5.110519409179688,4.331666946411133,0.7788524627685545
observerbench.qwen_induction_effect_rows.v1,qseq_00111061ca67072f,train,length_64_gap_8,qcluster_calibration_0036,qmask_113f59615913ad84,01000110,calibration,,5.110519409179688,4.291761875152588,0.8187575340270996
observerbench.qwen_induction_effect_rows.v1,qseq_00111061ca67072f,train,length_64_gap_8,qcluster_calibration_0036,qmask_12ba3e375e85e5f9,00000000,calibration,,5.110519409179688,5.110519409179688,0.0
observerbench.qwen_induction_effect_rows.v1,qseq_00111061ca67072f,train,length_64_gap_8,qcluster_calibration_0036,qmask_1303c60b3695884f,11111011,calibration,,5.110519409179688,2.9705119132995605,2.140007495880127
observerbench.qwen_induction_effect_rows.v1,qseq_00111061ca67072f,train,length_64_gap_8,qcluster_calibration_0036,qmask_14a3a5e1a8c9dba6,01011100,calibration,,5.110519409179688,4.053836345672608,1.05668306350708
observerbench.qwen_induction_effect_rows.v1,qseq_00111061ca67072f,train,length_64_gap_8,qcluster_calibration_0036,qmask_15ab76211490e5f2,10000010,calibration,,5.110519409179688,3.8696656227111816,1.240853786468506
observerbench.qwen_induction_effect_rows.v1,qseq_00111061ca67072f,train,length_64_gap_8,qcluster_calibration_0036,qmask_1aab41fff42ddb08,11000011,calibration,,5.110519409179688,3.174591302871704,1.935928106307984
observerbench.qwen_induction_effect_rows.v1,qseq_00111061ca67072f,train,length_64_gap_8,qcluster_calibration_0036,qmask_1df648c9114d481c,00000110,calibration,,5.110519409179688,4.791299819946289,0.3192195892333983
observerbench.qwen_induction_effect_rows.v1,qseq_00111061ca67072f,train,length_64_gap_8,qcluster_calibration_0036,qmask_24376d429f1c0f4c,01110010,calibration,,5.110519409179688,4.554819583892822,0.5556998252868652
observerbench.qwen_induction_effect_rows.v1,qseq_00111061ca67072f,train,length_64_gap_8,qcluster_calibration_0036,qmask_25793ead7c71bb81,10001100,calibration,,5.110519409179688,3.5604181289672847,1.5501012802124023
observerbench.qwen_induction_effect_rows.v1,qseq_00111061ca67072f,train,length_64_gap_8,qcluster_calibration_0036,qmask_28b4fb1062336401,01100011,calibration,,5.110519409179688,4.649580478668213,0.4609389305114746
observerbench.qwen_induction_effect_rows.v1,qseq_00111061ca67072f,train,length_64_gap_8,qcluster_calibration_0036,qmask_293bd7f513e5488c,00101001,calibration,,5.110519409179688,5.14858627319336,-0.0380668640136717
observerbench.qwen_induction_effect_rows.v1,qseq_00111061ca67072f,train,length_64_gap_8,qcluster_calibration_0036,qmask_2a6601cfebfd729f,00101000,calibration,,5.110519409179688,5.2705297470092765,-0.1600103378295897
observerbench.qwen_induction_effect_rows.v1,qseq_00111061ca67072f,train,length_64_gap_8,qcluster_calibration_0036,qmask_2b881f8c8b0aacb2,00001001,calibration,,5.110519409179688,4.941974639892577,0.1685447692871092
observerbench.qwen_induction_effect_rows.v1,qseq_00111061ca67072f,train,length_64_gap_8,qcluster_calibration_0036,qmask_2bb71e015e60db8a,11101110,calibration,,5.110519409179688,3.088045120239258,2.0224742889404297
observerbench.qwen_induction_effect_rows.v1,qseq_00111061ca67072f,train,length_64_gap_8,qcluster_calibration_0036,qmask_305bdcf2f3fb7953,00100000,calibration,,5.110519409179688,5.317209720611572,-0.2066903114318847
observerbench.qwen_induction_effect_rows.v1,qseq_00111061ca67072f,train,length_64_gap_8,qcluster_calibration_0036,qmask_31b0c0109c2305bd,10110010,calibration,,5.110519409179688,3.902664661407471,1.2078547477722168
observerbench.qwen_induction_effect_rows.v1,qseq_00111061ca67072f,train,length_64_gap_8,qcluster_calibration_0036,qmask_32e8e84428256102,00010001,calibration,,5.110519409179688,4.792986869812012,0.3175325393676757
observerbench.qwen_induction_effect_rows.v1,qseq_00111061ca67072f,train,length_64_gap_8,qcluster_calibration_0036,qmask_32f1960c0b93558b,00000011,calibration,,5.110519409179688,4.930705547332764,0.1798138618469238
observerbench.qwen_induction_effect_rows.v1,qseq_00111061ca67072f,train,length_64_gap_8,qcluster_calibration_0036,qmask_373cb0186a2259c5,00001011,calibration,,5.110519409179688,4.838621139526367,0.2718982696533203
observerbench.qwen_induction_effect_rows.v1,qseq_00111061ca67072f,train,length_64_gap_8,qcluster_calibration_0036,qmask_38dbb939a155e20e,01011011,calibration,,5.110519409179688,4.087159156799316,1.023360252380371
observerbench.qwen_induction_effect_rows.v1,qseq_00111061ca67072f,train,length_64_gap_8,qcluster_calibration_0036,qmask_3deea5ac237d9af5,10000011,calibration,,5.110519409179688,3.747645378112793,1.3628740310668943
observerbench.qwen_induction_effect_rows.v1,qseq_00111061ca67072f,train,length_64_gap_8,qcluster_calibration_0036,qmask_453ac6b5fdae7bc3,11100000,calibration,,5.110519409179688,3.576237678527832,1.5342817306518557
observerbench.qwen_induction_effect_rows.v1,qseq_00111061ca67072f,train,length_64_gap_8,qcluster_calibration_0036,qmask_474a0e66e0b2c0f2,11000110,calibration,,5.110519409179688,3.0485143661499023,2.0620050430297847
observerbench.qwen_induction_effect_rows.v1,qseq_00111061ca67072f,train,length_64_gap_8,qcluster_calibration_0036,qmask_4873554a37bdf6dd,11111000,calibration,,5.110519409179688,3.0674047470092773,2.0431146621704106
observerbench.qwen_induction_effect_rows.v1,qseq_00111061ca67072f,train,length_64_gap_8,qcluster_calibration_0036,qmask_514c2877bf4be10c,00110000,calibration,,5.110519409179688,5.1225666999816895,-0.0120472908020018
observerbench.qwen_induction_effect_rows.v1,qseq_00111061ca67072f,train,length_64_gap_8,qcluster_calibration_0036,qmask_52587a401f8c4572,01000010,calibration,,5.110519409179688,4.492961883544922,0.6175575256347656
observerbench.qwen_induction_effect_rows.v1,qseq_00111061ca67072f,train,length_64_gap_8,qcluster_calibration_0036,qmask_52846b088b2bf67d,10011101,calibration,,5.110519409179688,3.3309640884399414,1.779555320739746
observerbench.qwen_induction_effect_rows.v1,qseq_00111061ca67072f,train,length_64_gap_8,qcluster_calibration_0036,qmask_537109997b74dffe,11111101,calibration,,5.110519409179688,2.852118015289306,2.258401393890381
observerbench.qwen_induction_effect_rows.v1,qseq_00111061ca67072f,train,length_64_gap_8,qcluster_calibration_0036,qmask_5512dd1d0711aac7,01000001,calibration,,5.110519409179688,4.473737716674805,0.6367816925048828
observerbench.qwen_induction_effect_rows.v1,qseq_00111061ca67072f,train,length_64_gap_8,qcluster_calibration_0036,qmask_553f777786a2ca07,10010111,calibration,,5.110519409179688,3.339609146118164,1.7709102630615234
