prompt_id,source_prompt_id,family_id,source_cluster_id,mask_id,mask_bits,kl_clean_to_intervened,total_variation
qcontrol_c5d556b6682f2e9e,qseq_53402bb64e257a4c,length_32_gap_8,qcluster_locked_test_0000,qmask_95e119f889d86d43,00111011,0.027561832219362259,0.093955174088478088
qcontrol_3d6dbff59ab97005,qseq_063d071a40a8b975,length_32_gap_8,qcluster_locked_test_0001,qmask_95e119f889d86d43,00111011,0.022766651585698128,0.073781028389930725
qcontrol_8e25272f30b8e1de,qseq_2b370320aa590f4a,length_32_gap_8,qcluster_locked_test_0002,qmask_95e119f889d86d43,00111011,0.010823525488376617,0.058720644563436508
qcontrol_ed063b6dcfd273db,qseq_62b2d7ba14f996e1,length_32_gap_8,qcluster_locked_test_0003,qmask_95e119f889d86d43,00111011,0.0095008835196495056,0.054146092385053635
qcontrol_87bb7269d412a6c7,qseq_fc7b565459a3a9ce,length_32_gap_8,qcluster_locked_test_0004,qmask_95e119f889d86d43,00111011,0.014582438394427299,0.066577896475791931
qcontrol_d2eaa38d58430d7b,qseq_855a3f3d1d296cbe,length_32_gap_8,qcluster_locked_test_0005,qmask_95e119f889d86d43,00111011,0.027465930208563805,0.092784896492958069
qcontrol_24a73d4e4e356b54,qseq_bc6acb92c469fef7,length_32_gap_8,qcluster_locked_test_0006,qmask_95e119f889d86d43,00111011,0.096801094710826874,0.17612479627132416
qcontrol_ab5c86c16f90de00,qseq_8ca468b64440782b,length_32_gap_8,qcluster_locked_test_0007,qmask_95e119f889d86d43,00111011,0.091314747929573059,0.16599619388580322
qcontrol_0467ed43d31cbc26,qseq_3f0bb4eae1f06111,length_32_gap_8,qcluster_locked_test_0008,qmask_95e119f889d86d43,00111011,0.0088119739666581154,0.050391104072332382
qcontrol_5c4599f1f5150e80,qseq_545d27c10930d8dd,length_32_gap_8,qcluster_locked_test_0009,qmask_95e119f889d86d43,00111011,0.043636616319417953,0.11563342809677124
qcontrol_fdba721e76249374,qseq_c3a8805eafca385c,length_32_gap_8,qcluster_locked_test_0010,qmask_95e119f889d86d43,00111011,0.0041031232103705406,0.035073086619377136
qcontrol_cd16adfe498ec968,qseq_1428b8e6a33bc034,length_32_gap_8,qcluster_locked_test_0011,qmask_95e119f889d86d43,00111011,0.016539458185434341,0.06906997412443161
qcontrol_e729907ce7696489,qseq_dc48f394593bb573,length_32_gap_8,qcluster_locked_test_0012,qmask_95e119f889d86d43,00111011,0.23307174444198608,0.25940805673599243
qcontrol_668baf9e860bb680,qseq_84d55da9d8a1c3ec,length_32_gap_8,qcluster_locked_test_0013,qmask_95e119f889d86d43,00111011,0.0057969279587268829,0.041589967906475067
qcontrol_c97b66b834c31d9f,qseq_ad68734add0ca673,length_32_gap_8,qcluster_locked_test_0014,qmask_95e119f889d86d43,00111011,0.0098808063194155693,0.055121701210737228
