prompt_id,bank,family_id,cluster_id,token_bank_id,input_ids,target_token_id,distractor_token_id_1,distractor_token_id_2,key_positions,source_value_positions,source_key_position,source_value_position,query_position,sequence_length,repeat_gap
qseq_66d4a3ac8c3f6e0a,reference,length_32_gap_8,qcluster_reference_0000,qbank_reference_ff5edd7d9841,17219 101948 125114 116498 82737 77391 3588 95527 2130 17324 56402 43701 113724 19083 28214 107658 27953 120128 110537 67754 18825 96632 96508 72188 85119 62619 5222 49916 117001 29757 99767 72188,85119,82737,113724,23 3 11,24 4 12,23,24,31,32,8
qseq_8b57daff4cb033b4,reference,length_32_gap_8,qcluster_reference_0001,qbank_reference_ff5edd7d9841,21033 108848 53615 16569 98607 18992 116498 103377 17219 130092 50391 57212 146348 148116 26557 62619 120128 51892 148585 115091 50221 80350 110538 148171 29193 28150 88087 14463 76556 93488 114680 148171,29193,98607,80350,23 3 20,24 4 21,23,24,31,32,8
qseq_337d666642a11a76,reference,length_32_gap_16,qcluster_reference_0000,qbank_reference_ff5edd7d9841,96042 149528 31030 103716 70463 6072 124930 79297 133913 97669 117001 109280 134825 130256 96632 74600 127367 111588 118430 140349 142376 148146 78874 29193 113530 2078 7093 148652 30508 30514 30707 74600,127367,7093,30707,15 25 29,16 26 30,15,16,31,32,16
qseq_243cf47ad32034fb,reference,length_32_gap_16,qcluster_reference_0001,qbank_reference_ff5edd7d9841,47331 112778 53119 117001 29193 30094 149330 62619 94876 98481 67987 55820 69781 73161 18752 120196 119551 132677 12824 29387 96891 90507 85973 116498 51654 64960 60269 68874 14478 129047 120301 120196,119551,98481,29193,15 8 3,16 9 4,15,16,31,32,16
qseq_1b77fc2b1b0970b9,reference,length_64_gap_8,qcluster_reference_0000,qbank_reference_ff5edd7d9841,117883 46030 2950 138968 148146 33419 133913 148171 56553 149342 85208 129047 74288 996 56095 78874 75938 83093 90507 129234 16569 76921 15267 51892 83428 62110 96578 60578 130729 66299 52900 6556 40415 120128 81223 119471 49925 25537 22497 95829 24969 30469 68874 85294 140185 51736 13438 77974 42294 92588 132576 145781 110207 115186 82770 35761 14447 98607 150039 119172 90534 85646 79115 35761,14447,25537,15267,55 36 21,56 37 22,55,56,63,64,8
qseq_b2af39c9575654d9,reference,length_64_gap_8,qcluster_reference_0001,qbank_reference_ff5edd7d9841,8836 121264 1274 119551 150847 125935 60854 19083 128082 86227 64344 104658 50866 142604 103377 113836 29139 18517 44499 151359 135113 116498 138539 5222 54820 78874 16592 142376 18748 26048 41564 100304 22291 122854 16569 69420 125260 114753 92588 94503 81223 93329 111588 104505 55820 101579 2418 129286 101948 53119 83093 24346 13000 31030 85119 138023 96508 111336 13487 110691 113530 71371 119726 138023,96508,151359,103377,55 18 13,56 19 14,55,56,63,64,8
qseq_58e09ddaafe27a3f,reference,length_64_gap_16,qcluster_reference_0000,qbank_reference_ff5edd7d9841,93859 33958 6163 19558 129047 78874 114050 109766 26994 52689 30514 109352 148652 129286 85208 57192 62619 113530 101262 49236 65378 131327 140068 79115 103665 95038 110691 148146 96511 113128 29139 16799 100175 72188 133570 139189 30707 125210 60269 98194 77781 147853 1274 63507 98789 49746 107565 134249 95294 107658 77898 56402 6072 27711 85294 85119 136798 54866 57391 39526 1358 27953 42669 134249,95294,30707,100175,47 35 31,48 36 32,47,48,63,64,16
qseq_32d92d5be2357d88,reference,length_64_gap_16,qcluster_reference_0001,qbank_reference_ff5edd7d9841,50866 13384 15670 1864 109266 134697 137656 53119 23278 134094 149342 21708 14390 16799 129234 55820 52689 84921 118916 4308 142376 13161 9753 73784 94876 40415 134517 113530 83428 117463 148171 54820 16569 7093 5222 148547 139747 127367 13975 82770 78874 103716 147297 85119 97669 21033 146874 47240 110702 117001 7222 125114 29755 9724 57391 67987 141795 34849 64311 101579 23606 101417 123006 47240,110702,57391,4308,47 53 18,48 54 19,47,48,63,64,16
qseq_707a515a3016a7b4,discovery,length_32_gap_8,qcluster_discovery_0000,qbank_discovery_f38b0a27ea10,9354 138428 100123 19601 92584 31401 100017 26278 70287 130158 63187 126297 4330 117599 95094 139028 120517 141981 68554 108421 118277 114791 65777 148730 10877 68138 6927 5521 18742 144712 47699 148730,10877,120517,126297,23 15 10,24 16 11,23,24,31,32,8
qseq_8b9a83fd583f6f96,discovery,length_32_gap_8,qcluster_discovery_0001,qbank_discovery_f38b0a27ea10,91168 18331 100123 9513 64969 99501 138277 43853 19637 96926 37974 97834 150587 62270 4511 79616 68310 108269 92278 83542 119301 1027 147885 115131 28037 19601 6342 108256 145350 82152 69651 115131,28037,138277,69651,23 5 29,24 6 30,23,24,31,32,8
qseq_0a67a1d768b260da,discovery,length_32_gap_16,qcluster_discovery_0000,qbank_discovery_f38b0a27ea10,140821 70388 115859 132737 54463 116353 72331 92564 145078 79616 105700 122944 37974 84987 27059 61660 128131 104306 120619 134098 18609 63301 87546 134902 37129 122949 99501 108256 69573 113044 133854 61660,128131,105700,54463,15 9 3,16 10 4,15,16,31,32,16
qseq_d76c411b449cb5d7,discovery,length_32_gap_16,qcluster_discovery_0001,qbank_discovery_f38b0a27ea10,123128 56151 48547 138428 24193 115459 61566 99077 48670 98423 120619 138856 22252 124525 73520 68963 132325 2908 115859 65777 7676 27375 140769 32965 117475 141891 45544 84746 65404 106921 9979 68963,132325,56151,24193,15 0 3,16 1 4,15,16,31,32,16
qseq_8ed150c9a81c089c,discovery,length_64_gap_8,qcluster_discovery_0000,qbank_discovery_f38b0a27ea10,36668 149167 134109 121395 131398 19490 84331 66897 15268 8 114177 82152 58436 74030 84746 114156 9468 25595 105084 3458 73520 78097 99913 65777 92823 90597 63478 129379 84987 114497 125738 143149 108489 122888 18742 62270 92648 48353 1729 144494 25854 134618 117599 118703 80917 32281 25059 136729 20621 133197 30887 54646 34093 96256 50343 115859 128979 7435 115459 38791 68963 50621 68310 115859,128979,74030,90597,55 12 24,56 13 25,55,56,63,64,8
qseq_0c7d30257bb4a6f9,discovery,length_64_gap_8,qcluster_discovery_0001,qbank_discovery_f38b0a27ea10,27059 87711 119444 100123 38216 96256 142861 127556 122888 38040 4511 71677 138856 54249 132325 125900 51437 108421 54743 106921 73930 24193 28165 18609 14838 23298 19601 59487 125738 1631 114791 147885 3618 51545 136897 25530 19424 6927 19112 44552 17853 136236 96301 28748 56415 52627 46646 106172 102190 29754 115640 66897 113907 57976 78149 64830 9005 18331 99913 90250 18080 14337 97860 64830,9005,138856,4511,55 11 9,56 12 10,55,56,63,64,8
qseq_603733cb73522cbb,discovery,length_64_gap_16,qcluster_discovery_0000,qbank_discovery_f38b0a27ea10,3618 105700 85950 10877 87711 151358 102190 84331 94051 126389 8 144494 92278 115459 134098 51097 63633 109416 73314 99553 69210 91168 23298 131398 106172 78427 36353 51361 79171 126297 111630 67303 35698 54743 68310 69475 105701 34540 144582 124013 108256 21294 113907 19490 108929 84171 115859 117599 110872 15744 92823 66643 107186 87523 114080 88281 143149 115049 4511 54863 63301 119439 144289 117599,110872,73314,94051,47 17 7,48 18 8,47,48,63,64,16
qseq_7b11b14207439479,discovery,length_64_gap_16,qcluster_discovery_0001,qbank_discovery_f38b0a27ea10,78097 77370 91783 78199 128131 47191 66642 138428 29432 109416 14902 34540 63187 62990 65777 134098 43853 92823 59487 87862 44552 113157 34 25854 138856 54463 7435 6399 48847 85055 108256 4511 9468 6927 33589 108672 118277 108294 115640 93825 35603 132325 57976 130620 21467 10377 68963 124013 107186 62841 1027 66023 30835 147885 132737 150741 4305 100123 58273 35810 94445 102190 5521 124013,107186,43853,108672,47 15 34,48 16 35,47,48,63,64,16
qseq_f08f63cce7fc04e2,head_fit,length_32_gap_8,qcluster_head_fit_0000,qbank_head_fit_c3e1edbd3287,30857 58478 88530 87429 12325 120758 51937 73093 6411 94023 36983 112090 8114 19893 115969 33708 90694 25884 114035 80536 7246 4360 145117 54395 26668 86791 8104 26945 103205 80704 8124 54395,26668,36983,26945,23 9 26,24 10 27,23,24,31,32,8
qseq_bba4a48735465e09,head_fit,length_32_gap_8,qcluster_head_fit_0001,qbank_head_fit_c3e1edbd3287,93818 38752 101753 57823 7761 6136 104468 57764 105945 61017 99963 141660 32251 10359 17579 82000 79937 64985 119596 31224 113209 105791 23863 136731 145631 110090 73507 87459 151036 25884 133075 136731,145631,7761,31224,23 3 18,24 4 19,23,24,31,32,8
qseq_1015b6bfbc1b4b6a,head_fit,length_32_gap_16,qcluster_head_fit_0000,qbank_head_fit_c3e1edbd3287,22480 89808 8124 125512 19908 57339 41833 73093 125283 3857 143086 35133 132852 60139 113377 19893 27651 36902 49790 4501 40881 84143 44039 40634 109097 34425 149495 67236 100608 128312 47943 19893,27651,40881,41833,15 19 5,16 20 6,15,16,31,32,16
qseq_fe346a0119520d07,head_fit,length_32_gap_16,qcluster_head_fit_0001,qbank_head_fit_c3e1edbd3287,126294 150874 21781 30921 117509 5703 135824 132694 4883 89808 6961 10194 57094 34061 102911 109849 110034 51865 134904 32016 128482 61016 3199 81803 82267 111128 11491 140652 139716 38752 35133 109849,110034,57094,3199,15 11 21,16 12 22,15,16,31,32,16
qseq_bee9c76bad097f90,head_fit,length_64_gap_8,qcluster_head_fit_0000,qbank_head_fit_c3e1edbd3287,61729 131268 51072 80536 140652 118872 10184 26945 54395 10224 117351 136731 135824 40634 145635 21480 32904 15124 51865 64985 51793 51937 102911 82564 9424 128312 110034 111128 12595 49790 40881 47451 53316 52966 143230 14554 129931 126294 78859 3887 69139 134904 79550 82969 44547 828 109849 26774 61144 47943 73507 91638 33881 143964 60851 130668 83788 34682 93220 112103 6210 25068 93325 130668,83788,64985,44547,55 18 43,56 19 44,55,56,63,64,8
qseq_adedd3084305316c,head_fit,length_64_gap_8,qcluster_head_fit_0001,qbank_head_fit_c3e1edbd3287,149223 56285 111006 58038 43195 61925 3887 53537 58936 82564 36714 604 88530 51072 81253 101987 66562 20645 141458 49790 105582 82507 64934 30857 143722 128931 19020 151036 51937 126362 81327 47018 19392 107671 7836 32414 10194 130401 111128 8781 100827 7188 79966 27806 105791 117678 74276 85880 118102 90651 139064 43049 52966 64057 119684 119865 44947 35872 9424 68589 65823 19893 110278 119865,44947,27806,111128,55 42 37,56 43 38,55,56,63,64,8
qseq_047b3462ecb2f009,head_fit,length_64_gap_16,qcluster_head_fit_0000,qbank_head_fit_c3e1edbd3287,112697 19908 7188 32485 134904 109703 132694 6411 105791 49790 4883 72990 114993 48582 32016 80288 69409 107671 19893 67372 51865 26774 60676 73093 112398 101437 71927 86910 71643 101753 128312 31456 109240 100212 3887 53316 15379 40919 139529 80704 28829 65823 75420 138495 127528 40113 80471 8114 149223 828 86791 62161 90694 142241 8124 61016 31351 42401 17138 145635 82969 81253 147393 8114,149223,53316,62161,47 34 50,48 35 51,47,48,63,64,16
qseq_aea7553dc1176e16,head_fit,length_64_gap_16,qcluster_head_fit_0001,qbank_head_fit_c3e1edbd3287,5287 92270 39372 77163 96375 78503 124450 105945 89360 40634 131915 77676 71555 56825 16916 103205 131089 2301 146527 138495 52071 150743 20645 92813 118093 80471 17579 61016 141458 3199 102118 57764 1220 146428 111672 22480 41833 76979 111128 81327 70700 81823 117053 25884 80288 44970 79256 139064 58478 92281 108199 119684 139058 61283 13855 48582 2048 60139 51793 82564 81253 149223 61017 139064,58478,25884,138495,47 42 18,48 43 19,47,48,63,64,16
qseq_a11a3ab43f93037d,head_test,length_32_gap_8,qcluster_head_test_0000,qbank_head_test_b8aec0dbf91e,101106 7092 61666 94065 134018 148507 22772 72384 13973 66140 46300 58914 126267 48878 6782 150867 70868 15678 130892 29650 132836 103037 95035 86711 138957 74512 57662 29030 50124 25091 119442 86711,138957,130892,94065,23 17 2,24 18 3,23,24,31,32,8
qseq_e5399742b3ceb08d,head_test,length_32_gap_8,qcluster_head_test_0001,qbank_head_test_b8aec0dbf91e,74938 123056 132836 143596 57662 87184 75065 72642 2736 16 41876 83691 147102 72194 86200 131116 27125 110534 68196 39015 42163 3138 109173 138634 59218 133274 19276 119615 108026 138818 79776 138634,59218,72642,109173,23 6 21,24 7 22,23,24,31,32,8
qseq_51ecb1eefd030048,head_test,length_32_gap_16,qcluster_head_test_0000,qbank_head_test_b8aec0dbf91e,46883 60361 94850 7417 127123 82840 101106 72642 88098 88283 29650 5492 41944 42952 48726 11562 110462 105282 24613 123263 123056 42778 4849 85111 117800 138775 9511 148861 8213 19276 138279 11562,110462,7417,101106,15 2 5,16 3 6,15,16,31,32,16
qseq_af6ba2de5ff8aacc,head_test,length_32_gap_16,qcluster_head_test_0001,qbank_head_test_b8aec0dbf91e,110534 52831 8520 127623 79810 117247 35687 95054 42597 117800 3617 10402 96733 48517 38061 21250 57662 150757 4108 121822 72384 112539 104756 121390 44586 135721 28320 29030 103313 101455 33175 21250,57662,95054,3617,15 6 9,16 7 10,15,16,31,32,16
qseq_40d982bca5d1f631,head_test,length_64_gap_8,qcluster_head_test_0000,qbank_head_test_b8aec0dbf91e,15698 14430 125844 27272 50496 60568 29441 143826 880 150867 120688 18176 116939 126793 47669 115842 64996 38 107169 130676 41116 53474 32119 140683 121254 104455 52831 29984 86043 64685 96733 103164 58666 96465 4108 59218 73592 147442 31393 101282 23956 70998 75065 46035 86082 110462 44492 109173 87072 64804 94059 126267 13973 8213 115808 104949 125320 94850 7793 15222 91930 20266 4849 104949,125320,116939,96465,55 11 32,56 12 33,55,56,63,64,8
qseq_fedbb135a4a0e895,head_test,length_64_gap_8,qcluster_head_test_0001,qbank_head_test_b8aec0dbf91e,85111 80667 50496 130892 82840 76768 18806 17667 95372 88283 41876 86043 983 33829 97569 117800 48137 117474 43413 131116 23707 106299 68943 116378 72866 130676 109173 68349 9498 44492 123109 127123 21834 93094 70405 51459 89131 77573 75544 39015 66751 138560 29650 110462 81324 12198 113574 99663 1736 42163 89042 9511 104230 44505 146953 70392 97815 92868 35244 16468 134527 81017 74229 70392,97815,80667,81324,55 0 43,56 1 44,55,56,63,64,8
qseq_26f35bbfc91408b8,head_test,length_64_gap_16,qcluster_head_test_0000,qbank_head_test_b8aec0dbf91e,86666 147442 22689 53474 61700 116778 95502 96399 27272 141572 48726 27125 126020 66566 53219 31518 48993 15132 72147 95696 84583 79810 23516 87757 12198 93434 123071 151417 72194 113576 21250 135831 6509 7417 77432 58666 107807 88098 6231 105282 130676 28731 10846 107589 129133 26559 96465 125844 9543 63808 104697 125320 18806 121157 112352 45384 92754 74062 880 66140 31875 76899 94850 125844,9543,27272,77432,47 7 33,48 8 34,47,48,63,64,16
qseq_55e16f7a819d23cd,head_test,length_64_gap_16,qcluster_head_test_0001,qbank_head_test_b8aec0dbf91e,48105 35244 96465 26559 125844 137241 7793 134966 95880 91519 16468 72688 88283 824 44505 97533 7190 10846 29640 145331 12711 42509 96449 13965 104697 94021 4108 66751 103037 147726 83691 108029 18176 38508 116778 27180 58256 110884 879 68349 98190 107807 48137 33732 48517 139471 25091 113040 46842 29650 101282 132017 44492 118736 99677 52831 94065 68943 116054 31875 59218 119638 92282 113040,46842,26559,101282,47 2 49,48 3 50,47,48,63,64,16
