support_mode,metric,estimate_effect_at_first_order_direction_fo_minus_lifted,estimate_effect_at_lifted_direction_fo_minus_lifted,direction_effect_at_first_order_estimate_fo_minus_lifted,direction_effect_at_lifted_estimate_fo_minus_lifted,estimate_by_direction_interaction
projected,integrated_squared_error,9.385781774007285e-08,9.38577928710771e-08,7.438276661275722e-10,7.438027971318206e-10,2.4868995751603507e-14
projected,integrated_absolute_error,3.4305596541273076e-07,3.430558899175651e-07,2.5264084158038713e-09,2.526332920638197e-09,7.549516567451064e-14
projected,final_target_mse,-1.948095283002614e-09,-1.9480950564721225e-09,-1.5893305470521604e-11,-1.589307894003019e-11,-2.265304914136901e-16
projected,cumulative_collateral_abs,-1.4471689144812672e-06,-1.4471685894079656e-06,-1.9993980870935957e-07,-1.9993948363605796e-07,-3.2507330161024584e-13
projected,actuation_energy_l1,-1.0615678306180598e-05,-1.0615675591907348e-05,1.3488105992109922e-06,1.3488133134842428e-06,-2.7142732506035827e-12
projected,observer_bias_mae_path,-1.003254462370734e-07,-1.0032542246095344e-07,-7.927118423484147e-10,-7.92688066228453e-10,-2.3776119961738118e-14
projected,large_error_trajectory_rate,0.0,0.0,0.0,0.0,0.0
projected,observer_self_gain,1.3424076772405868e-07,1.3424073597168018e-07,1.0542082762299287e-09,1.0541765238514245e-09,3.175237850427948e-14
projected,observer_error_pole_unsaturated,-4.6984268697869425e-08,-4.698425759563918e-08,-3.6897296329385654e-10,-3.689618610636103e-10,-1.1102230246251565e-14
projected,mean_residual_off_support_l2_path,4.201740536345819e-16,2.459143857886764e-16,-4.702580537323055e-16,-6.44517721578211e-16,1.742596678459055e-16
unprojected,integrated_squared_error,-2.459947054944678e-07,-2.4599462733476685e-07,-9.215214902269508e-08,-9.215207086299415e-08,-7.815970093361102e-14
unprojected,integrated_absolute_error,-6.337964819636e-08,-6.337962332736424e-08,-2.2246776865131324e-08,-2.2246751996135572e-08,-2.4868995751603507e-14
unprojected,final_target_mse,-6.840813071562479e-08,-6.84081129520564e-08,-2.372068053091425e-08,-2.3720662767345857e-08,-1.7763568394002505e-14
unprojected,cumulative_collateral_abs,-1.0530181171475306e-09,-1.053017506524867e-09,1.2064109766729558e-08,1.2064110377352222e-08,-6.106226635438361e-16
unprojected,actuation_energy_l1,-1.1396181420764151e-07,-1.1396178578593208e-07,-7.223036391224014e-09,-7.223007969514583e-09,-2.842170943040401e-14
unprojected,observer_bias_mae_path,-7.040098504162984e-09,-7.0400962837169345e-09,-2.41580333515401e-09,-2.4158011147079606e-09,-2.220446049250313e-15
unprojected,large_error_trajectory_rate,0.0,0.0,0.0,0.0,0.0
unprojected,observer_self_gain,1.8588497650851021e-09,1.8588492446680593e-09,5.005790105344632e-10,5.005784901174204e-10,5.204170427930421e-16
unprojected,observer_error_pole_unsaturated,-6.505973537684895e-10,-6.50597242746187e-10,-1.7520263018155902e-10,-1.7520251915925655e-10,-1.1102230246251565e-16
unprojected,mean_residual_off_support_l2_path,-6.9358310206268925e-09,-6.935827467913214e-09,-4.321796254203036e-09,-4.3217927014893576e-09,-3.552713678800501e-15
