model,measurement_budget,term,coefficient
additive_head,20,intercept,-0.24877508253117903
additive_head,20,P:9.9,1.0973391068578837
additive_head,20,P:9.6,0.35407922924599927
additive_head,20,P:10.0,0.44132545931818085
additive_head,20,B:9.0,0.8307277799035832
additive_head,20,B:9.7,0.14464286341717564
additive_head,20,B:10.1,0.2539353332179994
additive_head,20,B:10.2,0.10637303936930237
additive_head,20,B:10.6,0.4409817364378513
additive_head,20,B:10.10,-0.0702244733647573
additive_head,20,B:11.2,0.06925362662954833
additive_head,20,B:11.9,0.16449010984533155
additive_head,20,E:10.7,-1.2788604892799889
additive_head,20,E:11.10,-1.3099969691313933
additive_head,40,intercept,-0.3072268445031412
additive_head,40,P:9.9,1.422311517533585
additive_head,40,P:9.6,0.032523009257969665
additive_head,40,P:10.0,0.4040791298098825
additive_head,40,B:9.0,0.5913263944556244
additive_head,40,B:9.7,-0.22274572282206087
additive_head,40,B:10.1,0.12193918749631018
additive_head,40,B:10.2,0.052185715710062024
additive_head,40,B:10.6,0.29422536291504964
additive_head,40,B:10.10,-0.23368711061885292
additive_head,40,B:11.2,-0.10349844718221039
additive_head,40,B:11.9,-0.018665673041477808
additive_head,40,E:10.7,-1.0720729182973006
additive_head,40,E:11.10,-0.6458908352861775
additive_head,80,intercept,-0.4384431670309775
additive_head,80,P:9.9,1.5213333649249583
additive_head,80,P:9.6,-0.16949839107209347
additive_head,80,P:10.0,0.6336125328904076
additive_head,80,B:9.0,0.13298719731871012
additive_head,80,B:9.7,0.25539709786648995
additive_head,80,B:10.1,0.07074204743055365
additive_head,80,B:10.2,0.11994136382215828
additive_head,80,B:10.6,0.3660708441290396
additive_head,80,B:10.10,0.21847549980128503
additive_head,80,B:11.2,-0.43683231539571055
additive_head,80,B:11.9,0.00870072799373389
additive_head,80,E:10.7,-0.9917840791689309
additive_head,80,E:11.10,-1.0552294960154718
additive_head,160,intercept,-0.6444033983783699
additive_head,160,P:9.9,1.4429197593295375
additive_head,160,P:9.6,-0.1326663537465247
additive_head,160,P:10.0,0.651776694319389
additive_head,160,B:9.0,0.1482579215602247
additive_head,160,B:9.7,0.24940971833265144
additive_head,160,B:10.1,0.06560860493043816
additive_head,160,B:10.2,0.16507020575762216
additive_head,160,B:10.6,0.4567680167801602
additive_head,160,B:10.10,0.2773217495769699
additive_head,160,B:11.2,-0.36624442249428585
additive_head,160,B:11.9,-0.05155257331889113
additive_head,160,E:10.7,-0.9465244700600899
additive_head,160,E:11.10,-0.988558722146992
count_additive,20,intercept,1.0761486246346764e-06
count_additive,20,P:9.9,0.6684588715262745
count_additive,20,P:9.6,-0.24352401846966512
count_additive,20,P:10.0,0.49265077511036526
count_additive,20,B:9.0,0.02604550157176708
count_additive,20,B:9.7,0.30545880581601625
count_additive,20,B:10.1,0.12149496859106998
count_additive,20,B:10.2,-0.002753975060588232
count_additive,20,B:10.6,0.33185472200796085
count_additive,20,B:10.10,0.18520653046041963
count_additive,20,B:11.2,-0.4421723446764966
count_additive,20,B:11.9,0.03204974521840169
count_additive,20,E:10.7,-0.902940271969706
count_additive,20,E:11.10,-0.46461418324682385
count_additive,20,P_count_eq_1,-0.10980694177158842
count_additive,20,P_count_eq_2,-0.8045364647100814
count_additive,20,P_count_eq_3,0.8788218340579523
count_additive,20,B_count_eq_1,-0.02726112325141582
count_additive,20,B_count_2_3,-0.4915547919110095
count_additive,20,B_count_4_5,-1.4299167771750736
count_additive,20,B_count_6_8,1.3556632509678057
count_additive,20,E_count_eq_1,-0.704345394656277
count_additive,20,E_count_eq_2,-0.33160452895217835
count_additive,40,intercept,-0.6705755002164925
count_additive,40,P:9.9,1.355103103850675
count_additive,40,P:9.6,0.08453902882578848
count_additive,40,P:10.0,0.3682860166951899
count_additive,40,B:9.0,0.4203962665928385
count_additive,40,B:9.7,-0.4868073794299631
count_additive,40,B:10.1,-0.23113624754473044
count_additive,40,B:10.2,-0.1193832614876906
count_additive,40,B:10.6,0.07295024007826688
count_additive,40,B:10.10,-0.650728393187327
count_additive,40,B:11.2,-0.44732728934085236
count_additive,40,B:11.9,-0.3514016321294189
count_additive,40,E:10.7,-0.9569981801822094
count_additive,40,E:11.10,-0.19801529916435706
count_additive,40,P_count_eq_1,0.16810851135000315
count_additive,40,P_count_eq_2,0.18571812624018824
count_additive,40,P_count_eq_3,0.4227944635045368
count_additive,40,B_count_eq_1,0.8508125330267213
count_additive,40,B_count_2_3,0.5725244760225816
count_additive,40,B_count_4_5,1.4326145652253113
count_additive,40,B_count_6_8,2.160550980627962
count_additive,40,E_count_eq_1,0.08173085464278497
count_additive,40,E_count_eq_2,-0.6183721651815924
count_additive,80,intercept,-0.43707278035910246
count_additive,80,P:9.9,1.390223173986033
count_additive,80,P:9.6,-0.2615126110919773
count_additive,80,P:10.0,0.5127108493836074
count_additive,80,B:9.0,0.19901891691632118
count_additive,80,B:9.7,0.33098177437374443
count_additive,80,B:10.1,0.1438175847860238
count_additive,80,B:10.2,0.1760891441119122
count_additive,80,B:10.6,0.42867141353601795
count_additive,80,B:10.10,0.2798716757550613
count_additive,80,B:11.2,-0.37087526201737414
count_additive,80,B:11.9,0.081918129619608
count_additive,80,E:10.7,-0.6746580109808525
count_additive,80,E:11.10,-0.7053692662503196
count_additive,80,P_count_eq_1,0.09980615515332612
count_additive,80,P_count_eq_2,0.12646685950052203
count_additive,80,P_count_eq_3,0.42956051319439825
count_additive,80,B_count_eq_1,-0.028318139161732207
count_additive,80,B_count_2_3,-0.35436328749596785
count_additive,80,B_count_4_5,-0.491708893008561
count_additive,80,B_count_6_8,-0.3221451301199878
count_additive,80,E_count_eq_1,-0.10961564048655689
count_additive,80,E_count_eq_2,-0.6352058120856539
count_additive,160,intercept,-0.5471591010630894
count_additive,160,P:9.9,1.3290826941894134
count_additive,160,P:9.6,-0.2448371725978829
count_additive,160,P:10.0,0.5328350949245643
count_additive,160,B:9.0,0.2034551418350482
count_additive,160,B:9.7,0.30356190181239084
count_additive,160,B:10.1,0.10131265477699371
count_additive,160,B:10.2,0.20816240017575788
count_additive,160,B:10.6,0.5092035463558103
count_additive,160,B:10.10,0.3294554167002939
count_additive,160,B:11.2,-0.3068227772403454
count_additive,160,B:11.9,0.005227923886701632
count_additive,160,E:10.7,-0.6405954413622517
count_additive,160,E:11.10,-0.6747729366699827
count_additive,160,P_count_eq_1,0.09919721696784255
count_additive,160,P_count_eq_2,0.19853738054984904
count_additive,160,P_count_eq_3,0.37360288781584655
count_additive,160,B_count_eq_1,-0.1337815767909682
count_additive,160,B_count_2_3,-0.4101742313039964
count_additive,160,B_count_4_5,-0.48032678208737
count_additive,160,B_count_6_8,-0.37094292663162765
count_additive,160,E_count_eq_1,-0.09658560770227238
count_additive,160,E_count_eq_2,-0.6093914058320191
count_plus_PE_bin4,20,intercept,5.637289446136507e-07
count_plus_PE_bin4,20,P:9.9,0.5760466369269203
count_plus_PE_bin4,20,P:9.6,-0.33593625218992923
count_plus_PE_bin4,20,P:10.0,0.40023877585339024
count_plus_PE_bin4,20,B:9.0,0.10096661489723177
count_plus_PE_bin4,20,B:9.7,0.3803806680572457
count_plus_PE_bin4,20,B:10.1,0.19641644652592155
count_plus_PE_bin4,20,B:10.2,0.07216763302035974
count_plus_PE_bin4,20,B:10.6,0.40677633008890873
count_plus_PE_bin4,20,B:10.10,0.2601285789667859
count_plus_PE_bin4,20,B:11.2,-0.36725084704465416
count_plus_PE_bin4,20,B:11.9,0.106971223153253
count_plus_PE_bin4,20,E:10.7,-0.9230243153406855
count_plus_PE_bin4,20,E:11.10,-0.4846977651209752
count_plus_PE_bin4,20,P_count_eq_1,-0.017394113648484585
count_plus_PE_bin4,20,P_count_eq_2,-0.8566130728614464
count_plus_PE_bin4,20,P_count_eq_3,0.7903231400835876
count_plus_PE_bin4,20,B_count_eq_1,-0.10218219469324079
count_plus_PE_bin4,20,B_count_2_3,0.02289819796986476
count_plus_PE_bin4,20,B_count_4_5,-1.065307025825579
count_plus_PE_bin4,20,B_count_6_8,0.9600483239534129
count_plus_PE_bin4,20,E_count_eq_1,-0.684260848907659
count_plus_PE_bin4,20,E_count_eq_2,-0.36173061532958817
count_plus_PE_bin4,20,PE_bin4_11,-0.20375888889117375
count_plus_PE_bin4,20,PE_bin4_12,-0.6689247550559825
count_plus_PE_bin4,20,PE_bin4_21,-0.37348407247090337
count_plus_PE_bin4,20,PE_bin4_22,0.30719414018289154
count_plus_PE_bin4,40,intercept,-0.13139362934085388
count_plus_PE_bin4,40,P:9.9,0.9844362153852767
count_plus_PE_bin4,40,P:9.6,-0.5708488084999044
count_plus_PE_bin4,40,P:10.0,-0.02751651049360921
count_plus_PE_bin4,40,B:9.0,0.309146927405614
count_plus_PE_bin4,40,B:9.7,-0.09680441769649273
count_plus_PE_bin4,40,B:10.1,-0.056130195672362826
count_plus_PE_bin4,40,B:10.2,-0.12486431486723364
count_plus_PE_bin4,40,B:10.6,0.24775290174125153
count_plus_PE_bin4,40,B:10.10,-0.33043884138361146
count_plus_PE_bin4,40,B:11.2,-0.4895924184971277
count_plus_PE_bin4,40,B:11.9,-0.11975293343692983
count_plus_PE_bin4,40,E:10.7,-1.2759775844442547
count_plus_PE_bin4,40,E:11.10,-0.9337154013879804
count_plus_PE_bin4,40,P_count_eq_1,0.04971401448263102
count_plus_PE_bin4,40,P_count_eq_2,-0.3383998933702109
count_plus_PE_bin4,40,P_count_eq_3,0.3377188890254285
count_plus_PE_bin4,40,B_count_eq_1,0.21959191590377566
count_plus_PE_bin4,40,B_count_2_3,0.595313601501871
count_plus_PE_bin4,40,B_count_4_5,0.8839951831108672
count_plus_PE_bin4,40,B_count_6_8,1.5073558288443858
count_plus_PE_bin4,40,E_count_eq_1,-0.09721227305945408
count_plus_PE_bin4,40,E_count_eq_2,-1.0562403554108624
count_plus_PE_bin4,40,PE_bin4_11,0.6360735214297942
count_plus_PE_bin4,40,PE_bin4_12,1.2422391737393668
count_plus_PE_bin4,40,PE_bin4_21,1.5094457466971238
count_plus_PE_bin4,40,PE_bin4_22,2.7111045626827073
count_plus_PE_bin4,80,intercept,-0.05509947072809179
count_plus_PE_bin4,80,P:9.9,0.9986590987821916
count_plus_PE_bin4,80,P:9.6,-0.6977468168423732
count_plus_PE_bin4,80,P:10.0,0.21099721625219747
count_plus_PE_bin4,80,B:9.0,0.16093263432703814
count_plus_PE_bin4,80,B:9.7,0.30207523915263573
count_plus_PE_bin4,80,B:10.1,0.1943051618758843
count_plus_PE_bin4,80,B:10.2,0.21047817209006334
count_plus_PE_bin4,80,B:10.6,0.45427803666591743
count_plus_PE_bin4,80,B:10.10,0.2685183609874701
count_plus_PE_bin4,80,B:11.2,-0.29130322294738203
count_plus_PE_bin4,80,B:11.9,0.12978916437344742
count_plus_PE_bin4,80,E:10.7,-1.0757471952635773
count_plus_PE_bin4,80,E:11.10,-1.1808579701442241
count_plus_PE_bin4,80,P_count_eq_1,0.04948481730120101
count_plus_PE_bin4,80,P_count_eq_2,-0.25238487328547526
count_plus_PE_bin4,80,P_count_eq_3,0.32239813993336425
count_plus_PE_bin4,80,B_count_eq_1,-0.20774157241228214
count_plus_PE_bin4,80,B_count_2_3,-0.11133958236029305
count_plus_PE_bin4,80,B_count_4_5,-0.425300874601191
count_plus_PE_bin4,80,B_count_6_8,-0.2796363217674447
count_plus_PE_bin4,80,E_count_eq_1,-0.20589749700059817
count_plus_PE_bin4,80,E_count_eq_2,-1.0253538308554793
count_plus_PE_bin4,80,PE_bin4_11,0.5448882445105673
count_plus_PE_bin4,80,PE_bin4_12,0.9155492349562546
count_plus_PE_bin4,80,PE_bin4_21,1.1446586995494203
count_plus_PE_bin4,80,PE_bin4_22,2.5109855835193504
count_plus_PE_bin4,160,intercept,-0.11226026521690045
count_plus_PE_bin4,160,P:9.9,0.963895633389551
count_plus_PE_bin4,160,P:9.6,-0.5948314250233319
count_plus_PE_bin4,160,P:10.0,0.1807593226926295
count_plus_PE_bin4,160,B:9.0,0.18215964061460607
count_plus_PE_bin4,160,B:9.7,0.26830295749206445
count_plus_PE_bin4,160,B:10.1,0.12221726625616158
count_plus_PE_bin4,160,B:10.2,0.17324532189688496
count_plus_PE_bin4,160,B:10.6,0.5104506624907474
count_plus_PE_bin4,160,B:10.10,0.3176458768126831
count_plus_PE_bin4,160,B:11.2,-0.32412993867538314
count_plus_PE_bin4,160,B:11.9,0.008155742362864123
count_plus_PE_bin4,160,E:10.7,-1.052586021876596
count_plus_PE_bin4,160,E:11.10,-1.1138466849212287
count_plus_PE_bin4,160,P_count_eq_1,0.010291237169350393
count_plus_PE_bin4,160,P_count_eq_2,-0.2235179457394705
count_plus_PE_bin4,160,P_count_eq_3,0.3288560642346813
count_plus_PE_bin4,160,B_count_eq_1,-0.20901352622178265
count_plus_PE_bin4,160,B_count_2_3,-0.1705392440425639
count_plus_PE_bin4,160,B_count_4_5,-0.29325461562639893
count_plus_PE_bin4,160,B_count_6_8,-0.18053630023884312
count_plus_PE_bin4,160,E_count_eq_1,-0.19324854143596154
count_plus_PE_bin4,160,E_count_eq_2,-0.9865920788842718
count_plus_PE_bin4,160,PE_bin4_11,0.46901569211759864
count_plus_PE_bin4,160,PE_bin4_12,0.92106335594403
count_plus_PE_bin4,160,PE_bin4_21,1.0484766994208128
count_plus_PE_bin4,160,PE_bin4_22,2.3784479592814827
count_plus_all_bin4,20,intercept,-5.361023777350482e-07
count_plus_all_bin4,20,P:9.9,0.6269768155111971
count_plus_all_bin4,20,P:9.6,-0.285006198657615
count_plus_all_bin4,20,P:10.0,0.45116958510855165
count_plus_all_bin4,20,B:9.0,0.1377742414575997
count_plus_all_bin4,20,B:9.7,0.4171890679070652
count_plus_all_bin4,20,B:10.1,0.2332244913144638
count_plus_all_bin4,20,B:10.2,0.10897534031423045
count_plus_all_bin4,20,B:10.6,0.4435840373827795
count_plus_all_bin4,20,B:10.10,0.296937458775583
count_plus_all_bin4,20,B:11.2,-0.3304428654230092
count_plus_all_bin4,20,B:11.9,0.14377926794179524
count_plus_all_bin4,20,E:10.7,-0.9341679961200833
count_plus_all_bin4,20,E:11.10,-0.49584073416549157
count_plus_all_bin4,20,P_count_eq_1,-0.06832319816220372
count_plus_all_bin4,20,P_count_eq_2,-0.28749619097092255
count_plus_all_bin4,20,P_count_eq_3,0.47881859433418356
count_plus_all_bin4,20,B_count_eq_1,-0.13898906812213083
count_plus_all_bin4,20,B_count_2_3,0.04046482029928008
count_plus_all_bin4,20,B_count_4_5,-0.6470784332169239
count_plus_all_bin4,20,B_count_6_8,0.6501561053247837
count_plus_all_bin4,20,E_count_eq_1,-0.6731160738689712
count_plus_all_bin4,20,E_count_eq_2,-0.3784463285774094
count_plus_all_bin4,20,PB_bin4_11,0.05888726032167176
count_plus_all_bin4,20,PB_bin4_12,-0.4941633620560984
count_plus_all_bin4,20,PB_bin4_21,-0.3059186316753649
count_plus_all_bin4,20,PB_bin4_22,0.49724103484125004
count_plus_all_bin4,20,PE_bin4_11,0.15291507148380384
count_plus_all_bin4,20,PE_bin4_12,-0.588191171434663
count_plus_all_bin4,20,PE_bin4_21,-0.018422440630905302
count_plus_all_bin4,20,PE_bin4_22,0.20974484387599873
count_plus_all_bin4,20,BE_bin4_11,-0.0184224406211396
count_plus_all_bin4,20,BE_bin4_12,-0.22860892928947277
count_plus_all_bin4,20,BE_bin4_21,0.15291507139692775
count_plus_all_bin4,20,BE_bin4_22,-0.14983739825549927
count_plus_all_bin4,40,intercept,0.05677533937063946
count_plus_all_bin4,40,P:9.9,1.1924777605627181
count_plus_all_bin4,40,P:9.6,-0.26822557452283924
count_plus_all_bin4,40,P:10.0,0.18419476438604085
count_plus_all_bin4,40,B:9.0,0.1659821029862382
count_plus_all_bin4,40,B:9.7,-0.22224019232558917
count_plus_all_bin4,40,B:10.1,0.0015939345707631834
count_plus_all_bin4,40,B:10.2,0.24973863036202368
count_plus_all_bin4,40,B:10.6,0.012819228977444252
count_plus_all_bin4,40,B:10.10,0.05438333832736712
count_plus_all_bin4,40,B:11.2,-0.5086207186418663
count_plus_all_bin4,40,B:11.9,-0.04175380931693015
count_plus_all_bin4,40,E:10.7,-1.6886371722360798
count_plus_all_bin4,40,E:11.10,-1.364893339274752
count_plus_all_bin4,40,P_count_eq_1,-0.24912798984195533
count_plus_all_bin4,40,P_count_eq_2,0.0029910853231737327
count_plus_all_bin4,40,P_count_eq_3,0.45053092280697704
count_plus_all_bin4,40,B_count_eq_1,0.016804255210486594
count_plus_all_bin4,40,B_count_2_3,0.6224078184619928
count_plus_all_bin4,40,B_count_4_5,-0.4029343105884754
count_plus_all_bin4,40,B_count_6_8,0.2824455524437591
count_plus_all_bin4,40,E_count_eq_1,0.05348152166091605
count_plus_all_bin4,40,E_count_eq_2,-1.5535060143187314
count_plus_all_bin4,40,PB_bin4_11,0.2886925466294392
count_plus_all_bin4,40,PB_bin4_12,-0.03319758461531163
count_plus_all_bin4,40,PB_bin4_21,-0.7815560828900103
count_plus_all_bin4,40,PB_bin4_22,-0.05858144109494112
count_plus_all_bin4,40,PE_bin4_11,0.7697270897469847
count_plus_all_bin4,40,PE_bin4_12,0.9155446165096469
count_plus_all_bin4,40,PE_bin4_21,0.939273875550187
count_plus_all_bin4,40,PE_bin4_22,2.4372716893267254
count_plus_all_bin4,40,BE_bin4_11,-0.03931069424015791
count_plus_all_bin4,40,BE_bin4_12,0.8415524900996533
count_plus_all_bin4,40,BE_bin4_21,0.8292138334037975
count_plus_all_bin4,40,BE_bin4_22,2.4149818651117774
count_plus_all_bin4,80,intercept,0.004112294508054265
count_plus_all_bin4,80,P:9.9,1.0614160709973295
count_plus_all_bin4,80,P:9.6,-0.6071119548960785
count_plus_all_bin4,80,P:10.0,0.25177298755991667
count_plus_all_bin4,80,B:9.0,0.18584722480392327
count_plus_all_bin4,80,B:9.7,0.3000725848432328
count_plus_all_bin4,80,B:10.1,0.21287154475820735
count_plus_all_bin4,80,B:10.2,0.22743026569911606
count_plus_all_bin4,80,B:10.6,0.4628154680598566
count_plus_all_bin4,80,B:10.10,0.28412256879566483
count_plus_all_bin4,80,B:11.2,-0.2804413999869277
count_plus_all_bin4,80,B:11.9,0.15845129159720048
count_plus_all_bin4,80,E:10.7,-1.2907229698592382
count_plus_all_bin4,80,E:11.10,-1.3639881509113652
count_plus_all_bin4,80,P_count_eq_1,-0.04478721555426206
count_plus_all_bin4,80,P_count_eq_2,-0.14627688323725957
count_plus_all_bin4,80,P_count_eq_3,0.34780602583722275
count_plus_all_bin4,80,B_count_eq_1,-0.200952995565161
count_plus_all_bin4,80,B_count_2_3,-0.04641504699730673
count_plus_all_bin4,80,B_count_4_5,-0.7830752689655746
count_plus_all_bin4,80,B_count_6_8,-0.6851295074705771
count_plus_all_bin4,80,E_count_eq_1,-0.06693490121749365
count_plus_all_bin4,80,E_count_eq_2,-1.2938881001425162
count_plus_all_bin4,80,PB_bin4_11,0.022624252017443912
count_plus_all_bin4,80,PB_bin4_12,0.06926982422655627
count_plus_all_bin4,80,PB_bin4_21,-0.3421695581884877
count_plus_all_bin4,80,PB_bin4_22,-0.026710947610824307
count_plus_all_bin4,80,PE_bin4_11,0.5287974869274595
count_plus_all_bin4,80,PE_bin4_12,0.9157540393493383
count_plus_all_bin4,80,PE_bin4_21,1.0435180599128224
count_plus_all_bin4,80,PE_bin4_22,2.4507113521493866
count_plus_all_bin4,80,BE_bin4_11,0.09830706132876245
count_plus_all_bin4,80,BE_bin4_12,0.34693713536110626
count_plus_all_bin4,80,BE_bin4_21,0.15585808937287618
count_plus_all_bin4,80,BE_bin4_22,1.053592581998965
count_plus_all_bin4,160,intercept,0.07893792871953914
