subset_idx,subset_name,mask_bits,heads,n_heads,n_P,n_B,n_E,has_P,has_B,has_E,P_B,P_E,B_E,P_B_count,P_E_count,B_E_count,high_primary,full_primary
0,clean,0000000000000,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
1,P:9.9,1000000000000,9.9,1,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0
2,P:9.6,0100000000000,9.6,1,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0
3,P:10.0,0010000000000,10.0,1,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0
4,B:9.0,0001000000000,9.0,1,0,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0
5,B:9.7,0000100000000,9.7,1,0,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0
6,B:10.1,0000010000000,10.1,1,0,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0
7,B:10.2,0000001000000,10.2,1,0,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0
8,B:10.6,0000000100000,10.6,1,0,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0
9,B:10.10,0000000010000,10.10,1,0,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0
10,B:11.2,0000000001000,11.2,1,0,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0
11,B:11.9,0000000000100,11.9,1,0,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0
12,E:10.7,0000000000010,10.7,1,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0,0
13,E:11.10,0000000000001,11.10,1,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0,0
14,E:10.7|E:11.10,0000000000011,"10.7,11.10",2,0,0,2,0,0,1,0,0,0,0.0,0.0,0.0,0,0
15,B:9.0|B:9.7|B:10.1|B:10.2|B:10.6|B:10.10|B:11.2|B:11.9,0001111111100,"9.0,9.7,10.1,10.2,10.6,10.10,11.2,11.9",8,0,8,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0
16,B:9.0|B:9.7|B:10.1|B:10.2|B:10.6|B:10.10|B:11.2|B:11.9|E:10.7|E:11.10,0001111111111,"9.0,9.7,10.1,10.2,10.6,10.10,11.2,11.9,10.7,11.10",10,0,8,2,0,1,1,0,0,1,0.0,0.0,1.0,0,0
