model,mae,rmse,r2,mae_cv_std,n_columns,design_rank
additive_head,0.32162329537801976,0.4055970084233458,0.7533491967694076,0.00542775604758382,14,14
count_additive,0.32489730719055737,0.41443864703133737,0.7423541197677785,0.0096500330281789,23,21
count_plus_PB_bin4,0.3213797345934165,0.4062068807798435,0.7524989456046818,0.011147335774868884,27,25
count_plus_PE_bin4,0.26496126315576923,0.3321198933574404,0.8346139823495717,0.005284979217033534,27,25
count_plus_BE_bin4,0.32678977314956326,0.4206769964824457,0.7346161489272204,0.00898142993405381,27,25
count_plus_all_bin4,0.258671793147741,0.33054935186915496,0.8361217543987266,0.005538695829163812,35,33
count_plus_all_minus_PB_bin4,0.2672803586056751,0.3379870984291624,0.8286919006946171,0.006762314508702947,31,29
count_plus_all_minus_PE_bin4,0.3322771743144497,0.430064018408022,0.7224473277800847,0.011779453201124335,31,29
count_plus_all_minus_BE_bin4,0.2525194159672194,0.3229640757198816,0.8436084888533035,0.004712799751044964,31,29
count_plus_PB_poly4,0.2999334810893071,0.4169751854875063,0.7388275983730905,0.0087015807024239,27,25
count_plus_PE_poly4,0.24126994897710566,0.3027344351646237,0.8625025046370955,0.006465674037589317,27,25
count_plus_BE_poly4,0.3252961373050737,0.4525560280025388,0.6917049768391179,0.011760042298648419,27,25
count_plus_all_poly4,0.22072436501359155,0.2862135921254959,0.8769349858558881,0.0071392993297658665,35,33
