shape,model,base_additive_mae,candidate_mae,mae_gain_vs_additive,nonzero_subsets,prevalence,mean_absolute_signal,interaction_at_full
bilinear,additive_head,0.06904139075422204,0.06904139075422204,0.0,99,0.6226415094339622,0.1628393605870021,1.055
bilinear,legacy_occupancy,0.06904139075422204,0.06828556973539009,0.0007558210188319536,99,0.6226415094339622,0.1628393605870021,1.055
bilinear,normalized_bilinear,0.06904139075422204,7.472226452211715e-08,0.06904131603195751,99,0.6226415094339622,0.1628393605870021,1.055
bilinear,balanced_bin4,0.06904139075422204,0.05162387793402795,0.01741751282019409,99,0.6226415094339622,0.1628393605870021,1.055
bilinear,oracle_shape,0.06904139075422204,7.472226452211715e-08,0.06904131603195751,99,0.6226415094339622,0.1628393605870021,1.055
full_corner,additive_head,0.047743286250400294,0.047743286250400294,0.0,2,0.012578616352201259,0.013270440251572327,1.055
full_corner,legacy_occupancy,0.047743286250400294,0.047926922407640474,-0.00018363615724018012,2,0.012578616352201259,0.013270440251572327,1.055
full_corner,normalized_bilinear,0.047743286250400294,0.049357418487100055,-0.0016141322366997612,2,0.012578616352201259,0.013270440251572327,1.055
full_corner,balanced_bin4,0.047743286250400294,0.047790323670186846,-4.7037419786552515e-05,2,0.012578616352201259,0.013270440251572327,1.055
full_corner,oracle_shape,0.047743286250400294,3.9782785354769275e-08,0.047743246467614936,2,0.012578616352201259,0.013270440251572327,1.055
high_coverage,additive_head,0.1457006778669467,0.1457006778669467,0.0,9,0.05660377358490566,0.059716981132075464,1.055
high_coverage,legacy_occupancy,0.1457006778669467,0.14352980409665575,0.0021708737702909597,9,0.05660377358490566,0.059716981132075464,1.055
high_coverage,normalized_bilinear,0.1457006778669467,0.11293486007929592,0.032765817787650794,9,0.05660377358490566,0.059716981132075464,1.055
high_coverage,balanced_bin4,0.1457006778669467,0.12308134011182996,0.02261933775511675,9,0.05660377358490566,0.059716981132075464,1.055
high_coverage,oracle_shape,0.1457006778669467,3.474760788374799e-08,0.14570064311933884,9,0.05660377358490566,0.059716981132075464,1.055
primary_full_x_backup_fraction,additive_head,0.12582276758479824,0.12582276758479824,0.0,18,0.11320754716981132,0.06884040880503145,1.055
primary_full_x_backup_fraction,legacy_occupancy,0.12582276758479824,0.11063275473287157,0.01519001285192667,18,0.11320754716981132,0.06884040880503145,1.055
primary_full_x_backup_fraction,normalized_bilinear,0.12582276758479824,0.0897980353848354,0.03602473219996284,18,0.11320754716981132,0.06884040880503145,1.055
primary_full_x_backup_fraction,balanced_bin4,0.12582276758479824,0.09630105866028613,0.029521708924512113,18,0.11320754716981132,0.06884040880503145,1.055
primary_full_x_backup_fraction,oracle_shape,0.12582276758479824,5.045672479428953e-08,0.12582271712807344,18,0.11320754716981132,0.06884040880503145,1.055
