model,measurement_budget,fixed_action_target_loss,within_tolerance,selected_head_count,cost_aware_fixed_action_loss,secondary_best_fixed_action_oracle_loss,secondary_best_fixed_action_regret,size_matched_fixed_action_target_loss
additive_head,20,1.088337567821145,0.14205729166666667,6.733333333333333,1.2473120439400276,0.7492955237627029,0.3390420440584422,1.267398907190987
additive_head,40,1.059368610319992,0.159765625,6.333333333333333,1.2456532185301186,0.7492955237627029,0.31007308655728905,1.1874807603125062
additive_head,80,1.0723432573179403,0.15338541666666666,6.566666666666666,1.2145159900734823,0.7492955237627029,0.3230477335552374,1.0983793407412512
additive_head,160,1.0162683290739853,0.15416666666666667,6.533333333333333,1.1325665859927734,0.7492955237627029,0.2669728053112824,1.0945958315173074
count_additive,20,1.6528908774256705,0.09466145833333334,8.833333333333334,1.8067771273478865,0.7492955237627029,0.9035953536629676,1.3576199539094453
count_additive,40,1.2544884568701187,0.131640625,6.966666666666667,1.3336339092130463,0.7492955237627029,0.5051929331074158,1.205427442712798
count_additive,80,1.0174032332996528,0.16341145833333334,6.466666666666667,1.1051451624979576,0.7492955237627029,0.26810770953694985,1.08740223712687
count_additive,160,1.0395814009631674,0.14622395833333332,7.066666666666666,1.1668869829699398,0.7492955237627029,0.2902858772004645,1.09478213680642
count_plus_PE_bin4,20,1.3132736940557759,0.12734375,8.233333333333333,1.474702164568007,0.7492955237627029,0.563978170293073,1.2767402504260341
count_plus_PE_bin4,40,1.1880108691751956,0.14544270833333334,6.866666666666666,1.265306470014155,0.7492955237627029,0.4387153454124927,1.1474983160428347
count_plus_PE_bin4,80,1.0103980106612047,0.1609375,7.1,1.0993949716538192,0.7492955237627029,0.2611024868985018,1.102883178527866
count_plus_PE_bin4,160,1.0264590797324975,0.15442708333333333,7.133333333333334,1.132526442674299,0.7492955237627029,0.2771635559697946,1.1055130667363604
count_plus_all_bin4,20,1.0444354159757494,0.15169270833333334,6.933333333333334,1.132064824136595,0.7492955237627029,0.2951398922130465,1.15040498635776
count_plus_all_bin4,40,1.0797994097694754,0.15130208333333334,6.866666666666666,1.199676289923489,0.7492955237627029,0.3305038860067725,1.1797982308304027
count_plus_all_bin4,80,0.9668950940171878,0.16028645833333333,6.766666666666667,1.0972469593932233,0.7492955237627029,0.21759957025448484,1.1106278576222914
count_plus_all_bin4,160,1.015244573292633,0.15755208333333334,6.966666666666667,1.1428631581043203,0.7492955237627029,0.26594904952993004,1.1205606891019713
singleton_sum,14,0.9870285620292027,0.16236979166666668,5.766666666666667,1.1000036285122234,0.7492955237627029,0.23773303826649983,1.1166231559323414
