pool_id,target,best_fixed_action_mask_id,best_fixed_action_head_count,best_fixed_action_mean_target_loss
candidate_pool_00,0.5,mask_1d6d3f9f5c61b0fa,7,0.7153922468423843
candidate_pool_00,1.0,mask_b611eb15c1cbe033,4,0.8403022922575474
candidate_pool_00,1.5,mask_b611eb15c1cbe033,4,0.9545239023864269
candidate_pool_01,0.5,mask_d4041af54a719d70,7,0.7754260674118996
candidate_pool_01,1.0,mask_d4041af54a719d70,7,0.8844334930181503
candidate_pool_01,1.5,mask_4d3f046ece5f8214,9,0.9253086559474468
candidate_pool_02,0.5,mask_a0046e43df20ac57,5,0.6725410893559456
candidate_pool_02,1.0,mask_a0046e43df20ac57,5,0.6307129338383675
candidate_pool_02,1.5,mask_a0046e43df20ac57,5,0.8503166064620018
candidate_pool_03,0.5,mask_aedb2c503c8eced2,5,0.616867259144783
candidate_pool_03,1.0,mask_aedb2c503c8eced2,5,0.6699579432606697
candidate_pool_03,1.5,mask_30716df5e75daa97,7,0.9066104851663113
candidate_pool_04,0.5,mask_a70ae2b6886df911,7,0.6603780873119831
candidate_pool_04,1.0,mask_a70ae2b6886df911,7,0.6151203103363514
candidate_pool_04,1.5,mask_a70ae2b6886df911,7,0.8108808360993862
candidate_pool_05,0.5,mask_733a12c308c35650,5,0.7147261947393417
candidate_pool_05,1.0,mask_f0bc7dbe5565770b,5,0.7441578134894371
candidate_pool_05,1.5,mask_f0bc7dbe5565770b,5,0.8558550328016281
candidate_pool_06,0.5,mask_24aa69bed4ef8bfe,4,0.5533091761171818
candidate_pool_06,1.0,mask_0cbfd8c3e3987d54,5,0.7759061567485332
candidate_pool_06,1.5,mask_c22a533faf194bc5,7,0.8227050192654133
candidate_pool_07,0.5,mask_6c3e3315afb6fb8c,4,0.6924917288124561
candidate_pool_07,1.0,mask_6c3e3315afb6fb8c,4,0.6861960403621197
candidate_pool_07,1.5,mask_c4774bd021c06295,7,0.770519033074379
candidate_pool_08,0.5,mask_0483c7c3a82ced7e,6,0.5591187365353107
candidate_pool_08,1.0,mask_0483c7c3a82ced7e,6,0.6100747026503086
candidate_pool_08,1.5,mask_77740b198a0b3a94,6,0.8562764786183834
candidate_pool_09,0.5,mask_b7f51d1564f006ed,7,0.738485798239708
candidate_pool_09,1.0,mask_ea7ded36b0b6aa15,8,0.7993396706879139
candidate_pool_09,1.5,mask_99b322f566a2bc85,6,0.7709319218993187
