pool_id,target,exact_mean_mask_id,exact_mean_head_count,exact_mean_effect,exact_mean_to_target_error,exact_mean_fixed_action_loss,best_fixed_action_mask_id,best_fixed_action_head_count,best_fixed_action_mean_target_loss,same_mask_as_best_fixed,fixed_action_loss_gap
candidate_pool_00,0.5,mask_502a955fb93e65d9,8,0.5173129737377167,0.017312973737716675,0.8485090285539627,mask_1d6d3f9f5c61b0fa,7,0.7153922468423843,False,0.13311678171157837
candidate_pool_00,1.0,mask_b611eb15c1cbe033,4,0.9489731825888157,0.05102681741118431,0.8403022922575474,mask_b611eb15c1cbe033,4,0.8403022922575474,True,0.0
candidate_pool_00,1.5,mask_ff6985d2961f695d,9,1.4977499023079872,0.002250097692012787,1.0535826683044434,mask_b611eb15c1cbe033,4,0.9545239023864269,False,0.09905876591801643
candidate_pool_01,0.5,mask_16dc2167f216f5a8,5,0.49206481501460075,0.007935184985399246,0.8478790782392025,mask_d4041af54a719d70,7,0.7754260674118996,False,0.07245301082730293
candidate_pool_01,1.0,mask_3cd97f4a74d408b8,10,1.0243458524346352,0.024345852434635162,1.2741616442799568,mask_d4041af54a719d70,7,0.8844334930181503,False,0.3897281512618065
candidate_pool_01,1.5,mask_76f706be2ab175f0,7,1.4245532639324665,0.07544673606753349,1.0350472815334797,mask_4d3f046ece5f8214,9,0.9253086559474468,False,0.10973862558603287
candidate_pool_02,0.5,mask_c7772d470875866f,4,0.5479750297963619,0.04797502979636192,0.8571536876261234,mask_a0046e43df20ac57,5,0.6725410893559456,False,0.18461259827017784
candidate_pool_02,1.0,mask_053a16108482e172,6,1.0440625697374344,0.04406256973743439,0.7934438660740852,mask_a0046e43df20ac57,5,0.6307129338383675,False,0.16273093223571777
candidate_pool_02,1.5,mask_6a56eb1c10f15cf8,7,1.3854580037295818,0.11454199627041817,1.1124318428337574,mask_a0046e43df20ac57,5,0.8503166064620018,False,0.2621152363717556
candidate_pool_03,0.5,mask_fdaa260e90039f39,8,0.4678775630891323,0.03212243691086769,0.8535735718905926,mask_aedb2c503c8eced2,5,0.616867259144783,False,0.23670631274580956
candidate_pool_03,1.0,mask_30716df5e75daa97,7,1.0189636312425137,0.018963631242513657,0.8354000188410282,mask_aedb2c503c8eced2,5,0.6699579432606697,False,0.1654420755803585
candidate_pool_03,1.5,mask_0f1c886d2bd569f0,7,1.6592938229441643,0.15929382294416428,0.9623276218771935,mask_30716df5e75daa97,7,0.9066104851663113,False,0.05571713671088219
candidate_pool_04,0.5,mask_d1786933297085c0,4,0.44476040452718735,0.05523959547281265,1.074323482811451,mask_a70ae2b6886df911,7,0.6603780873119831,False,0.41394539549946785
candidate_pool_04,1.0,mask_ff0a498847885133,7,1.03995156660676,0.039951566606760025,0.9202614165842533,mask_a70ae2b6886df911,7,0.6151203103363514,False,0.3051411062479019
candidate_pool_04,1.5,mask_8b7737474604b389,8,1.4271649047732353,0.07283509522676468,0.8464258462190628,mask_a70ae2b6886df911,7,0.8108808360993862,False,0.03554501011967659
candidate_pool_05,0.5,mask_9ada32a4bff7daa9,6,0.4118828848004341,0.08811711519956589,0.7831242121756077,mask_733a12c308c35650,5,0.7147261947393417,False,0.06839801743626595
candidate_pool_05,1.0,mask_ae737f6731edb34d,7,1.0157325603067875,0.01573256030678749,0.7704888395965099,mask_f0bc7dbe5565770b,5,0.7441578134894371,False,0.02633102610707283
