analysis_status,target,model,measurement_budget,design_rank,n_columns,condition_nonzero,calibration_fit_mae,candidate_negative_prediction_fraction
exploratory_post_outcome_not_confirmatory,0.5,additive_head,20,14,14,6.827275034124889,0.09868513551421444,0.0125
exploratory_post_outcome_not_confirmatory,0.5,additive_head,40,14,14,8.825617520459389,0.33658031072985056,0.0
exploratory_post_outcome_not_confirmatory,0.5,additive_head,80,14,14,5.20363205626971,0.41232554311937103,0.0
exploratory_post_outcome_not_confirmatory,0.5,additive_head,160,14,14,5.591387488539606,0.43299779847231273,0.0
exploratory_post_outcome_not_confirmatory,0.5,count_additive,20,20,23,24.27200773143389,3.195023096591587e-07,0.009375
exploratory_post_outcome_not_confirmatory,0.5,count_additive,40,21,23,51.760165941165496,0.2845086439463796,0.009375
exploratory_post_outcome_not_confirmatory,0.5,count_additive,80,21,23,42.810720029963186,0.3942911387392855,0.0
exploratory_post_outcome_not_confirmatory,0.5,count_additive,160,21,23,40.21491555418482,0.42028777760130387,0.0
exploratory_post_outcome_not_confirmatory,0.5,count_plus_PE_bin4,20,20,27,20.51399317508686,2.95618462023417e-07,0.009375
exploratory_post_outcome_not_confirmatory,0.5,count_plus_PE_bin4,40,25,27,53.12742724161875,0.17718192836088886,0.003125
exploratory_post_outcome_not_confirmatory,0.5,count_plus_PE_bin4,80,25,27,43.531434145726706,0.27481613089444074,0.0
exploratory_post_outcome_not_confirmatory,0.5,count_plus_PE_bin4,160,25,27,40.691977899124026,0.2897698045267062,0.0
exploratory_post_outcome_not_confirmatory,0.5,count_plus_all_bin4,20,20,35,16.03923481707152,2.5508973665322454e-07,0.009375
exploratory_post_outcome_not_confirmatory,0.5,count_plus_all_bin4,40,33,35,66.98103873918295,0.07836779444726265,0.00625
exploratory_post_outcome_not_confirmatory,0.5,count_plus_all_bin4,80,33,35,58.939746743949826,0.234910356367666,0.0
exploratory_post_outcome_not_confirmatory,0.5,count_plus_all_bin4,160,33,35,71.32328754954256,0.2669948815172514,0.0
exploratory_post_outcome_not_confirmatory,1.0,additive_head,20,14,14,6.827275034124889,0.12984295317885214,0.025
exploratory_post_outcome_not_confirmatory,1.0,additive_head,40,14,14,8.825617520459389,0.35397178464523943,0.0
exploratory_post_outcome_not_confirmatory,1.0,additive_head,80,14,14,5.20363205626971,0.4203802008691612,0.00625
exploratory_post_outcome_not_confirmatory,1.0,additive_head,160,14,14,5.591387488539606,0.4438828003862586,0.003125
exploratory_post_outcome_not_confirmatory,1.0,count_additive,20,20,23,24.27200773143389,3.811691170640952e-07,0.009375
exploratory_post_outcome_not_confirmatory,1.0,count_additive,40,21,23,51.760165941165496,0.2940992410338154,0.009375
exploratory_post_outcome_not_confirmatory,1.0,count_additive,80,21,23,42.810720029963186,0.40207079419217456,0.003125
exploratory_post_outcome_not_confirmatory,1.0,count_additive,160,21,23,40.21491555418482,0.43393047217028646,0.0
exploratory_post_outcome_not_confirmatory,1.0,count_plus_PE_bin4,20,20,27,20.51399317508686,3.585300073105646e-07,0.009375
exploratory_post_outcome_not_confirmatory,1.0,count_plus_PE_bin4,40,25,27,53.12742724161875,0.18682891196212562,0.003125
exploratory_post_outcome_not_confirmatory,1.0,count_plus_PE_bin4,80,25,27,43.531434145726706,0.2761861672432854,0.0
exploratory_post_outcome_not_confirmatory,1.0,count_plus_PE_bin4,160,25,27,40.691977899124026,0.2970867499224342,0.0
exploratory_post_outcome_not_confirmatory,1.0,count_plus_all_bin4,20,20,35,16.03923481707152,2.8731721992691914e-07,0.0125
exploratory_post_outcome_not_confirmatory,1.0,count_plus_all_bin4,40,33,35,66.98103873918295,0.09009134011961964,0.003125
exploratory_post_outcome_not_confirmatory,1.0,count_plus_all_bin4,80,33,35,58.939746743949826,0.2460666796034431,0.0
exploratory_post_outcome_not_confirmatory,1.0,count_plus_all_bin4,160,33,35,71.32328754954256,0.2801795882598952,0.0
exploratory_post_outcome_not_confirmatory,1.5,additive_head,20,14,14,6.827275034124889,0.15745379010726676,0.021875
exploratory_post_outcome_not_confirmatory,1.5,additive_head,40,14,14,8.825617520459389,0.36258137273717495,0.0
exploratory_post_outcome_not_confirmatory,1.5,additive_head,80,14,14,5.20363205626971,0.42050559145970645,0.003125
exploratory_post_outcome_not_confirmatory,1.5,additive_head,160,14,14,5.591387488539606,0.44582225929557967,0.003125
exploratory_post_outcome_not_confirmatory,1.5,count_additive,20,20,23,24.27200773143389,4.320064154295089e-07,0.00625
exploratory_post_outcome_not_confirmatory,1.5,count_additive,40,21,23,51.760165941165496,0.2966275848768044,0.00625
exploratory_post_outcome_not_confirmatory,1.5,count_additive,80,21,23,42.810720029963186,0.40526097876944567,0.003125
exploratory_post_outcome_not_confirmatory,1.5,count_additive,160,21,23,40.21491555418482,0.4359588551104584,0.0
exploratory_post_outcome_not_confirmatory,1.5,count_plus_PE_bin4,20,20,27,20.51399317508686,3.920533650170199e-07,0.00625
exploratory_post_outcome_not_confirmatory,1.5,count_plus_PE_bin4,40,25,27,53.12742724161875,0.19063619085633124,0.003125
exploratory_post_outcome_not_confirmatory,1.5,count_plus_PE_bin4,80,25,27,43.531434145726706,0.27884740979456824,0.0
exploratory_post_outcome_not_confirmatory,1.5,count_plus_PE_bin4,160,25,27,40.691977899124026,0.29788106915295537,0.0
exploratory_post_outcome_not_confirmatory,1.5,count_plus_all_bin4,20,20,35,16.03923481707152,3.07734281101979e-07,0.0125
exploratory_post_outcome_not_confirmatory,1.5,count_plus_all_bin4,40,33,35,66.98103873918295,0.09221566544691055,0.0
exploratory_post_outcome_not_confirmatory,1.5,count_plus_all_bin4,80,33,35,58.939746743949826,0.25102697542909685,0.0
exploratory_post_outcome_not_confirmatory,1.5,count_plus_all_bin4,160,33,35,71.32328754954256,0.2834467048987199,0.0
