analysis_status,target,model,measurement_budget,term,coefficient
exploratory_post_outcome_not_confirmatory,0.5,additive_head,20,intercept,0.6238592901186034
exploratory_post_outcome_not_confirmatory,0.5,additive_head,20,P:9.9,0.059641099519191366
exploratory_post_outcome_not_confirmatory,0.5,additive_head,20,P:9.6,-0.05170336751869164
exploratory_post_outcome_not_confirmatory,0.5,additive_head,20,P:10.0,-0.23168309415257388
exploratory_post_outcome_not_confirmatory,0.5,additive_head,20,B:9.0,-0.2003645764427211
exploratory_post_outcome_not_confirmatory,0.5,additive_head,20,B:9.7,-0.09602461478048847
exploratory_post_outcome_not_confirmatory,0.5,additive_head,20,B:10.1,-0.1048562608756022
exploratory_post_outcome_not_confirmatory,0.5,additive_head,20,B:10.2,-0.0653824084149597
exploratory_post_outcome_not_confirmatory,0.5,additive_head,20,B:10.6,-0.1816266380741266
exploratory_post_outcome_not_confirmatory,0.5,additive_head,20,B:10.10,-0.09859508965074777
exploratory_post_outcome_not_confirmatory,0.5,additive_head,20,B:11.2,0.33616864997636486
exploratory_post_outcome_not_confirmatory,0.5,additive_head,20,B:11.9,-0.033220082890071785
exploratory_post_outcome_not_confirmatory,0.5,additive_head,20,E:10.7,1.3044715727840182
exploratory_post_outcome_not_confirmatory,0.5,additive_head,20,E:11.10,1.088133497411242
exploratory_post_outcome_not_confirmatory,0.5,additive_head,40,intercept,0.6435175339901785
exploratory_post_outcome_not_confirmatory,0.5,additive_head,40,P:9.9,-0.32367902219024347
exploratory_post_outcome_not_confirmatory,0.5,additive_head,40,P:9.6,0.09498236231985219
exploratory_post_outcome_not_confirmatory,0.5,additive_head,40,P:10.0,0.16562062411047226
exploratory_post_outcome_not_confirmatory,0.5,additive_head,40,B:9.0,-0.45521005677391224
exploratory_post_outcome_not_confirmatory,0.5,additive_head,40,B:9.7,0.1886164126321434
exploratory_post_outcome_not_confirmatory,0.5,additive_head,40,B:10.1,0.015600483583679685
exploratory_post_outcome_not_confirmatory,0.5,additive_head,40,B:10.2,0.14264338174609645
exploratory_post_outcome_not_confirmatory,0.5,additive_head,40,B:10.6,0.09848146076735119
exploratory_post_outcome_not_confirmatory,0.5,additive_head,40,B:10.10,0.006358571058913458
exploratory_post_outcome_not_confirmatory,0.5,additive_head,40,B:11.2,0.2979249325923252
exploratory_post_outcome_not_confirmatory,0.5,additive_head,40,B:11.9,0.16899432143313545
exploratory_post_outcome_not_confirmatory,0.5,additive_head,40,E:10.7,0.6601754543243252
exploratory_post_outcome_not_confirmatory,0.5,additive_head,40,E:11.10,0.6783310343790372
exploratory_post_outcome_not_confirmatory,0.5,additive_head,80,intercept,0.728790963659101
exploratory_post_outcome_not_confirmatory,0.5,additive_head,80,P:9.9,-0.4884657934721215
exploratory_post_outcome_not_confirmatory,0.5,additive_head,80,P:9.6,0.10682292592591333
exploratory_post_outcome_not_confirmatory,0.5,additive_head,80,P:10.0,0.004298359156069544
