analysis_status,candidate_selector_family,candidate_model,reference_selector_family,reference_model,measurement_budget,policy,pool_id,mean_objective_loss_reduction,positive_direction
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,mean_effect,additive_head,160,target_loss,candidate_pool_00,-0.29394133885701496,0
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,mean_effect,additive_head,160,target_loss,candidate_pool_01,-0.34783317272861797,0
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,mean_effect,additive_head,160,target_loss,candidate_pool_02,-0.1402422400812308,0
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,mean_effect,additive_head,160,target_loss,candidate_pool_03,0.092502577851216,1
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,mean_effect,additive_head,160,target_loss,candidate_pool_04,-0.03643636157115301,0
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,mean_effect,additive_head,160,target_loss,candidate_pool_05,-0.034208198388417564,0
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,mean_effect,additive_head,160,target_loss,candidate_pool_06,0.1419430449604988,1
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,mean_effect,additive_head,160,target_loss,candidate_pool_07,-0.1368238627910614,0
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,mean_effect,additive_head,160,target_loss,candidate_pool_08,0.2026884121199449,1
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,mean_effect,additive_head,160,target_loss,candidate_pool_09,0.0016324644287427266,1
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,mean_effect,additive_head,160,cost_aware,candidate_pool_00,-0.2715102180838585,0
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,mean_effect,additive_head,160,cost_aware,candidate_pool_01,-0.4011665060619512,0
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,mean_effect,additive_head,160,cost_aware,candidate_pool_02,-0.12690890674789745,0
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,mean_effect,additive_head,160,cost_aware,candidate_pool_03,0.09916924451788268,1
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,mean_effect,additive_head,160,cost_aware,candidate_pool_04,-0.0831030282378196,0
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,mean_effect,additive_head,160,cost_aware,candidate_pool_05,0.015394701311985651,1
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,mean_effect,additive_head,160,cost_aware,candidate_pool_06,0.23550743887821834,1
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,mean_effect,additive_head,160,cost_aware,candidate_pool_07,0.09577098781863842,1
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,mean_effect,additive_head,160,cost_aware,candidate_pool_08,0.05634213328361515,1
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,mean_effect,additive_head,160,cost_aware,candidate_pool_09,0.008299131095409381,1
exploratory_post_outcome_not_confirmatory,direct_risk,count_additive,mean_effect,count_additive,160,target_loss,candidate_pool_00,-0.19577973211805025,0
exploratory_post_outcome_not_confirmatory,direct_risk,count_additive,mean_effect,count_additive,160,target_loss,candidate_pool_01,-0.3142845729986827,0
exploratory_post_outcome_not_confirmatory,direct_risk,count_additive,mean_effect,count_additive,160,target_loss,candidate_pool_02,0.2670250752319892,1
exploratory_post_outcome_not_confirmatory,direct_risk,count_additive,mean_effect,count_additive,160,target_loss,candidate_pool_03,-0.16973847647507986,0
exploratory_post_outcome_not_confirmatory,direct_risk,count_additive,mean_effect,count_additive,160,target_loss,candidate_pool_04,-0.03643636157115301,0
exploratory_post_outcome_not_confirmatory,direct_risk,count_additive,mean_effect,count_additive,160,target_loss,candidate_pool_05,-0.03930737326542536,0
exploratory_post_outcome_not_confirmatory,direct_risk,count_additive,mean_effect,count_additive,160,target_loss,candidate_pool_06,0.023141677180926006,1
exploratory_post_outcome_not_confirmatory,direct_risk,count_additive,mean_effect,count_additive,160,target_loss,candidate_pool_07,0.24013464773694673,1
exploratory_post_outcome_not_confirmatory,direct_risk,count_additive,mean_effect,count_additive,160,target_loss,candidate_pool_08,0.23784675324956575,1
exploratory_post_outcome_not_confirmatory,direct_risk,count_additive,mean_effect,count_additive,160,target_loss,candidate_pool_09,0.15799186378717422,1
exploratory_post_outcome_not_confirmatory,direct_risk,count_additive,mean_effect,count_additive,160,cost_aware,candidate_pool_00,-0.09967851653695109,0
exploratory_post_outcome_not_confirmatory,direct_risk,count_additive,mean_effect,count_additive,160,cost_aware,candidate_pool_01,-0.24288429458936053,0
exploratory_post_outcome_not_confirmatory,direct_risk,count_additive,mean_effect,count_additive,160,cost_aware,candidate_pool_02,0.33369174189865597,1
exploratory_post_outcome_not_confirmatory,direct_risk,count_additive,mean_effect,count_additive,160,cost_aware,candidate_pool_03,-0.048540126234292984,0
exploratory_post_outcome_not_confirmatory,direct_risk,count_additive,mean_effect,count_additive,160,cost_aware,candidate_pool_04,-0.0831030282378196,0
exploratory_post_outcome_not_confirmatory,direct_risk,count_additive,mean_effect,count_additive,160,cost_aware,candidate_pool_05,-0.019307373265425382,0
exploratory_post_outcome_not_confirmatory,direct_risk,count_additive,mean_effect,count_additive,160,cost_aware,candidate_pool_06,0.013525922298431414,1
exploratory_post_outcome_not_confirmatory,direct_risk,count_additive,mean_effect,count_additive,160,cost_aware,candidate_pool_07,0.26013464773694667,1
exploratory_post_outcome_not_confirmatory,direct_risk,count_additive,mean_effect,count_additive,160,cost_aware,candidate_pool_08,0.2145933134357135,1
exploratory_post_outcome_not_confirmatory,direct_risk,count_additive,mean_effect,count_additive,160,cost_aware,candidate_pool_09,-0.006897226572036702,0
exploratory_post_outcome_not_confirmatory,direct_risk,count_plus_PE_bin4,mean_effect,count_plus_PE_bin4,160,target_loss,candidate_pool_00,-0.037763369580109916,0
exploratory_post_outcome_not_confirmatory,direct_risk,count_plus_PE_bin4,mean_effect,count_plus_PE_bin4,160,target_loss,candidate_pool_01,-0.10166460399826367,0
exploratory_post_outcome_not_confirmatory,direct_risk,count_plus_PE_bin4,mean_effect,count_plus_PE_bin4,160,target_loss,candidate_pool_02,0.22324969060719013,1
exploratory_post_outcome_not_confirmatory,direct_risk,count_plus_PE_bin4,mean_effect,count_plus_PE_bin4,160,target_loss,candidate_pool_03,0.22034733990828195,1
exploratory_post_outcome_not_confirmatory,direct_risk,count_plus_PE_bin4,mean_effect,count_plus_PE_bin4,160,target_loss,candidate_pool_04,-0.03466864923636118,0
exploratory_post_outcome_not_confirmatory,direct_risk,count_plus_PE_bin4,mean_effect,count_plus_PE_bin4,160,target_loss,candidate_pool_05,0.0666961135963599,1
