analysis_status,candidate_selector_family,candidate_model,reference_selector_family,reference_model,measurement_budget,policy,target_scope,metric,mean,q025,q975,reference_mean,candidate_mean,reduction_fraction,ordered_name_pair_q025,ordered_name_pair_q975,unordered_name_pair_q025,unordered_name_pair_q975
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,mean_effect,additive_head,160,target_loss,pooled,objective_loss_reduction,-0.055071867505709325,-0.1793819827896853,0.058115063430741375,1.0162683290739853,1.0713401965796947,-0.05419028216287161,-0.17274618847733628,0.054963918252566094,-0.17968045265020358,0.053532174620113296
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,mean_effect,additive_head,160,target_loss,pooled,within_tolerance_improvement,-0.002213541666666667,-0.022529296875,0.018235677083333297,0.15416666666666667,0.151953125,,-0.024423058889722425,0.019872416020671833,-0.02408761500152068,0.01782953711678948
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,mean_effect,additive_head,160,target_loss,target_0.5,objective_loss_reduction,0.05497855544090271,-0.19478639051318167,0.30121968201361593,1.0532364122569562,0.9982578568160534,0.052199634195223485,-0.20037398460743258,0.2908642521817237,-0.20297761273308135,0.28625159745844997
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,mean_effect,additive_head,160,target_loss,target_0.5,within_tolerance_improvement,0.003125,-0.04025390625,0.05000976562499995,0.1578125,0.1609375,,-0.03959169238683127,0.05057482359206497,-0.04008340826432971,0.049049609010689436
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,mean_effect,additive_head,160,target_loss,target_1,objective_loss_reduction,-0.09509786553680896,-0.30157978906296196,0.11503751725889731,0.9716042436659336,1.0667021092027427,-0.09787716156734536,-0.28911692608143186,0.12243456904630448,-0.2964178507608526,0.11697950014938009
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,mean_effect,additive_head,160,target_loss,target_1,within_tolerance_improvement,-0.001953125,-0.043359375,0.03671875,0.1578125,0.155859375,,-0.047193054136874364,0.04159663865546218,-0.045029352566252935,0.039443829619792425
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,mean_effect,additive_head,160,target_loss,target_1.5,objective_loss_reduction,-0.12509629242122172,-0.25793765762820836,0.01576363367028533,1.0239643312990665,1.1490606237202883,-0.12216860353184039,-0.26279941934033735,0.003037297446362134,-0.26807288986951455,0.004953382535788532
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,mean_effect,additive_head,160,target_loss,target_1.5,within_tolerance_improvement,-0.0078125,-0.040234375,0.0234375,0.146875,0.1390625,,-0.0393840115226834,0.02320884297520656,-0.04173283819304359,0.022964285714285708
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,mean_effect,additive_head,160,cost_aware,pooled,objective_loss_reduction,-0.03722050222257772,-0.1677857750645528,0.07457713932916514,1.1325665859927734,1.169787088215351,-0.03286385337772557,-0.16550935042918388,0.07326357263019728,-0.160824986634712,0.07419443211834024
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,mean_effect,additive_head,160,cost_aware,target_0.5,objective_loss_reduction,0.09557285749912263,-0.17335304837785662,0.3462740279272196,1.1929498444050552,1.0973769869059324,0.08011473235640218,-0.16713882253180412,0.34000437360665653,-0.15768789882173342,0.3568116243812703
