analysis_status,screen_status,target,model,measurement_budget,term,coefficient
exploratory_post_outcome_not_confirmatory,bounded_posthoc_screen_no_ridge_tuning,0.5,head_pair_quadratic_screen,160,intercept,0.611725863549037
exploratory_post_outcome_not_confirmatory,bounded_posthoc_screen_no_ridge_tuning,0.5,head_pair_quadratic_screen,160,head_0,-0.02306658009171617
exploratory_post_outcome_not_confirmatory,bounded_posthoc_screen_no_ridge_tuning,0.5,head_pair_quadratic_screen,160,head_1,0.29606400036091235
exploratory_post_outcome_not_confirmatory,bounded_posthoc_screen_no_ridge_tuning,0.5,head_pair_quadratic_screen,160,head_2,-0.2820411493690216
exploratory_post_outcome_not_confirmatory,bounded_posthoc_screen_no_ridge_tuning,0.5,head_pair_quadratic_screen,160,head_3,0.0017700789120698348
exploratory_post_outcome_not_confirmatory,bounded_posthoc_screen_no_ridge_tuning,0.5,head_pair_quadratic_screen,160,head_4,-0.1942840406025962
exploratory_post_outcome_not_confirmatory,bounded_posthoc_screen_no_ridge_tuning,0.5,head_pair_quadratic_screen,160,head_5,-0.03080252687050308
exploratory_post_outcome_not_confirmatory,bounded_posthoc_screen_no_ridge_tuning,0.5,head_pair_quadratic_screen,160,head_6,0.007114121394415889
exploratory_post_outcome_not_confirmatory,bounded_posthoc_screen_no_ridge_tuning,0.5,head_pair_quadratic_screen,160,head_7,-0.2015216055072082
exploratory_post_outcome_not_confirmatory,bounded_posthoc_screen_no_ridge_tuning,0.5,head_pair_quadratic_screen,160,head_8,0.009714230600221356
exploratory_post_outcome_not_confirmatory,bounded_posthoc_screen_no_ridge_tuning,0.5,head_pair_quadratic_screen,160,head_9,0.4760835698479863
exploratory_post_outcome_not_confirmatory,bounded_posthoc_screen_no_ridge_tuning,0.5,head_pair_quadratic_screen,160,head_10,-0.14993626195131787
exploratory_post_outcome_not_confirmatory,bounded_posthoc_screen_no_ridge_tuning,0.5,head_pair_quadratic_screen,160,head_11,1.4872529348397348
exploratory_post_outcome_not_confirmatory,bounded_posthoc_screen_no_ridge_tuning,0.5,head_pair_quadratic_screen,160,head_12,1.134906428437578
exploratory_post_outcome_not_confirmatory,bounded_posthoc_screen_no_ridge_tuning,0.5,head_pair_quadratic_screen,160,head_0:head_1,0.24261927877677567
exploratory_post_outcome_not_confirmatory,bounded_posthoc_screen_no_ridge_tuning,0.5,head_pair_quadratic_screen,160,head_0:head_2,0.4247500626238908
exploratory_post_outcome_not_confirmatory,bounded_posthoc_screen_no_ridge_tuning,0.5,head_pair_quadratic_screen,160,head_0:head_3,-0.010168734001514277
exploratory_post_outcome_not_confirmatory,bounded_posthoc_screen_no_ridge_tuning,0.5,head_pair_quadratic_screen,160,head_0:head_4,0.06826124603001155
