analysis_status,selector_family,model,measurement_budget,pool_id,target,policy,selected_mask_id,selected_head_count,selected_size_match_cell,predicted_target_loss,predicted_objective
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,20,candidate_pool_00,0.5,target_loss,mask_153f1c2a9e066490,6,n_heads_06,0.015035939366052686,0.015035939366052686
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,20,candidate_pool_00,0.5,cost_aware,mask_153f1c2a9e066490,6,n_heads_06,0.015035939366052686,0.13503593936605268
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,20,candidate_pool_00,1.0,target_loss,mask_153f1c2a9e066490,6,n_heads_06,-0.1624242723776284,-0.1624242723776284
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,20,candidate_pool_00,1.0,cost_aware,mask_153f1c2a9e066490,6,n_heads_06,-0.1624242723776284,-0.042424272377628414
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,20,candidate_pool_00,1.5,target_loss,mask_153f1c2a9e066490,6,n_heads_06,-0.06463189938030334,-0.06463189938030334
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,20,candidate_pool_00,1.5,cost_aware,mask_153f1c2a9e066490,6,n_heads_06,-0.06463189938030334,0.05536810061969666
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,20,candidate_pool_01,0.5,target_loss,mask_c6f04107d7ae9b56,9,n_heads_09,-0.31457333474722865,-0.31457333474722865
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,20,candidate_pool_01,0.5,cost_aware,mask_c6f04107d7ae9b56,9,n_heads_09,-0.31457333474722865,-0.13457333474722866
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,20,candidate_pool_01,1.0,target_loss,mask_c6f04107d7ae9b56,9,n_heads_09,-0.5823441099756247,-0.5823441099756247
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,20,candidate_pool_01,1.0,cost_aware,mask_c6f04107d7ae9b56,9,n_heads_09,-0.5823441099756247,-0.4023441099756247
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,20,candidate_pool_01,1.5,target_loss,mask_c6f04107d7ae9b56,9,n_heads_09,-0.6028090582616741,-0.6028090582616741
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,20,candidate_pool_01,1.5,cost_aware,mask_c6f04107d7ae9b56,9,n_heads_09,-0.6028090582616741,-0.4228090582616741
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,20,candidate_pool_02,0.5,target_loss,mask_3c9ed4cc352cbb27,5,n_heads_05,0.18442339918729578,0.18442339918729578
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,20,candidate_pool_02,0.5,cost_aware,mask_3c9ed4cc352cbb27,5,n_heads_05,0.18442339918729578,0.28442339918729576
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,20,candidate_pool_02,1.0,target_loss,mask_3c9ed4cc352cbb27,5,n_heads_05,0.03766153873271159,0.03766153873271159
exploratory_post_outcome_not_confirmatory,direct_risk,additive_head,20,candidate_pool_02,1.0,cost_aware,mask_3c9ed4cc352cbb27,5,n_heads_05,0.03766153873271159,0.13766153873271159
