analysis_status,pool_id,target,policy,oracle_mask_id,oracle_head_count,oracle_mean_objective
exploratory_post_outcome_not_confirmatory,candidate_pool_00,0.5,target_loss,mask_1d6d3f9f5c61b0fa,7,0.7153922468423843
exploratory_post_outcome_not_confirmatory,candidate_pool_00,0.5,cost_aware,mask_1d6d3f9f5c61b0fa,7,0.8553922468423844
exploratory_post_outcome_not_confirmatory,candidate_pool_00,1.0,target_loss,mask_b611eb15c1cbe033,4,0.8403022922575474
exploratory_post_outcome_not_confirmatory,candidate_pool_00,1.0,cost_aware,mask_b611eb15c1cbe033,4,0.9203022922575473
exploratory_post_outcome_not_confirmatory,candidate_pool_00,1.5,target_loss,mask_b611eb15c1cbe033,4,0.9545239023864269
exploratory_post_outcome_not_confirmatory,candidate_pool_00,1.5,cost_aware,mask_b611eb15c1cbe033,4,1.034523902386427
exploratory_post_outcome_not_confirmatory,candidate_pool_01,0.5,target_loss,mask_d4041af54a719d70,7,0.7754260674118996
exploratory_post_outcome_not_confirmatory,candidate_pool_01,0.5,cost_aware,mask_d4041af54a719d70,7,0.9154260674118996
exploratory_post_outcome_not_confirmatory,candidate_pool_01,1.0,target_loss,mask_d4041af54a719d70,7,0.8844334930181503
exploratory_post_outcome_not_confirmatory,candidate_pool_01,1.0,cost_aware,mask_d34cab07e9bf4ded,4,0.9738709907233715
exploratory_post_outcome_not_confirmatory,candidate_pool_01,1.5,target_loss,mask_4d3f046ece5f8214,9,0.9253086559474468
exploratory_post_outcome_not_confirmatory,candidate_pool_01,1.5,cost_aware,mask_4d3f046ece5f8214,9,1.1053086559474468
exploratory_post_outcome_not_confirmatory,candidate_pool_02,0.5,target_loss,mask_a0046e43df20ac57,5,0.6725410893559456
exploratory_post_outcome_not_confirmatory,candidate_pool_02,0.5,cost_aware,mask_a0046e43df20ac57,5,0.7725410893559456
exploratory_post_outcome_not_confirmatory,candidate_pool_02,1.0,target_loss,mask_a0046e43df20ac57,5,0.6307129338383675
exploratory_post_outcome_not_confirmatory,candidate_pool_02,1.0,cost_aware,mask_a0046e43df20ac57,5,0.7307129338383674
exploratory_post_outcome_not_confirmatory,candidate_pool_02,1.5,target_loss,mask_a0046e43df20ac57,5,0.8503166064620018
exploratory_post_outcome_not_confirmatory,candidate_pool_02,1.5,cost_aware,mask_a0046e43df20ac57,5,0.9503166064620018
exploratory_post_outcome_not_confirmatory,candidate_pool_03,0.5,target_loss,mask_aedb2c503c8eced2,5,0.616867259144783
exploratory_post_outcome_not_confirmatory,candidate_pool_03,0.5,cost_aware,mask_aedb2c503c8eced2,5,0.716867259144783
exploratory_post_outcome_not_confirmatory,candidate_pool_03,1.0,target_loss,mask_aedb2c503c8eced2,5,0.6699579432606697
exploratory_post_outcome_not_confirmatory,candidate_pool_03,1.0,cost_aware,mask_aedb2c503c8eced2,5,0.7699579432606697
exploratory_post_outcome_not_confirmatory,candidate_pool_03,1.5,target_loss,mask_30716df5e75daa97,7,0.9066104851663113
exploratory_post_outcome_not_confirmatory,candidate_pool_03,1.5,cost_aware,mask_aedb2c503c8eced2,5,1.0365645423531533
exploratory_post_outcome_not_confirmatory,candidate_pool_04,0.5,target_loss,mask_a70ae2b6886df911,7,0.6603780873119831
exploratory_post_outcome_not_confirmatory,candidate_pool_04,0.5,cost_aware,mask_a70ae2b6886df911,7,0.8003780873119831
exploratory_post_outcome_not_confirmatory,candidate_pool_04,1.0,target_loss,mask_a70ae2b6886df911,7,0.6151203103363514
exploratory_post_outcome_not_confirmatory,candidate_pool_04,1.0,cost_aware,mask_a70ae2b6886df911,7,0.7551203103363514
exploratory_post_outcome_not_confirmatory,candidate_pool_04,1.5,target_loss,mask_a70ae2b6886df911,7,0.8108808360993862
exploratory_post_outcome_not_confirmatory,candidate_pool_04,1.5,cost_aware,mask_a70ae2b6886df911,7,0.9508808360993862
exploratory_post_outcome_not_confirmatory,candidate_pool_05,0.5,target_loss,mask_733a12c308c35650,5,0.7147261947393417
exploratory_post_outcome_not_confirmatory,candidate_pool_05,0.5,cost_aware,mask_0ea1a19911258943,4,0.8062071520090103
exploratory_post_outcome_not_confirmatory,candidate_pool_05,1.0,target_loss,mask_f0bc7dbe5565770b,5,0.7441578134894371
exploratory_post_outcome_not_confirmatory,candidate_pool_05,1.0,cost_aware,mask_0ea1a19911258943,4,0.8330195266008377
exploratory_post_outcome_not_confirmatory,candidate_pool_05,1.5,target_loss,mask_f0bc7dbe5565770b,5,0.8558550328016281
exploratory_post_outcome_not_confirmatory,candidate_pool_05,1.5,cost_aware,mask_f0bc7dbe5565770b,5,0.9558550328016281
exploratory_post_outcome_not_confirmatory,candidate_pool_06,0.5,target_loss,mask_24aa69bed4ef8bfe,4,0.5533091761171818
exploratory_post_outcome_not_confirmatory,candidate_pool_06,0.5,cost_aware,mask_24aa69bed4ef8bfe,4,0.6333091761171817
exploratory_post_outcome_not_confirmatory,candidate_pool_06,1.0,target_loss,mask_0cbfd8c3e3987d54,5,0.7759061567485332
exploratory_post_outcome_not_confirmatory,candidate_pool_06,1.0,cost_aware,mask_72750b59b18d6c0c,4,0.873365903198719
exploratory_post_outcome_not_confirmatory,candidate_pool_06,1.5,target_loss,mask_c22a533faf194bc5,7,0.8227050192654133
exploratory_post_outcome_not_confirmatory,candidate_pool_06,1.5,cost_aware,mask_c22a533faf194bc5,7,0.9627050192654133
exploratory_post_outcome_not_confirmatory,candidate_pool_07,0.5,target_loss,mask_6c3e3315afb6fb8c,4,0.6924917288124561
