mask_id,mask_bits,n_heads,n_P,n_B,n_E,pool_id,pool_index,sampling_stratum,size_match_cell,within_cell_index,bank
mask_7f4e7b2fb3cc8a79,0010110010000,4,1,3,0,phase06_candidate_pool_00,0,broad,n_heads_04,0,candidate
mask_57e135645a1f7904,1011001000000,4,2,2,0,phase06_candidate_pool_00,0,primary_heavy,n_heads_04,0,candidate
mask_24eae8c69d0072c9,0010111100000,5,1,4,0,phase06_candidate_pool_00,0,broad,n_heads_05,1,candidate
mask_580df451af0ec544,1000010011010,5,1,3,1,phase06_candidate_pool_00,0,broad,n_heads_05,0,candidate
mask_795c00a918856d47,0100101001001,5,1,3,1,phase06_candidate_pool_00,0,broad,n_heads_05,2,candidate
mask_1331b3dffb33182f,1110100000010,5,3,1,1,phase06_candidate_pool_00,0,primary_heavy,n_heads_05,2,candidate
mask_7d8dcdc39a628d2e,0110000011100,5,2,3,0,phase06_candidate_pool_00,0,primary_heavy,n_heads_05,1,candidate
mask_c44eeda6a844d5e4,0110001000101,5,2,2,1,phase06_candidate_pool_00,0,primary_heavy,n_heads_05,0,candidate
mask_39cca0146ccfe5b8,1001110010001,6,1,4,1,phase06_candidate_pool_00,0,broad,n_heads_06,2,candidate
mask_913c3cf25923d463,0000100111011,6,0,4,2,phase06_candidate_pool_00,0,broad,n_heads_06,3,candidate
mask_941ea006f12459b8,1001010101100,6,1,5,0,phase06_candidate_pool_00,0,broad,n_heads_06,0,candidate
mask_c2046668cbdfd3e3,0100111000101,6,1,4,1,phase06_candidate_pool_00,0,broad,n_heads_06,1,candidate
mask_554bfbfa5160e051,1011101000010,6,2,3,1,phase06_candidate_pool_00,0,primary_heavy,n_heads_06,0,candidate
mask_750d1db2b307eb35,1101000001101,6,2,3,1,phase06_candidate_pool_00,0,primary_heavy,n_heads_06,2,candidate
mask_bffd2d2f5f8a4498,0110011000110,6,2,3,1,phase06_candidate_pool_00,0,primary_heavy,n_heads_06,1,candidate
mask_ee29c90f44302e2f,0110100010110,6,2,3,1,phase06_candidate_pool_00,0,primary_heavy,n_heads_06,3,candidate
mask_03f13365ea59c99f,0000110011111,7,0,5,2,phase06_candidate_pool_00,0,broad,n_heads_07,0,candidate
mask_26bab075bcb67ef0,0101110101010,7,1,5,1,phase06_candidate_pool_00,0,broad,n_heads_07,3,candidate
mask_4462405043c2a065,0011001101110,7,1,5,1,phase06_candidate_pool_00,0,broad,n_heads_07,1,candidate
