analysis_status,target_scope,target,candidate,reference,reference_mean_loss,candidate_mean_loss,absolute_loss_reduction,relative_loss_reduction,q025,q975,bootstrap_repeats,secondary_no_success_gate
post_review_post_confirmatory_target_sensitivity,target_0.5,0.5,direct_risk_head_pair_quadratic,natural_mean_effect_head_pair_quadratic,1.0352206105211128,0.731124513122874,0.3040960973982389,0.2937500415927403,0.2092748425032672,0.40502803805332704,5000,True
post_review_post_confirmatory_target_sensitivity,target_1,1.0,direct_risk_head_pair_quadratic,natural_mean_effect_head_pair_quadratic,1.092759578100716,0.8906227769330144,0.2021368011677017,0.18497829277234798,0.11527971806838953,0.29309062029011934,5000,True
post_review_post_confirmatory_target_sensitivity,target_1.5,1.5,direct_risk_head_pair_quadratic,natural_mean_effect_head_pair_quadratic,1.1983789706913133,1.0704367071739398,0.12794226351737356,0.10676277425292856,0.020483544047844287,0.24346541372312144,5000,True
post_review_post_confirmatory_target_sensitivity,all_three_equal_weight,,direct_risk_head_pair_quadratic,natural_mean_effect_head_pair_quadratic,1.108786386437714,0.897394665743276,0.211391720694438,0.19065143951991775,0.14147918892429312,0.28706179157274564,5000,True
post_review_post_confirmatory_target_sensitivity,target_0.5,0.5,direct_risk_head_pair_quadratic,transformed_mean_head_pair_quadratic,0.9232284441047037,0.731124513122874,0.19210393098182976,0.2080784362835805,0.1022460644482635,0.288206098274289,5000,True
post_review_post_confirmatory_target_sensitivity,target_1,1.0,direct_risk_head_pair_quadratic,transformed_mean_head_pair_quadratic,1.0588377003829617,0.8906227769330144,0.16821492344994718,0.15886752369046456,0.0894079872314857,0.2531921749973358,5000,True
post_review_post_confirmatory_target_sensitivity,target_1.5,1.5,direct_risk_head_pair_quadratic,transformed_mean_head_pair_quadratic,1.180473820170543,1.0704367071739398,0.11003711299660306,0.09321436114585413,0.011334839001453174,0.2169369199332625,5000,True
post_review_post_confirmatory_target_sensitivity,all_three_equal_weight,,direct_risk_head_pair_quadratic,transformed_mean_head_pair_quadratic,1.0541799882194027,0.897394665743276,0.15678532247612667,0.14872728018765569,0.09121647906512306,0.2254439552715565,5000,True
post_review_post_confirmatory_target_sensitivity,target_0.5,0.5,direct_risk_head_pair_quadratic,exact_noop,0.5,0.731124513122874,-0.231124513122874,-0.462249026245748,-0.31389352317395,-0.1614723555438104,5000,True
post_review_post_confirmatory_target_sensitivity,target_1,1.0,direct_risk_head_pair_quadratic,exact_noop,1.0,0.8906227769330144,0.10937722306698561,0.10937722306698561,0.014741812775901053,0.19645887116494112,5000,True
post_review_post_confirmatory_target_sensitivity,target_1.5,1.5,direct_risk_head_pair_quadratic,exact_noop,1.5,1.0704367071739398,0.4295632928260602,0.2863755285507068,0.3205612675922263,0.52473849109471,5000,True
post_review_post_confirmatory_target_sensitivity,all_three_equal_weight,,direct_risk_head_pair_quadratic,exact_noop,1.0,0.897394665743276,0.10260533425672395,0.10260533425672395,0.020589340312290014,0.17694636049062762,5000,True
